target_candidate_group_id,n_claims,labels_complete,n_B_evidence_gain,n_C_both_wrong,n_A_claim_only_correct,n_D_claim_only_better,has_cue_risk,domain,evidence_type,source_id,span_id,selection_tier,selection_reason
SBV2-ALL92-G005,4,True,1,2,0,1,False,autonomous_driving,metric_result,AD-002,AD-002-S2,exclude,has_D_claim_only_better
SBV2-ALL92-G009,4,True,0,1,2,1,False,autonomous_driving,deployment_boundary,AD-003,AD-003-S3,exclude,has_D_claim_only_better
SBV2-ALL92-G017,4,True,0,2,1,1,False,autonomous_driving,metric_result,AD-006,AD-006-S2,exclude,has_D_claim_only_better
SBV2-ALL92-G029,4,True,0,3,0,1,False,autonomous_driving,metric_result,AD-010,AD-010-S2,exclude,has_D_claim_only_better
SBV2-ALL92-G039,4,True,0,2,1,1,False,autonomous_driving,limitation,AD-014,AD-014-S3,exclude,has_D_claim_only_better
SBV2-ALL92-G044,4,True,0,2,1,1,False,autonomous_driving,metric_result,AD-016,AD-016-S2,exclude,has_D_claim_only_better
SBV2-ALL92-G045,4,True,1,1,1,1,False,autonomous_driving,limitation,AD-016,AD-016-S3,exclude,has_D_claim_only_better
SBV2-ALL92-G046,4,True,1,2,0,1,False,autonomous_driving,experiment_setup,AD-017,AD-017-S1,exclude,has_D_claim_only_better
SBV2-ALL92-G048,4,True,1,1,1,1,False,autonomous_driving,limitation,AD-017,AD-017-S3,exclude,has_D_claim_only_better
SBV2-ALL92-G050,4,True,1,2,0,1,False,autonomous_driving,metric_result,AD-018,AD-018-S2,exclude,has_D_claim_only_better
SBV2-ALL92-G053,4,True,0,1,2,1,False,autonomous_driving,metric_result,AD-019,AD-019-S2,exclude,has_D_claim_only_better
SBV2-ALL92-G054,4,True,0,2,1,1,False,autonomous_driving,limitation,AD-019,AD-019-S3,exclude,has_D_claim_only_better
SBV2-ALL92-G056,4,True,0,3,0,1,False,autonomous_driving,metric_result,AD-020,AD-020-S2,exclude,has_D_claim_only_better
SBV2-ALL92-G058,4,True,1,2,0,1,False,autonomous_driving,experiment_setup,AD-021,AD-021-S1,exclude,has_D_claim_only_better
SBV2-ALL92-G059,4,True,1,2,0,1,False,autonomous_driving,metric_result,AD-021,AD-021-S2,exclude,has_D_claim_only_better
SBV2-ALL92-G064,4,True,0,2,1,1,False,autonomous_driving,metric_result,AD-024,AD-024-S1,exclude,has_D_claim_only_better
SBV2-ALL92-G068,4,True,1,1,1,1,False,cyber_defense,metric_result,CYB-001,CYB-001-S2,exclude,has_D_claim_only_better
SBV2-ALL92-G071,4,True,0,3,0,1,False,cyber_defense,metric_result,CYB-002,CYB-002-S2,exclude,has_D_claim_only_better
SBV2-ALL92-G075,4,True,0,2,1,1,False,cyber_defense,limitation,CYB-003,CYB-003-S3,exclude,has_D_claim_only_better
SBV2-ALL92-G080,4,True,0,2,1,1,False,cyber_defense,metric_result,CYB-005,CYB-005-S2,exclude,has_D_claim_only_better
SBV2-ALL92-G081,4,True,1,1,1,1,False,cyber_defense,limitation,CYB-005,CYB-005-S3,exclude,has_D_claim_only_better
SBV2-ALL92-G084,4,True,1,2,0,1,False,cyber_defense,limitation,CYB-006,CYB-006-S3,exclude,has_D_claim_only_better
SBV2-ALL92-G101,4,True,1,2,0,1,False,cyber_defense,metric_result,CYB-012,CYB-012-S2,exclude,has_D_claim_only_better
SBV2-ALL92-G103,4,True,1,2,0,1,False,digital_twin,experiment_setup,DT-001,DT-001-S1,exclude,has_D_claim_only_better
SBV2-ALL92-G113,4,True,0,2,1,1,False,digital_twin,metric_result,DT-004,DT-004-S2,exclude,has_D_claim_only_better
SBV2-ALL92-G132,4,True,0,1,2,1,False,digital_twin,deployment_boundary,DT-011,DT-011-S3,exclude,has_D_claim_only_better
SBV2-ALL92-G134,4,True,0,1,1,2,False,digital_twin,metric_result,DT-012,DT-012-S2,exclude,has_D_claim_only_better
SBV2-ALL92-G142,4,True,0,2,1,1,False,digital_twin,experiment_setup,DT-015,DT-015-S1,exclude,has_D_claim_only_better
SBV2-ALL92-G148,4,True,0,2,1,1,False,digital_twin,metric_result,DT-017,DT-017-S1,exclude,has_D_claim_only_better
SBV2-ALL92-G149,4,True,0,0,3,1,False,digital_twin,limitation,DT-017,DT-017-S2,exclude,has_D_claim_only_better
SBV2-ALL92-G154,4,True,1,2,0,1,False,digital_twin,metric_result,DT-019,DT-019-S1,exclude,has_D_claim_only_better
SBV2-ALL92-G157,4,True,1,2,0,1,False,robotics,experiment_setup,MARL-014,MARL-014-S1,exclude,has_D_claim_only_better
SBV2-ALL92-G169,4,True,0,2,1,1,False,robotics,experiment_setup,MARL-018,MARL-018-S1,exclude,has_D_claim_only_better
SBV2-ALL92-G176,4,True,0,2,1,1,False,marl,metric_result,MARL-001,MARL-001-S2,exclude,has_D_claim_only_better
SBV2-ALL92-G179,4,True,0,2,1,1,False,marl,metric_result,MARL-002,MARL-002-S2,exclude,has_D_claim_only_better
SBV2-ALL92-G184,4,True,0,2,1,1,False,marl,experiment_setup,MARL-004,MARL-004-S1,exclude,has_D_claim_only_better
SBV2-ALL92-G192,4,True,1,2,0,1,False,marl,limitation,MARL-006,MARL-006-S3,exclude,has_D_claim_only_better
