candidate_id,rank,page_number,section_hint,text_sha256,n_words,bm25_score
toy_cand_001,1,1,abstract,50a04771b458428b3c13574b9ddd88ea2ef2311ba3d3a58d21286347bd49952c,12,15.156865
toy_cand_001,2,1,introduction,fc25cb7598a3f3ce793077e4935cae87ab9244c26bc2e5f32e2d993876284e33,12,6.522445
toy_cand_001,3,3,conclusion,62da1e86a4f9af57da9890eddfba9421eef599e852f1ab03e0442fcfe2f0edd3,6,4.785465
toy_cand_002,1,2,method,5d00353e825a8e55ddaa9cd8ffa3f096536cf00570bb4b0826b5718926f07c10,5,8.749286
toy_cand_002,2,3,result,4918139ec97c3bd0cfbcd50b76465786c0959ee9b293829b45a59493e97f78ed,15,5.513797
toy_cand_002,3,1,method,5b416a940c5ee329e05dfb60055f440cef84f5fb8965f07db9bc7688cc7336ee,12,4.888331
toy_cand_003,1,3,result,aaca900d46411d91ce3c076d7a42305a8382f2aabf3d665e8d76d318932ae86a,13,16.706352
toy_cand_003,2,2,method,80898c2ea3d247bcb4ccde07b454d06fdf3d7f131acd9aebf146ce855d62021e,13,9.159333
toy_cand_003,3,3,result,e70d4ee7766afc13d0fcf5c459b7a5016840aba438c81561da8dc1d1b8608cff,15,5.957964
toy_cand_004,1,1,result,a8289ff6b180ae875c727e4d8a46da7afaa0fb04cacea40fe9cb2c6ee9696d0c,16,11.882123
toy_cand_004,2,1,introduction,fc25cb7598a3f3ce793077e4935cae87ab9244c26bc2e5f32e2d993876284e33,12,5.056286
toy_cand_004,3,1,method,5b416a940c5ee329e05dfb60055f440cef84f5fb8965f07db9bc7688cc7336ee,12,4.24027
toy_cand_005,1,2,result,c7af3a7ac1b5c573f307300891715cc3ab753bb0d69e8e37fae00bd08137a430,12,13.644406
toy_cand_005,2,1,introduction,e38ef83ab0fb15ba8768c76efc27d8be7ee6d99385a33fa1d3e7cafa6ff7754c,15,5.881359
toy_cand_005,3,2,method,ad65b020d9bd20877ee005878a35dbeae95c1fa8e05037fdfeecc37939d3779c,11,4.976918
toy_cand_006,1,3,result,049acfc76f699a360194fa47fff4a65497809c0c91ebff790b4d068e806170c2,11,14.791546
toy_cand_006,2,3,result,4918139ec97c3bd0cfbcd50b76465786c0959ee9b293829b45a59493e97f78ed,15,7.748047
toy_cand_006,3,3,result,45da5a3da2c46f0ac48874a4c6369b8379d34ad85a65569027ca2d953e0700b6,13,3.524003
