sample_id,candidate_id,label_4,domain,source_id,claim_text_preview,evidence_text_preview,r4_correct_unknown,fragile_case_flag,in_deepseek,claim_text,evidence_text,task,n_per_class
LLM_181,SBV2-ALL92-G124-C04,contradiction_candidate,digital_twin,DT-009,The gFHR design process disregarded surrogate prediction accuracy and sensor mon,The design choice process considered the accuracy of the gFHR surrogate predicti,runtime_check_needed,none,True,The gFHR design process disregarded surrogate prediction accuracy and sensor monitoring feasibility during reactor state selection in the study.,The design choice process considered the accuracy of the gFHR surrogate predictions and selecting states that could be realistically monitored with sensors in the reactor setting.,gpt_probe_100,25
LLM_132,SBV2-ALL92-G186-C03,strong_action_overclaim,marl,MARL-004,The industrial-control paper argues many academic benchmarks differ markedly fro,"Many academic benchmarks differ markedly from industrial control problems, limit",runtime_check_needed,marl,True,"The industrial-control paper argues many academic benchmarks differ markedly from industrial control problems, yet still provide reliable transfer to industrial applications.","Many academic benchmarks differ markedly from industrial control problems, limiting their transferability to real-world applications.",gpt_probe_100,25
LLM_144,SBV2-ALL92-G232-C03,strong_action_overclaim,policy_simulation,POL-007,SimCity implements the shock by changing production skill requirements and labor,We implement this shock by altering the skill requirements in production midway ,runtime_check_needed,none,True,"SimCity implements the shock by changing production skill requirements and labor preferences midway through the run, marked as 0 to Event in Figure 7.",We implement this shock by altering the skill requirements in production midway through the simulation (denoted as “0 to Event” in Figure 7).,gpt_probe_100,25
LLM_094,SBV2-ALL92-G226-C02,mild_scope_overclaim,policy_simulation,POL-005,"The heatwave model reports steeper declines in perceived safety, social connecti",Preliminary results show primarily psychosocial impacts distributed inequitably:,runtime_check_needed,none,True,"The heatwave model reports steeper declines in perceived safety, social connection, and comfort for highly vulnerable agents than low-vulnerability peers.",Preliminary results show primarily psychosocial impacts distributed inequitably: highly vulnerable agents exhibit steeper declines in perceived safety and social connection than low-vulnerability peers.,gpt_probe_100,25
LLM_093,SBV2-ALL92-G254-C02,mild_scope_overclaim,policy_simulation,POL-014,"The paper says future work focuses on validation frameworks for accuracy, reliab",Future work focuses on establishing robust validation frameworks to ensure accur,runtime_check_needed,none,True,"The paper says future work focuses on validation frameworks for accuracy, reliability, transferability, and urban planning application studies.",Future work focuses on establishing robust validation frameworks to ensure accuracy and reliability in urban planning applications.,gpt_probe_100,25
LLM_089,SBV2-ALL92-G256-C02,mild_scope_overclaim,policy_simulation,POL-015,The paper says the benchmark indicates large speedup potential relative to onlin,"While absolute throughput depends on hardware and implementation details, this b",runtime_check_needed,none,True,"The paper says the benchmark indicates large speedup potential relative to online LLM inference, with throughput depending on hardware and routing details.","While absolute throughput depends on hardware and implementation details, this benchmark highlights the potential for large speedups relative to online LLM inference in typical settings.",gpt_probe_100,25
LLM_046,SBV2-ALL92-G232-C01,supported,policy_simulation,POL-007,SimCity implements the shock by changing production skill requirements midway th,We implement this shock by altering the skill requirements in production midway ,runtime_check_needed,none,True,"SimCity implements the shock by changing production skill requirements midway through the run, marked as 0 to Event in Figure 7.",We implement this shock by altering the skill requirements in production midway through the simulation (denoted as “0 to Event” in Figure 7).,gpt_probe_100,25
LLM_167,SBV2-ALL92-G091-C04,contradiction_candidate,cyber_defense,CYB-009,The study evaluates its methods against no baselines at different design stages ,We evaluate our methods against multiple baselines at different stages of the de,runtime_check_needed,cyber_defense,True,The study evaluates its methods against no baselines at different design stages while motivating the methodology and design decisions.,We evaluate our methods against multiple baselines at different stages of the design process to motivate our methodology and design decisions.,gpt_probe_100,25
LLM_034,SBV2-ALL92-G186-C01,supported,marl,MARL-004,The industrial-control paper argues many academic benchmarks differ markedly fro,"Many academic benchmarks differ markedly from industrial control problems, limit",runtime_check_needed,marl,True,"The industrial-control paper argues many academic benchmarks differ markedly from industrial control problems, limiting transfer to industrial applications in practice.","Many academic benchmarks differ markedly from industrial control problems, limiting their transferability to real-world applications.",gpt_probe_100,25
LLM_001,SBV2-ALL92-G043-C01,supported,autonomous_driving,AD-016,HABIT evaluates three recent end-to-end autonomy agents on semantically grounded,Prediction and Planning on HABIT We evaluate three recent end-to-end autonomous ,runtime_check_needed,none,True,HABIT evaluates three recent end-to-end autonomy agents on semantically grounded pedestrian behaviors in the prediction and planning study reported by the authors.,Prediction and Planning on HABIT We evaluate three recent end-to-end autonomous driving agents on HABIT’s semantically diverse pedestrian behav- iors.,gpt_probe_100,25
LLM_042,SBV2-ALL92-G255-C01,supported,policy_simulation,POL-014,The paper says the simulation models individual behaviors and large-scale mobili,"Using real-world data, the simulation models individual behaviors and large-scal",runtime_check_needed,none,True,The paper says the simulation models individual behaviors and large-scale mobility patterns for Taipei City with empirical city data.,"Using real-world data, the simulation models individual behaviors and large-scale mobility patterns in Taipei City.",gpt_probe_100,25
LLM_067,SBV2-ALL92-G092-C02,mild_scope_overclaim,cyber_defense,CYB-009,The comparisons show the hierarchical learning approach achieving top performanc,Comparisons with multiple baselines across different adversaries show that our h,runtime_check_needed,cyber_defense,True,"The comparisons show the hierarchical learning approach achieving top performance in convergence speed, episodic return, cybersecurity metrics, and resource costs with multiple adversaries.","Comparisons with multiple baselines across different adversaries show that our hierarchical learning approach achieves top performance in terms of convergence speed, episodic return, and several interpretable metrics relevant to cybersecurity, including the fraction of clean machines on the network, precision, and false positives.",gpt_probe_100,25
LLM_148,SBV2-ALL92-G161-C03,strong_action_overclaim,robotics,MARL-015,The Isaac-to-Gazebo work describes its approach as a step toward low-code applic,"While this does not necessarily of- fer the best fine-tuned performance, we beli",runtime_check_needed,none,True,The Isaac-to-Gazebo work describes its approach as a step toward low-code applications while presenting strong fine-tuned performance as a central contribution.,"While this does not necessarily of- fer the best fine-tuned performance, we believe this to be a step towards, e.g., low-code applications.",gpt_probe_100,25
LLM_081,SBV2-ALL92-G135-C02,mild_scope_overclaim,digital_twin,DT-012,The microgrid RL literature limitation concerns simplified BESS modeling that fo,"Regardless of the adopted RL methods, a common limitation in these approaches is",runtime_check_needed,none,True,The microgrid RL literature limitation concerns simplified BESS modeling that focuses mainly on electrical behavior in several prior approaches.,"Regardless of the adopted RL methods, a common limitation in these approaches is related to the simplistic modeling of the BESS, which is often restricted solely to their electrical behavior.",gpt_probe_100,25
LLM_152,SBV2-ALL92-G040-C04,contradiction_candidate,autonomous_driving,AD-015,DriveE2E implements no classical E2EAD models as baseline methods for the experi,4 EXPERIMENTS 4.1 BASELINES AND IMPLEMENTATION DETAILS We implement five classic,runtime_check_needed,none,True,DriveE2E implements no classical E2EAD models as baseline methods for the experiments and comparative evaluation reported in the benchmark study.,4 EXPERIMENTS 4.1 BASELINES AND IMPLEMENTATION DETAILS We implement five classical End-to-End Autonomous Driving (E2EAD) models as baseline meth- ods.,gpt_probe_100,25
LLM_047,SBV2-ALL92-G161-C01,supported,robotics,MARL-015,The Isaac-to-Gazebo work describes its approach as a step toward low-code applic,"While this does not necessarily of- fer the best fine-tuned performance, we beli",runtime_check_needed,none,True,The Isaac-to-Gazebo work describes its approach as a step toward low-code applications while acknowledging limited fine-tuned performance potential.,"While this does not necessarily of- fer the best fine-tuned performance, we believe this to be a step towards, e.g., low-code applications.",gpt_probe_100,25
LLM_188,SBV2-ALL92-G232-C04,contradiction_candidate,policy_simulation,POL-007,SimCity implements the shock by keeping production skill requirements unchanged ,We implement this shock by altering the skill requirements in production midway ,runtime_check_needed,none,True,"SimCity implements the shock by keeping production skill requirements unchanged midway through the run, marked as 0 to Event in Figure 7.",We implement this shock by altering the skill requirements in production midway through the simulation (denoted as “0 to Event” in Figure 7).,gpt_probe_100,25
