file_path,stale_claim,risk_level,recommended_replacement,should_edit
d:\ocn\scripts\README_MAINLINE.md,"V3.7 (Evidence Sufficiency Calibration main line) cited as current paper",high,"Current mainline is V3.17 baseline (offline PDF-corpus evidence-sufficiency screening); V3.7 paper version retained as historical advisor-handoff draft",yes
d:\ocn\scripts\README_MAINLINE.md,"'Current Paper' section points only to V3.7 docx/md as the live manuscript",high,"Reframe as historical paper draft; current selected method is V3.17 baseline (BM25 + best_sentence_top5_overlap + restored R4 + G_conservative_precision + second-stage review queue)",yes
d:\ocn\scripts\README_MAINLINE.md,"'Do the gold pilot, not new algorithms' positioned as the next step",medium,"Update to: V3.17 baseline is selected mainline; V3.18 intelligent upgrade attempted as exploratory negative ablation and did not improve; next options are evidence-force contrastive or local LLM pilot",yes
d:\ocn\scripts\HOW_TO_REPRODUCE_MAINLINE.md,"V3.7 markdown + docx cited as 'paper source of truth'",high,"Current method source of truth is the V3.17 baseline pipeline (scripts/run_canonicalized_review_queue_v1.py + R4 artifacts + canonicalized evidence); V3.7 paper retained as historical draft",yes
d:\ocn\scripts\HOW_TO_REPRODUCE_MAINLINE.md,"R4 thresholds listed as t_contra=0.48 / t_strong=0.535 / t_svm=0.51 only",medium,"Add per-seed R4 thresholds (seed_11: t_contra=0.4, t_contra_low=0.35, t_strong=0.55, t_svm=0.55) and note frozen reference thresholds; evidence canonicalization (best_sentence_top5_overlap) is the bridge between BM25 retrieval and R4 screening",yes
d:\ocn\scripts\HOW_TO_REPRODUCE_MAINLINE.md,"Step 2/3 only describe V3.7 docx regeneration; no mention of V3.17 baseline reproduction or evidence canonicalization",high,"Add reproduction path for V3.17 baseline: PDF corpus -> BM25 top-k -> best_sentence_top5_overlap canonicalization -> restored R4 (10 seeds) -> G_conservative_precision ranking -> second-stage review queue",yes
d:\ocn\_PROJECT_INDEX\current_paper_paths.md,"'Current Paper Paths — Top 5' header dated 2026-07-04 with Version: V3.7",high,"Relabel as historical advisor-handoff paths; current mainline method is V3.17 baseline; V3.18 intelligent upgrade retained as exploratory negative ablation",yes
d:\ocn\_PROJECT_INDEX\mainline_file_manifest.csv,"manifest references V3.7 docx as 'Latest Word manuscript for advisor review' and lists mixed_framework_v2_frozen_r4_baseline as the main R4 result",high,"Add V3.17 baseline entry (BM25 + best_sentence_top5_overlap + restored R4 + G_conservative_precision + second-stage review queue); mark V3.7 docx as historical advisor-handoff artifact",yes
d:\ocn\_PROJECT_INDEX\script_registry_mainline.csv,"registry lists 16 current_mainline scripts anchored on V3.7 paper build chain",medium,"Add V3.17 baseline scripts (run_canonicalized_review_queue_v1.py, run_r4_evidence_canonicalization_v1.py, run_canonicalized_risk_ranking_v1.py, run_v3_18_intelligent_upgrade_v1.py) as current_mainline; keep V3.x docx builders as historical",yes
d:\ocn\_PROJECT_INDEX\script_cleanup_report.md,"cleanup report references V3.7 as the current paper mainline",medium,"Add realignment note: current mainline is V3.17 baseline; V3.7 paper retained as historical",yes
