sample_id,candidate_id,label_4_silver,gpt_standard_label,gpt_structured_label,deepseek_label,r4_label,gpt_standard_correct,gpt_structured_correct,deepseek_correct,r4_correct
LLM_181,SBV2-ALL92-G124-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,1,1,1
LLM_132,SBV2-ALL92-G186-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,0,0,0,0
LLM_144,SBV2-ALL92-G232-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,strong_action_overclaim,0,0,0,1
LLM_094,SBV2-ALL92-G226-C02,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,1,1,1,1
LLM_093,SBV2-ALL92-G254-C02,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,strong_action_overclaim,1,1,1,0
LLM_089,SBV2-ALL92-G256-C02,mild_scope_overclaim,mild_scope_overclaim,supported,supported,strong_action_overclaim,1,0,0,0
LLM_046,SBV2-ALL92-G232-C01,supported,supported,supported,supported,mild_scope_overclaim,1,1,1,0
LLM_167,SBV2-ALL92-G091-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,1,1,1
LLM_034,SBV2-ALL92-G186-C01,supported,supported,supported,supported,mild_scope_overclaim,1,1,1,0
LLM_001,SBV2-ALL92-G043-C01,supported,mild_scope_overclaim,supported,supported,strong_action_overclaim,0,1,1,0
LLM_042,SBV2-ALL92-G255-C01,supported,supported,supported,supported,mild_scope_overclaim,1,1,1,0
LLM_067,SBV2-ALL92-G092-C02,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,strong_action_overclaim,1,1,1,0
LLM_148,SBV2-ALL92-G161-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,strong_action_overclaim,0,0,0,1
LLM_081,SBV2-ALL92-G135-C02,mild_scope_overclaim,supported,supported,supported,strong_action_overclaim,0,0,0,0
LLM_152,SBV2-ALL92-G040-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,1,1,1
LLM_047,SBV2-ALL92-G161-C01,supported,supported,supported,supported,mild_scope_overclaim,1,1,1,0
