candidate_id,true_label,baseline_pred_label,baseline_strong_flag,learned_pred_label,learned_strong_flag,ranker_score,baseline_priority_score,baseline_rank,learned_ranker_rank,selector_change,ranker_change,combined_category,screening_category,ambiguous_category,oracle_overlap_of_selected,evidence_selection_failure
SBV2-ALL92-G002-CONTRA,contradiction_candidate,strong_action_overclaim,1,strong_action_overclaim,1,0.3491372490527859,1.0743871222043495,17,51,selector_neutral,ranker_neutral,no_change,strong_action_false_positive,not_ambiguous,0.43243243243243246,0
SBV2-ALL92-G002-MILD,mild_scope_overclaim,strong_action_overclaim,1,supported,0,0.3386403941014987,1.0680552851136216,20,71,selector_harmed,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.47058823529411764,0
SBV2-ALL92-G002-STRONG,strong_action_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.4037562007847302,0.7518597177589851,219,4,selector_neutral,ranker_helped,partial_help,screening_neutral,not_ambiguous,0.208955223880597,0
SBV2-ALL92-G002-SUPPORTED,supported,supported,0,supported,0,0.13643834887969053,0.1771016862902157,310,333,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.47058823529411764,0
SBV2-ALL92-G003-CONTRA,contradiction_candidate,contradiction_candidate,0,contradiction_candidate,0,0.07422355329020688,-0.647052898009564,413,416,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.5581395348837209,0
SBV2-ALL92-G003-MILD,mild_scope_overclaim,mild_scope_overclaim,0,mild_scope_overclaim,0,0.241568426039289,0.1650759614819082,314,286,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.4186046511627907,0
SBV2-ALL92-G003-STRONG,strong_action_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.3656946071227415,0.7367889284473753,228,30,selector_neutral,ranker_helped,partial_help,screening_neutral,not_ambiguous,0.42424242424242425,0
SBV2-ALL92-G003-SUPPORTED,supported,strong_action_overclaim,1,supported,0,0.333595946025695,0.8236724287556668,186,93,selector_harmed,ranker_helped,partial_help,screening_neutral,not_ambiguous,0.3137254901960784,0
SBV2-ALL92-G004-CONTRA,contradiction_candidate,contradiction_candidate,0,contradiction_candidate,0,0.08968756409373885,-0.5693310283906101,399,368,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.19047619047619047,0
SBV2-ALL92-G004-MILD,mild_scope_overclaim,supported,0,supported,0,0.32394274754951535,0.214086317565218,290,125,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,1.0,0
SBV2-ALL92-G004-STRONG,strong_action_overclaim,supported,0,strong_action_overclaim,1,0.31691642666988584,0.2359254386979614,281,142,selector_helped,ranker_neutral,partial_help,screening_recovery,not_ambiguous,0.06451612903225806,1
SBV2-ALL92-G004-SUPPORTED,supported,supported,0,supported,0,0.166539641577106,0.2901719155899717,267,324,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,1.0,0
SBV2-ALL92-G007-CONTRA,contradiction_candidate,contradiction_candidate,0,contradiction_candidate,0,0.0722956717318652,-0.5098145144679258,393,423,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.8235294117647058,0
SBV2-ALL92-G007-MILD,mild_scope_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.3017740929950391,0.772366300515351,213,183,selector_neutral,ranker_neutral,no_change,strong_action_false_positive,ambiguous_mild_strong,0.8235294117647058,0
SBV2-ALL92-G007-STRONG,strong_action_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.3200056469660537,0.8116781711340303,193,135,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.8235294117647058,0
SBV2-ALL92-G007-SUPPORTED,supported,strong_action_overclaim,1,strong_action_overclaim,1,0.2985747137329843,0.7501506079408099,221,191,selector_neutral,ranker_neutral,no_change,strong_action_false_positive,not_ambiguous,0.8235294117647058,0
SBV2-ALL92-G008-CONTRA,contradiction_candidate,contradiction_candidate,0,contradiction_candidate,0,0.2663110558735174,0.2405558904997127,279,253,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.20408163265306123,0
SBV2-ALL92-G008-MILD,mild_scope_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.3163904377053372,1.0351689244214932,41,143,selector_neutral,ranker_harmed,no_change,strong_action_false_positive,ambiguous_mild_strong,0.23809523809523808,0
SBV2-ALL92-G008-STRONG,strong_action_overclaim,strong_action_overclaim,1,contradiction_candidate,0,0.3109104113285761,1.0350646921704296,42,157,selector_harmed,ranker_harmed,both_failed,strong_action_false_negative,not_ambiguous,0.08695652173913043,1
SBV2-ALL92-G008-SUPPORTED,supported,contradiction_candidate,0,contradiction_candidate,0,0.2572848184818217,0.3077391673126759,262,270,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.08163265306122448,1
