candidate_id,variant,evidence_input_sha256,n_words,source,uses_oracle_text,contains_metadata,is_lengthened
SBV2-ALL92-G002-SUPPORTED,oracle_clean,6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,30,candidate_csv.evidence_text,True,False,False
SBV2-ALL92-G002-SUPPORTED,oracle_plus_metadata,26cd84edd1a8f5178dd45eab2f919190a1d345f8412e6de1c654bd388ab39422,47,candidate_csv.evidence_text + metadata,True,True,False
SBV2-ALL92-G002-SUPPORTED,oracle_lengthened,b7291c60bf9cc3bf12bae4567ea56b28e4ee7aa1d6ccb59323496da3d27613e6,102,candidate_csv.evidence_text + adjacent_chunk,True,False,True
SBV2-ALL92-G002-SUPPORTED,oracle_plus_metadata_lengthened,b52a91233fff3a1d154c2b2ebc867746f54bf97c198862a0a12daffb833aae69,119,candidate_csv.evidence_text + metadata + adjacent_chunk,True,True,True
SBV2-ALL92-G002-SUPPORTED,raw_bm25_top1_chunk,aec776c36e9eb7b5ffdcbb15b2ac411dee609485f88bbee1f774b6b68c5c651b,68,chunk_retrieval rank=1,False,False,False
SBV2-ALL92-G002-SUPPORTED,cleaned_bm25_top1_chunk,aec776c36e9eb7b5ffdcbb15b2ac411dee609485f88bbee1f774b6b68c5c651b,68,chunk_retrieval rank=1 (cleaned),False,False,False
SBV2-ALL92-G002-SUPPORTED,canonicalized_best_sentence_top5,d1137302904410af2c255bc382fa506e8a736321125c5b8d68771c9eaee8b0c9,32,canonicalizer_ablation best_sentence_top5_overlap,False,False,False
SBV2-ALL92-G002-SUPPORTED,canonicalized_three_sentence_window_top5,6ce3aebfe368ab4280a3fc95981eaef09207196bb0f6d27a744c786d189cf358,72,canonicalizer_ablation three_sentence_window_top5,False,False,False
SBV2-ALL92-G002-MILD,oracle_clean,6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,30,candidate_csv.evidence_text,True,False,False
SBV2-ALL92-G002-MILD,oracle_plus_metadata,26cd84edd1a8f5178dd45eab2f919190a1d345f8412e6de1c654bd388ab39422,47,candidate_csv.evidence_text + metadata,True,True,False
SBV2-ALL92-G002-MILD,oracle_lengthened,b7291c60bf9cc3bf12bae4567ea56b28e4ee7aa1d6ccb59323496da3d27613e6,102,candidate_csv.evidence_text + adjacent_chunk,True,False,True
SBV2-ALL92-G002-MILD,oracle_plus_metadata_lengthened,b52a91233fff3a1d154c2b2ebc867746f54bf97c198862a0a12daffb833aae69,119,candidate_csv.evidence_text + metadata + adjacent_chunk,True,True,True
SBV2-ALL92-G002-MILD,raw_bm25_top1_chunk,aec776c36e9eb7b5ffdcbb15b2ac411dee609485f88bbee1f774b6b68c5c651b,68,chunk_retrieval rank=1,False,False,False
SBV2-ALL92-G002-MILD,cleaned_bm25_top1_chunk,aec776c36e9eb7b5ffdcbb15b2ac411dee609485f88bbee1f774b6b68c5c651b,68,chunk_retrieval rank=1 (cleaned),False,False,False
SBV2-ALL92-G002-MILD,canonicalized_best_sentence_top5,d1137302904410af2c255bc382fa506e8a736321125c5b8d68771c9eaee8b0c9,32,canonicalizer_ablation best_sentence_top5_overlap,False,False,False
SBV2-ALL92-G002-MILD,canonicalized_three_sentence_window_top5,6ce3aebfe368ab4280a3fc95981eaef09207196bb0f6d27a744c786d189cf358,72,canonicalizer_ablation three_sentence_window_top5,False,False,False
SBV2-ALL92-G002-STRONG,oracle_clean,6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,30,candidate_csv.evidence_text,True,False,False
SBV2-ALL92-G002-STRONG,oracle_plus_metadata,26cd84edd1a8f5178dd45eab2f919190a1d345f8412e6de1c654bd388ab39422,47,candidate_csv.evidence_text + metadata,True,True,False
SBV2-ALL92-G002-STRONG,oracle_lengthened,702105f495b62c9d04e9928c824369044f3c70ea54ef2a1593be4c15fa2ee2a0,98,candidate_csv.evidence_text + adjacent_chunk,True,False,True
SBV2-ALL92-G002-STRONG,oracle_plus_metadata_lengthened,6854f193f25027bf05d4637f824d4c8b9e3b1a1b5dc7738db5975dab26cd8818,115,candidate_csv.evidence_text + metadata + adjacent_chunk,True,True,True
