clean_queue_rank,target_candidate_group_id,span_id,source_id,domain,title,url,arxiv_id,pdf_filename,page_number,source_location,evidence_type,evidence_text,evidence_text_sha256,word_count,manual_evidence_quality,claim_generation_ready,reject_reason,notes
1,SBV2-ALL92-G002,AD-001-S2,AD-001,autonomous_driving,nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation,https://arxiv.org/abs/2511.10403,2511.10403,pdfs/AD-001__2511.10403.pdf,1,pdf_page_1,metric_result,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,31,accepted_clean_pdf_verified,True,,PDF text match verified on page 1; evidence text and sha256 preserved exactly.
2,SBV2-ALL92-G003,AD-001-S3,AD-001,autonomous_driving,nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation,https://arxiv.org/abs/2511.10403,2511.10403,pdfs/AD-001__2511.10403.pdf,1,pdf_page_1,limitation,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.",05a04b9bee82765e650aa1c1299b5adb17695b2febaae24b15324148593d85c6,23,accepted_clean_pdf_verified,True,,PDF text match verified on page 1; evidence text and sha256 preserved exactly.
3,SBV2-ALL92-G004,AD-002-S1,AD-002,autonomous_driving,Open-Source Modular Benchmark for Diffusion-Based Motion Planning in Closed-Loop Autonomous Driving,https://arxiv.org/abs/2603.01023,2603.01023,pdfs/AD-002__2603.01023.pdf,5,pdf_page_5,experiment_setup,"Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware.",1371575d2ee6003cf2a2888697bbfa488c6d858169ce0f7eafb508a32dc06f4e,40,accepted_clean_pdf_verified,True,,PDF text match verified on page 5; evidence text and sha256 preserved exactly.
4,SBV2-ALL92-G005,AD-002-S2,AD-002,autonomous_driving,Open-Source Modular Benchmark for Diffusion-Based Motion Planning in Closed-Loop Autonomous Driving,https://arxiv.org/abs/2603.01023,2603.01023,pdfs/AD-002__2603.01023.pdf,6,pdf_page_6,metric_result,"The vertical arrow shows the solver order benefit: at the same latency, second-order solving at N=3 matches the accuracy of first-order at N=5, effectively halving the required steps.",cc26468814034b9c140997c8edc43ef3cb33c7260adec1aa453638b3cf463dab,30,accepted_clean_pdf_verified,True,,PDF text match verified on page 6; evidence text and sha256 preserved exactly.
5,SBV2-ALL92-G007,AD-003-S1,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,8,pdf_page_8,metric_result,"The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the best, Dif- fusionDrive, achieves only 34.2 Overall DS.",4436a4b7e7d88823269ee496be7704b5f18551ae7b94438c66ea381dbd2ba97d,24,accepted_clean_pdf_verified,True,,PDF text match verified on page 8; evidence text and sha256 preserved exactly.
6,SBV2-ALL92-G008,AD-003-S2,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,1,pdf_page_1,limitation,"This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate.",c043baa4d27cad2db9da9e2bf022af0f6c3f03dd6d02b67ed3de4d7c6499b91c,33,accepted_clean_pdf_verified,True,,PDF text match verified on page 1; evidence text and sha256 preserved exactly.
7,SBV2-ALL92-G009,AD-003-S3,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,1,pdf_page_1,deployment_boundary,"Built on a more advanced physics engine, HiDrive provides physically realistic lighting and high-fidelity visual rendering, offering a more challenging and realistic testbed for assessing whether autonomous driving systems can handle the complexity of real-world deployment.",63330be317dcd6538a1a8bc2179e4506754e41c010467dcdba0b09b657ea940a,36,accepted_clean_pdf_verified,True,,PDF text match verified on page 1; evidence text and sha256 preserved exactly.
8,SBV2-ALL92-G011,AD-004-S2,AD-004,autonomous_driving,Bench2Drive-Robust: Benchmarking Closed-Loop Autonomous Driving under Deployment Perturbations,https://arxiv.org/abs/2605.18059,2605.18059,pdfs/AD-004__2605.18059.pdf,1,pdf_page_1,metric_result,"Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations.",2e468defa01a774da820450135224a9f0b56eb244b26ae8f532346ed88af992f,26,accepted_clean_pdf_verified,True,,PDF text match verified on page 1; evidence text and sha256 preserved exactly.
13,SBV2-ALL92-G013,AD-005-S1,AD-005,autonomous_driving,Bench2Drive-R: Realistic Reactive Closed-Loop Benchmark,https://arxiv.org/abs/2412.09647,2412.09647,pdfs/AD-005__2412.09647.pdf,3,pdf_page_3,experiment_setup,"Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan.",fa87fb62c6b02c85492006b8cd7309a6c3c45c74f9e032e22c01a6740741eb5d,13,accepted_clean_pdf_verified,True,,PDF trace verified; evidence_text and evidence_text_sha256 preserved exactly; source_location upgraded after page match.
14,SBV2-ALL92-G014,AD-005-S2,AD-005,autonomous_driving,Bench2Drive-R: Realistic Reactive Closed-Loop Benchmark,https://arxiv.org/abs/2412.09647,2412.09647,pdfs/AD-005__2412.09647.pdf,9,pdf_page_9,metric_result,"2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score.",9d29a849f0cee133742cdebd54ed9ec73cc2b339ee6f007bebc610b315df129a,22,accepted_clean_pdf_verified,True,,PDF trace verified; evidence_text and evidence_text_sha256 preserved exactly; source_location upgraded after page match.
17,SBV2-ALL92-G017,AD-006-S2,AD-006,autonomous_driving,Bench2ADVLM,https://arxiv.org/abs/2508.02028,2508.02028,pdfs/AD-006__2508.02028.pdf,7,pdf_page_7,metric_result,"OmniDrive consistently achieves the highest scores across all metrics, with a peak Success Rate of 12.99%, Driving Score of 43.75, and Skill Score of 19.38, indicating better robustness and generalization in closed-loop setting.",697d9fe451b3388f19bb284f9570cfbc3a89c107425c8899513590342e8f4390,33,accepted_clean_pdf_verified,True,,PDF trace verified; evidence_text and evidence_text_sha256 preserved exactly; source_location upgraded after page match.
18,SBV2-ALL92-G018,AD-006-S3,AD-006,autonomous_driving,Bench2ADVLM,https://arxiv.org/abs/2508.02028,2508.02028,pdfs/AD-006__2508.02028.pdf,7,pdf_page_7,limitation,"The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations.",63768ac8a0c3a41266ba78375a734cbf983eea693a7cc7f5da2ad506d5d1af48,17,accepted_clean_pdf_verified,True,,PDF trace verified; evidence_text and evidence_text_sha256 preserved exactly; source_location upgraded after page match.
1,SBV2-ALL92-G019,AD-007-S1,AD-007,autonomous_driving,RoboDriveVLM / RoboDriveBench,https://arxiv.org/abs/2512.01300,2512.013,pdfs/AD-007__2512.01300.pdf,6,pdf_page_6,experiment_setup,"Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4.",d6e6dfa236313d7fa26da23cf16507d18528c5c6cf952679340daf0af5cf698f,29,accepted_clean_pdf_verified,True,,PDF trace verified on page 6; evidence_text and evidence_text_sha256 preserved exactly.
2,SBV2-ALL92-G020,AD-007-S2,AD-007,autonomous_driving,RoboDriveVLM / RoboDriveBench,https://arxiv.org/abs/2512.01300,2512.013,pdfs/AD-007__2512.01300.pdf,6,pdf_page_6,metric_result,"In particular, RoboDriveVLM-TTA achieves the best overall performance in AvgL2-Prompt (0.474), AvgCol-Prompt (0.22), and maintains relatively low MCL2/MCC values even under prompt corruption.",15291939306b1ae7d86fc783d0370b291bc69c433c2b36f19f5682ebf12f7345,24,accepted_clean_pdf_verified,True,,PDF trace verified on page 6; evidence_text and evidence_text_sha256 preserved exactly.
3,SBV2-ALL92-G021,AD-007-S3,AD-007,autonomous_driving,RoboDriveVLM / RoboDriveBench,https://arxiv.org/abs/2512.01300,2512.013,pdfs/AD-007__2512.01300.pdf,1,pdf_page_1,limitation,"Through extensive experi- ments, our work highlights the limitations of current VLM- based end-to-end autonomous driving systems and provides a more reliable solution for real-world deployment.",6efee5891286599ea7c4589138b121e13c2de8d52a469d98584f169c44340d04,26,accepted_clean_pdf_verified,True,,PDF trace verified on page 1; evidence_text and evidence_text_sha256 preserved exactly.
4,SBV2-ALL92-G025,AD-009-S1,AD-009,autonomous_driving,ScenePilot-Bench,https://arxiv.org/abs/2601.19582,2601.19582,pdfs/AD-009__2601.19582.pdf,5,pdf_page_5,experiment_setup,"5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representative commercial, open-source, and driving- specialized VLMs on ScenePilot-Bench.",f20bc1d56eda4fc50d6d0e237529dbe2277097771238ea9436a4d2e2f98b65b7,18,accepted_clean_pdf_verified,True,,PDF trace verified on page 5; evidence_text and evidence_text_sha256 preserved exactly.
