sample_id,candidate_id,label_4_silver,parse_status,factual_alignment,scope_expansion,action_or_deployment_claim,evidence_sufficient_for_action,label,confidence,one_sentence_rationale,evidence_used,uncertain,warnings,model,latency,input_tokens_est,output_tokens_est,cost_estimate
LLM_181,SBV2-ALL92-G124-C04,contradiction_candidate,ok,contradicted,False,False,True,contradiction_candidate,0.98,"The claim says the design process disregarded surrogate prediction accuracy and sensor monitoring feasibility, while the evidence explicitly states that both were considered.",True,False,,gpt-5.5,7.24,1109,151,0.00781
LLM_132,SBV2-ALL92-G186-C03,strong_action_overclaim,ok,contradicted,False,True,False,contradiction_candidate,0.95,"The evidence states that academic benchmarks differ markedly from industrial control problems and that this limits transferability, directly conflicting with the claim that they still provide reliable transfer to industrial applications.",True,False,,gpt-5.5,10.5,1100,242,0.00913
LLM_144,SBV2-ALL92-G232-C03,strong_action_overclaim,ok,unclear,True,False,True,mild_scope_overclaim,0.86,"The evidence supports changing production skill requirements midway through the simulation and the '0 to Event' notation, but it does not mention labor preferences or explicitly identify the system as SimCity.",True,False,,gpt-5.5,14.83,1115,340,0.010675
LLM_094,SBV2-ALL92-G226-C02,mild_scope_overclaim,ok,unsupported,True,False,True,mild_scope_overclaim,0.86,"The evidence supports steeper declines in perceived safety and social connection for highly vulnerable agents, but the claim adds comfort, which the evidence does not mention.",True,False,,gpt-5.5,14.34,1116,326,0.01047
LLM_093,SBV2-ALL92-G254-C02,mild_scope_overclaim,ok,supported,True,False,True,mild_scope_overclaim,0.86,"The evidence supports future work on validation frameworks for accuracy and reliability in urban planning applications, but the claim adds transferability and application studies, which are not explicitly stated.",True,False,,gpt-5.5,16.19,1098,375,0.011115
LLM_089,SBV2-ALL92-G256-C02,mild_scope_overclaim,ok,supported,False,False,True,supported,0.9,"The evidence directly states that the benchmark highlights large speedup potential relative to online LLM inference and that absolute throughput depends on hardware and implementation details, which aligns with the claim's hardware/routing-detail dependence framing.",True,False,,gpt-5.5,24.93,1112,620,0.01486
LLM_046,SBV2-ALL92-G232-C01,supported,ok,supported,False,False,True,supported,0.93,"The evidence directly states that the shock is implemented by altering production skill requirements midway through the simulation and denotes it as “0 to Event” in Figure 7, matching the claim.",True,False,,gpt-5.5,23.55,1112,564,0.01402
LLM_167,SBV2-ALL92-G091-C04,contradiction_candidate,ok,contradicted,False,False,True,contradiction_candidate,0.98,"The claim states the study evaluates against no baselines, while the evidence explicitly says it evaluates against multiple baselines at different design stages.",True,False,,gpt-5.5,8.22,1101,156,0.007845
LLM_034,SBV2-ALL92-G186-C01,supported,ok,supported,False,True,True,supported,0.95,"The evidence directly states that many academic benchmarks differ markedly from industrial control problems and that this limits transferability to real-world applications, matching the claim without material expansion.",True,False,,gpt-5.5,15.94,1099,393,0.01139
LLM_001,SBV2-ALL92-G043-C01,supported,ok,supported,False,False,True,supported,0.93,"The evidence directly states that the authors evaluate three recent end-to-end autonomous driving agents on HABIT's semantically diverse pedestrian behaviors under the prediction and planning section, matching the claim without material overreach.",True,False,,gpt-5.5,11.76,1115,274,0.009685
LLM_042,SBV2-ALL92-G255-C01,supported,ok,supported,False,False,True,supported,0.97,"The evidence directly states that using real-world data, the simulation models individual behaviors and large-scale mobility patterns in Taipei City, matching the claim's description.",True,False,,gpt-5.5,10.53,1097,183,0.00823
LLM_067,SBV2-ALL92-G092-C02,mild_scope_overclaim,ok,unsupported,True,False,True,mild_scope_overclaim,0.9,"The evidence supports top performance for convergence speed, episodic return, and cybersecurity-related metrics across different adversaries, but it does not mention resource costs, so the claim slightly expands the supported metric scope.",True,False,,gpt-5.5,15.63,1140,360,0.0111
LLM_148,SBV2-ALL92-G161-C03,strong_action_overclaim,ok,contradicted,True,False,True,contradiction_candidate,0.86,"The evidence supports the low-code-applications part but explicitly says the work does not necessarily offer the best fine-tuned performance, conflicting with the claim that strong fine-tuned performance is presented as a central contribution.",True,False,,gpt-5.5,17.08,1117,392,0.011465
LLM_081,SBV2-ALL92-G135-C02,mild_scope_overclaim,ok,supported,False,False,True,supported,0.9,"The evidence directly states that a common limitation of the RL approaches is simplistic BESS modeling often restricted to electrical behavior, matching the claim's description.",True,False,,gpt-5.5,22.2,1113,548,0.013785
LLM_152,SBV2-ALL92-G040-C04,contradiction_candidate,ok,contradicted,False,False,True,contradiction_candidate,0.99,"The claim says DriveE2E implements no classical E2EAD baseline models, while the evidence explicitly states that five classical E2EAD models are implemented as baseline methods.",True,False,,gpt-5.5,7.63,1121,159,0.00799
LLM_047,SBV2-ALL92-G161-C01,supported,ok,supported,False,False,True,supported,0.94,"The evidence directly states that the approach may not offer the best fine-tuned performance and is believed to be a step toward low-code applications, matching the claim.",True,False,,gpt-5.5,11.28,1114,261,0.009485
LLM_188,SBV2-ALL92-G232-C04,contradiction_candidate,ok,contradicted,False,False,True,contradiction_candidate,0.95,"The claim says the shock keeps production skill requirements unchanged, while the evidence says the shock is implemented by altering the skill requirements midway through the simulation.",True,False,,gpt-5.5,9.45,1113,206,0.008655
LLM_178,SBV2-ALL92-G135-C04,contradiction_candidate,ok,contradicted,False,False,True,contradiction_candidate,0.95,"The claim says surveyed microgrid RL approaches report detailed BESS modeling including thermal, aging, and electrical behavior, while the evidence states the opposite: BESS modeling is simplistic and often limited solely to electrical behavior.",True,False,,gpt-5.5,11.62,1114,211,0.008735
LLM_036,SBV2-ALL92-G190-C01,supported,ok,supported,False,False,True,supported,0.88,"The evidence directly states that all four cooperation paradigms are evaluated under a consistent experimental setting to enable systematic comparison of LLM autonomy and collaborative behavior, matching the claim's descriptive content.",True,False,,gpt-5.5,14.66,1115,345,0.01075
LLM_079,SBV2-ALL92-G108-C02,mild_scope_overclaim,ok,supported,True,False,True,mild_scope_overclaim,0.86,"The evidence supports that the method is described as theoretically justified and not reliant on restrictive assumptions such as linear transitions, but the claim adds the specific example of fixed noise terms, which is not directly stated in the evidence.",True,False,,gpt-5.5,32.09,1112,382,0.01129
LLM_117,SBV2-ALL92-G083-C03,strong_action_overclaim,ok,contradicted,False,False,True,contradiction_candidate,0.99,"The claim's reported improvements to 0.950 F1-score and 95.0% mitigation success directly conflict with the evidence values of 0.915 and 89.6%, respectively.",True,False,,gpt-5.5,8.07,1144,169,0.008255
LLM_187,SBV2-ALL92-G186-C04,contradiction_candidate,ok,contradicted,False,True,False,contradiction_candidate,0.98,"The claim says academic benchmarks closely match industrial control problems and support direct practical transfer, while the evidence states they differ markedly and have limited transferability.",True,False,,gpt-5.5,9.84,1099,209,0.00863
LLM_088,SBV2-ALL92-G257-C02,mild_scope_overclaim,ok,unsupported,True,False,True,mild_scope_overclaim,0.86,"The evidence supports that MobileCity gains efficiency at scale by disabling LLM modules and trading behavioral fidelity for speed, but it does not mention disabling planner modules.",True,False,,gpt-5.5,14.21,1128,327,0.010545
LLM_091,SBV2-ALL92-G259-C02,mild_scope_overclaim,ok,contradicted,True,False,True,contradiction_candidate,0.95,"The evidence reports the 20.7% improvement across six behavioral categories, while the claim states eight behavioral categories.",True,False,,gpt-5.5,9.49,1118,205,0.008665
LLM_143,SBV2-ALL92-G214-C03,strong_action_overclaim,ok,contradicted,False,False,True,contradiction_candidate,0.98,"The claim states accuracies above 60% and 45%, while the evidence reports much lower accuracies of 24.5% and 15.04% for the corresponding benchmark categories.",True,False,,gpt-5.5,9.77,1130,192,0.00853
LLM_002,SBV2-ALL92-G027-C01,supported,ok,supported,False,False,True,supported,0.98,The claim closely restates the evidence that ScenePilot-Bench is open-loop and does not directly measure downstream control effects in a closed-loop driving system.,True,False,,gpt-5.5,8.93,1115,193,0.00847
LLM_052,SBV2-ALL92-G052-C02,mild_scope_overclaim,ok,contradicted,False,False,True,contradiction_candidate,0.98,"The evidence matches the GPU and CPU counts but states the SAC algorithm was trained for 43 hours, directly contradicting the claim's 53 hours.",True,False,,gpt-5.5,7.2,1115,149,0.00781
LLM_195,SBV2-ALL92-G251-C04,contradiction_candidate,ok,contradicted,False,False,True,contradiction_candidate,0.95,"The claim says the Saez-regression schedule underperformed the LLM Economist, but the evidence states that the Saez-regression schedule now outperforms the LLM Economist, though both agree that the LLM schedule sets lower rates.",True,False,,gpt-5.5,8.81,1137,193,0.00858
LLM_033,SBV2-ALL92-G205-C01,supported,ok,supported,False,False,True,supported,0.94,"The evidence directly states that an interface between the simulator and Python wind farm environment is implemented via MPI communication channels to integrate with Python ecosystem libraries and RL research practices, matching the claim.",True,False,,gpt-5.5,11.54,1115,265,0.00955
LLM_146,SBV2-ALL92-G271-C03,strong_action_overclaim,ok,contradicted,False,False,True,contradiction_candidate,0.95,"The claim conflicts with the evidence by stating stabilization near 0.05 after day 5, while the evidence reports stabilization around 0.15 after day 15, despite sharing the same stationarity/consistency implication.",True,False,,gpt-5.5,9.32,1125,193,0.00852
LLM_035,SBV2-ALL92-G196-C01,supported,ok,supported,False,False,True,supported,0.92,The evidence directly states that the proposed algorithm is evaluated in the same three continuous-action benchmark environments listed in the claim.,True,False,,gpt-5.5,18.84,1123,480,0.012815
LLM_096,SBV2-ALL92-G261-C02,mild_scope_overclaim,ok,unsupported,True,False,True,mild_scope_overclaim,0.78,"The evidence supports a calibration layer mapping aggregated agent responses to population-level metrics for counterfactual policy analysis, but it does not mention subgroup narratives and the claim slightly broadens the described counterfactual analysis scope.",True,False,,gpt-5.5,24.44,1109,514,0.013255
LLM_184,SBV2-ALL92-G196-C04,contradiction_candidate,ok,contradicted,False,False,True,contradiction_candidate,0.98,"The claim says the evaluation excludes continuous-action benchmarks and focuses on single-agent discrete suites, while the evidence states it evaluates the algorithm in three widely used continuous-action benchmark environments.",True,False,,gpt-5.5,9.83,1113,227,0.00897
LLM_082,SBV2-ALL92-G198-C02,mild_scope_overclaim,ok,unsupported,True,False,True,mild_scope_overclaim,0.78,"The evidence states the limitation for strongly coupled tasks, while the claim shifts it to moderately coupled problems, extending the condition beyond what is directly supported.",True,False,,gpt-5.5,19.67,1128,478,0.01281
LLM_192,SBV2-ALL92-G266-C04,contradiction_candidate,ok,contradicted,False,False,True,contradiction_candidate,0.98,"The claim says Likert responses were kept as categorical letters and surveys were separated before averaging, while the evidence states responses were mapped to ordinal scores and both surveys were pooled before averaging.",True,False,,gpt-5.5,8.77,1131,205,0.00873
