audit_id_hash,领域,队列排名,系统预测,silver标签,语料关联性,selected_evidence关联性,是否可进入标签判断,不可判原因,证据是否一致,系统证据是否足够,人工标签,信心1到5,是否二审
ee273e65c1a26aa3,digital_twin,0,strong_action_overclaim,mild_scope_overclaim,明确相关,为空或太短,是,,selected为空或太短,不足,支持,4,
1e92a81830d1ab22,autonomous_driving,0,strong_action_overclaim,mild_scope_overclaim,明确相关,为空或太短,是,,selected为空或太短,不足,支持,5,
fb399dd759d21bbc,cyber_defense,0,strong_action_overclaim,supported,明确相关,为空或太短,是,,selected为空或太短,不足,支持,5,
c28306b912c31647,marl,0,strong_action_overclaim,supported,明确相关,为空或太短,是,,selected为空或太短,不足,支持,5,
22d10dcfe71dacff,marl,0,strong_action_overclaim,mild_scope_overclaim,明确相关,为空或太短,是,,selected为空或太短,不足,轻微过度,4,
77fe95111e077fae,cyber_defense,0,strong_action_overclaim,supported,明确相关,为空或太短,是,,selected为空或太短,不足,支持,4,
b5d118ccea0b9592,autonomous_driving,0,strong_action_overclaim,supported,明确相关,为空或太短,是,,selected为空或太短,不足,支持,5,
0e7b590865d8d4a6,autonomous_driving,0,strong_action_overclaim,contradiction_candidate,明确相关,为空或太短,是,,selected为空或太短,不足,矛盾,5,
2590a09335699f1e,cyber_defense,0,strong_action_overclaim,supported,明确相关,为空或太短,是,,selected为空或太短,不足,轻微过度,4,
d968059cdba8f816,cyber_defense,0,mild_scope_overclaim,strong_action_overclaim,明确相关,为空或太短,是,,selected为空或太短,不足,矛盾,5,
e9ab2171b87c85e8,robotics,0,strong_action_overclaim,mild_scope_overclaim,明确相关,为空或太短,是,,selected为空或太短,不足,轻微过度,4,
0aa8e1fd0833d0e9,digital_twin,0,strong_action_overclaim,contradiction_candidate,明确相关,为空或太短,是,,selected为空或太短,不足,矛盾,5,
9ee15ffdd7798dc5,autonomous_driving,0,strong_action_overclaim,mild_scope_overclaim,明确相关,为空或太短,是,,selected为空或太短,不足,轻微过度,4,
c9eaa286c01596ce,cyber_defense,0,strong_action_overclaim,mild_scope_overclaim,明确相关,为空或太短,是,,selected为空或太短,不足,支持,4,
3e2873d5a407607b,autonomous_driving,0,strong_action_overclaim,mild_scope_overclaim,明确相关,为空或太短,是,,selected为空或太短,不足,轻微过度,4,
16a36f6570e6456e,cyber_defense,0,strong_action_overclaim,supported,明确相关,为空或太短,是,,selected为空或太短,不足,支持,5,
57f7b85a721c5f2a,digital_twin,0,strong_action_overclaim,supported,明确相关,为空或太短,是,,selected为空或太短,不足,支持,5,
aa6f5fe8caa0aade,digital_twin,0,strong_action_overclaim,supported,明确相关,为空或太短,是,,selected为空或太短,不足,轻微过度,4,
0251fbba7f3cd705,autonomous_driving,0,supported,strong_action_overclaim,明确相关,为空或太短,是,,selected为空或太短,不足,轻微过度,4,
dadbcf305515e9af,autonomous_driving,0,strong_action_overclaim,strong_action_overclaim,明确相关,为空或太短,是,,selected为空或太短,不足,矛盾,5,
a007b484c8c19f9b,robotics,0,strong_action_overclaim,supported,明确相关,为空或太短,是,,selected为空或太短,不足,支持,5,
c365099bca460105,marl,0,strong_action_overclaim,strong_action_overclaim,明确相关,为空或太短,是,,selected为空或太短,不足,轻微过度,4,
a16dfb7e2d743e46,autonomous_driving,0,contradiction_candidate,supported,明确相关,为空或太短,是,,selected为空或太短,不足,支持,5,
49ce3ee99cc4b43d,policy_simulation,0,contradiction_candidate,mild_scope_overclaim,明确相关,为空或太短,是,,selected为空或太短,不足,矛盾,5,
7cb52ed1468f349a,marl,0,strong_action_overclaim,mild_scope_overclaim,明确相关,为空或太短,是,,selected为空或太短,不足,支持,5,
b841cec0826cf15e,robotics,0,strong_action_overclaim,mild_scope_overclaim,明确相关,为空或太短,是,,selected为空或太短,不足,轻微过度,4,
f70e76c568062066,autonomous_driving,0,supported,strong_action_overclaim,明确相关,为空或太短,是,,selected为空或太短,不足,矛盾,5,
d6f6a20c4196a971,policy_simulation,37,strong_action_overclaim,supported,明确相关,和claim弱相关,是,上下文缺失,部分一致,足够,支持,5,
4701197f5a795438,marl,58,strong_action_overclaim,mild_scope_overclaim,明确相关,和claim弱相关,是,上下文缺失,部分一致,足够,矛盾,5,
1e1c04536c3a3543,cyber_defense,87,strong_action_overclaim,mild_scope_overclaim,明确相关,和claim弱相关,是,证据太短,部分一致,足够,轻微过度,4,
