sample_id,candidate_id,label_4_silver,domain,parse_status,llm_label,llm_confidence,llm_rationale,llm_evidence_used,llm_uncertain,warnings,model,latency,input_tokens_est,output_tokens_est,cost_estimate,llm_label_idx,silver_idx,r4_label,r4_label_idx,llm_correct,r4_correct,llm_vs_r4
LLM_051,SBV2-ALL92-G028-C02,mild_scope_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states the same iterative quality control process to filter noise and correct biases, matching the claim exactly.",True,False,,deepseek-v4-flash,1.85,524,65,0.00016,0,1,strong_action_overclaim,2,0,0,both_wrong
LLM_054,SBV2-ALL92-G027-C02,mild_scope_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states that ScenePilot-Bench remains an open-loop benchmark and does not directly measure downstream control effects in a closed-loop system, matching the claim exactly.",True,False,,deepseek-v4-flash,1.85,528,77,0.000164,0,1,strong_action_overclaim,2,0,0,both_wrong
LLM_055,SBV2-ALL92-G030-C02,mild_scope_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states that ensuring safety under open-world conditions remains a significant barrier to large-scale deployment, which matches the claim's assertion that it is the main barrier to large-scale adoption.",True,False,,deepseek-v4-flash,1.73,509,80,0.00016,0,1,supported,0,0,0,both_wrong
LLM_057,SBV2-ALL92-G011-MILD,mild_scope_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states that deployment-related perturbations substantially degrade closed-loop driving performance and reveal robustness challenges not fully captured by conventional image-level corruption evaluations, matching the claim exactly.",True,False,,deepseek-v4-flash,1.78,523,76,0.000162,0,1,strong_action_overclaim,2,0,0,both_wrong
LLM_058,SBV2-ALL92-G007-MILD,mild_scope_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states that conventional end-to-end methods remain strongly limited on HiDrive and that DiffusionDrive achieves only 34.2 Overall DS, matching the claim exactly.",True,False,,deepseek-v4-flash,1.75,530,77,0.000165,0,1,mild_scope_overclaim,1,0,1,r4_only
LLM_060,SBV2-ALL92-G037-C02,mild_scope_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states that due to heavy computational requirements of closed-loop simulation, they evaluate on the navmini split, which matches the claim exactly.",True,False,,deepseek-v4-flash,1.46,509,72,0.000158,0,1,supported,0,0,0,both_wrong
LLM_065,SBV2-ALL92-G003-MILD,mild_scope_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states that nuPlan-R is a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework, matching the claim exactly.",True,False,,deepseek-v4-flash,1.43,523,78,0.000163,0,1,supported,0,0,0,both_wrong
LLM_066,SBV2-ALL92-G021-C02,mild_scope_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states that experiments highlight limitations of current VLM-based end-to-end autonomous driving systems and provide a more reliable solution, matching the claim's content.",True,False,,deepseek-v4-flash,2.07,528,75,0.000164,0,1,supported,0,0,0,both_wrong
LLM_069,SBV2-ALL92-G087-C02,mild_scope_overclaim,cyber_defense,ok,supported,0.95,"The evidence directly states that human designers face substantial cognitive limitations in developing comprehensive reward models that capture nuanced dynamics of cyber operations, which matches the claim.",True,False,,deepseek-v4-flash,1.73,534,72,0.000164,0,1,supported,0,0,0,both_wrong
LLM_072,SBV2-ALL92-G069-C02,mild_scope_overclaim,cyber_defense,ok,supported,1.0,"The evidence directly states that systematic evaluation of offensive capabilities remains constrained by limited access to open, reproducible, multi-host cyber-range infrastructure, which matches the claim almost verbatim.",True,False,,deepseek-v4-flash,1.8,522,77,0.000162,0,1,mild_scope_overclaim,1,0,1,r4_only
