sample_id,candidate_id,label_4,domain,source_id,claim_text_preview,evidence_text_preview,r4_correct_unknown,fragile_case_flag
LLM_001,SBV2-ALL92-G043-C01,supported,autonomous_driving,AD-016,HABIT evaluates three recent end-to-end autonomy agents on semantically grounded,Prediction and Planning on HABIT We evaluate three recent end-to-end autonomous ,runtime_check_needed,none
LLM_002,SBV2-ALL92-G027-C01,supported,autonomous_driving,AD-009,"ScenePilot-Bench remains open-loop, with downstream control effects in a closed-","First, ScenePilot-Bench remains an open-loop benchmark, and therefore does not d",runtime_check_needed,none
LLM_003,SBV2-ALL92-G040-C01,supported,autonomous_driving,AD-015,DriveE2E implements five classical E2EAD models as baseline methods for the expe,4 EXPERIMENTS 4.1 BASELINES AND IMPLEMENTATION DETAILS We implement five classic,runtime_check_needed,none
LLM_004,SBV2-ALL92-G036-C01,supported,autonomous_driving,AD-012,Bench2Drive describes missing official training data as a reason that method com,"As widely discussed in the community [42, 43], the lack of an official training ",runtime_check_needed,none
LLM_005,SBV2-ALL92-G030-C01,supported,autonomous_driving,AD-010,The paper states that safety under open-world conditions remains a significant b,"Despite these developments, ensuring safety under open- world conditions remains",runtime_check_needed,none
LLM_006,SBV2-ALL92-G052-C01,supported,autonomous_driving,AD-019,The experiment setup trained the SAC algorithm with eight NVIDIA A6000 GPUs and ,"Experiment Setup In conducting the experiments, we trained our SAC al- gorithm u",runtime_check_needed,none
LLM_007,SBV2-ALL92-G034-C01,supported,autonomous_driving,AD-012,Bench2Drive implements state-of-the-art E2E-AD models and evaluates them to prov,"We implement state-of-the-art E2E-AD models and evaluate them in Bench2Drive, pr",runtime_check_needed,none
LLM_008,SBV2-ALL92-G025-C01,supported,autonomous_driving,AD-009,"ScenePilot-Bench evaluation covers representative commercial, open-source, and v",5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representativ,runtime_check_needed,none
LLM_009,SBV2-ALL92-G018-C01,supported,autonomous_driving,AD-006,"BENCH2ADVLM reports that overall ADVLM performance remains relatively low, indic","The overall performance of all ADVLMs remains relatively low, indicating that cu",runtime_check_needed,none
LLM_010,SBV2-ALL92-G031-C01,supported,autonomous_driving,AD-011,The DriveVLM experiments train models on the training split and evaluate test pe,We train models on the training split and use our proposed scene description and,runtime_check_needed,none
LLM_011,SBV2-ALL92-G019-C01,supported,autonomous_driving,AD-007,The study employs LLaVA-Interleave as the base VLM and fine-tunes it for two epo,Implementation Details We consistently employ LLaVA-Interleave as the base VLM m,runtime_check_needed,none
LLM_012,SBV2-ALL92-G062-C01,supported,autonomous_driving,AD-023,The evaluation reports that the adapted HPNet model reaches prediction accuracy ,Evaluation results show that the adapted HPNet model achieves prediction accurac,runtime_check_needed,none
LLM_013,SBV2-ALL92-G002-SUPPORTED,supported,autonomous_driving,AD-001,nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robu,"More- over, we extend the benchmark with two complementary metrics, Success Rate",runtime_check_needed,none
LLM_014,SBV2-ALL92-G008-SUPPORTED,supported,autonomous_driving,AD-003,"HiDrive states that benchmark saturation reflects limited case diversity, object","This satura- tion does not mean that the problem has been solved; instead, it re",runtime_check_needed,none
LLM_015,SBV2-ALL92-G032-C01,supported,autonomous_driving,AD-011,DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achie,"We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM a",runtime_check_needed,none
LLM_016,SBV2-ALL92-G047-C01,supported,autonomous_driving,AD-017,GPUDrive achieves GPU acceleration through the Madrona game engine in the V-Max ,GPUDrive achieves GPU-acceleration through the Madrona game engine (Shacklett et,runtime_check_needed,none
LLM_017,SBV2-ALL92-G089-C01,supported,cyber_defense,CYB-008,A strong expert hierarchical decision rule outperforms a joint PPO baseline in t,Their results show that a strong expert meta-policy can out- perform a joint Pro,runtime_check_needed,cyber_defense
LLM_018,SBV2-ALL92-G069-C01,supported,cyber_defense,CYB-001,Systematic evaluation of offensive capabilities remains constrained by limited a,"However, systematic evaluation of their offensive capabilities remains constrain",runtime_check_needed,cyber_defense
LLM_019,SBV2-ALL92-G083-C01,supported,cyber_defense,CYB-006,DeepXplain raises average stage-weighted F1-score from 0.887 to 0.915 and mitiga,Experimental results show that DeepXplain improves the average stage-weighted F1,runtime_check_needed,cyber_defense
LLM_020,SBV2-ALL92-G067-C01,supported,cyber_defense,CYB-001,The AgentCyberRange study evaluates six frontier AI systems under matched prompt,We evaluate six frontier AI systems under matched prompts and budgets.,runtime_check_needed,cyber_defense
LLM_021,SBV2-ALL92-G091-C01,supported,cyber_defense,CYB-009,The study evaluates its methods against multiple baselines at different design s,We evaluate our methods against multiple baselines at different stages of the de,runtime_check_needed,cyber_defense
LLM_022,SBV2-ALL92-G086-C01,supported,cyber_defense,CYB-007,"Against the aggressive red agent, proactive-v2 lasts 15 time steps, beating proa","Finally, against the aggressive red agent, the proactive-v2 blue agent (15 time ",runtime_check_needed,cyber_defense
LLM_023,SBV2-ALL92-G082-C01,supported,cyber_defense,CYB-006,DeepXplain is evaluated in a realistic enterprise testbed with CALDERA-driven AP,We evaluate DeepXplain in a realistic enterprise testbed using CALDERA-driven AP,runtime_check_needed,cyber_defense
LLM_024,SBV2-ALL92-G131-C01,supported,digital_twin,DT-011,A digital shadow processes physical-system data continuously while lacking assur,"A system is called a digital shadow when automated control cannot be guaranteed,",runtime_check_needed,none
LLM_025,SBV2-ALL92-G122-C01,supported,digital_twin,DT-007,The pavement graph model trained on segment attributes and dynamic connectivity ,Trained on a real-world-inspired dataset with segment attributes and dynamic con,runtime_check_needed,none
LLM_026,SBV2-ALL92-G106-C01,supported,digital_twin,DT-002,The study evaluates test error with MAPE by running the estimated optimal decisi,"Finally, we evaluated the test error (e.g., the Mean Absolute Percentage Error (",runtime_check_needed,none
LLM_027,SBV2-ALL92-G108-C01,supported,digital_twin,DT-002,The paper describes its method as theoretically justified and not reliant on res,"To the best of our knowledge, ours is the first theoretically justified MBRL met",runtime_check_needed,none
