location,original_sentence,risk_type,severity,suggested_rewrite
Abstract line 11,"Results are exploratory: labels are silver, not gold; the LLM comparison is prompt/model/sample-specific.",repetitive disclaimer,minor,"Keep as-is in Abstract; ensure §VI opener and §X closer carry the same message without repeating verbatim."
Abstract closing,"All results are pre-gold findings on silver labels; the LLM comparison is prompt/model/sample-specific. A planned gold validation is specified in §VII but not yet populated; final submission claims will be revised after gold results are available.",apologetic framing,minor,"Reframe positively: 'This paper reports silver-stage pilot results and pre-registers a gold validation protocol (§VII). All numeric claims are conditional on gold adjudication.'"
§I line 21,"they consistently under-detect strong_action_overclaim on the tested samples",overclaim with 'consistently',minor,"Change to: 'they under-detect strong_action_overclaim on the tested samples under both tested prompt designs' (avoids 'consistently' which implies broader evidence)"
§I line 21,"This is a pre-gold finding computed against silver labels; it cannot be treated as an established LLM blind spot until independent gold adjudication is completed (§VII).",uses forbidden term 'blind spot' in negation,minor,"Change to: 'it cannot be treated as an established under-detection pattern until independent gold adjudication is completed (§VII).' (Avoid 'blind spot' entirely, even in negation.)"
§II line 47,"The revised manuscript is a pilot validation of an evidence-sufficiency calibration framework",'validation' too strong for pre-gold,minor,"Change 'pilot validation' to 'pilot diagnostic study' (already done elsewhere in V3.9 but missed here in §II)"
§IV.A line 150,"The pilot results support this",'support' too strong for silver-label evidence,minor,"Change to: 'The pilot diagnostic results are consistent with this' (avoids 'support' which implies confirmation)"
§VI.A line 252,"The strongest supported result is that R4 improves strong-action positive-F1",'supported' too strong,minor,"Change to: 'The strongest silver-stage result is that R4 improves strong-action positive-F1'"
§VI.B line 306,"Interpretation: LLMs are stronger overall, but R4 targets the strong_action gap.",'targets' is fine but the sentence structure implies established fact,minor,"Change to: 'Interpretation: On silver labels, LLMs are stronger overall, but R4 targets the strong_action gap observed under the tested prompts.'"
§VI.B line 310,"Both GPT-5.5 standard and structured achieve strong_action-F1 of 0.0769 (recall 0.04 = 1/25).",factual but lacks 'on silver labels' qualifier,minor,"Add: 'Both GPT-5.5 standard and structured achieve strong_action-F1 of 0.0769 (recall 0.04 = 1/25) on silver labels.'"
§VI.B line 312,"R4 provides targeted complementary value.",'provides' present tense implies established,minor,"Change to: 'On silver labels, R4 provides targeted complementary value; whether this holds under gold is tested in §VII.'"
