task,score,threshold,tp,fp,fn,tn,precision,recall,f1
supported_vs_overclaim,rule_scalar_score,0.5,246,80,87,31,0.7546,0.7387,0.7466
supported_vs_overclaim,rule_scalar_score,1.5,186,60,147,51,0.7561,0.5586,0.6425
supported_vs_overclaim,rule_scalar_score,2.5,106,33,227,78,0.7626,0.3183,0.4492
supported_vs_overclaim,rule_scalar_score,3.5,0,0,333,111,0.0,0.0,0.0
supported_vs_overclaim,llm_scalar_score,0.0,150,50,0,0,0.75,1.0,0.8571
supported_vs_overclaim,llm_scalar_score,0.25,106,0,44,50,1.0,0.7067,0.8281
supported_vs_overclaim,llm_scalar_score,0.5,106,0,44,50,1.0,0.7067,0.8281
supported_vs_overclaim,llm_scalar_score,0.75,106,0,44,50,1.0,0.7067,0.8281
supported_vs_overclaim,llm_scalar_score,1.0,106,0,44,50,1.0,0.7067,0.8281
supported_vs_overclaim,llm_scalar_score,1.25,53,0,97,50,1.0,0.3533,0.5222
supported_vs_overclaim,llm_scalar_score,1.5,53,0,97,50,1.0,0.3533,0.5222
supported_vs_overclaim,llm_scalar_score,1.75,53,0,97,50,1.0,0.3533,0.5222
supported_vs_overclaim,llm_scalar_score,2.0,53,0,97,50,1.0,0.3533,0.5222
supported_vs_overclaim,llm_scalar_score,2.25,51,0,99,50,1.0,0.34,0.5075
supported_vs_overclaim,llm_scalar_score,2.5,51,0,99,50,1.0,0.34,0.5075
supported_vs_overclaim,llm_scalar_score,2.75,51,0,99,50,1.0,0.34,0.5075
supported_vs_overclaim,llm_scalar_score,3.0,51,0,99,50,1.0,0.34,0.5075
mild_vs_strong,rule_scalar_score,0.5,84,80,27,31,0.5122,0.7568,0.6109
mild_vs_strong,rule_scalar_score,1.5,60,61,51,50,0.4959,0.5405,0.5172
mild_vs_strong,rule_scalar_score,2.5,33,33,78,78,0.5,0.2973,0.3729
mild_vs_strong,rule_scalar_score,3.5,0,0,111,111,0.0,0.0,0.0
mild_vs_strong,llm_scalar_score,0.0,50,50,0,0,0.5,1.0,0.6667
mild_vs_strong,llm_scalar_score,0.25,31,27,19,23,0.5345,0.62,0.5741
mild_vs_strong,llm_scalar_score,0.5,31,27,19,23,0.5345,0.62,0.5741
mild_vs_strong,llm_scalar_score,0.75,31,27,19,23,0.5345,0.62,0.5741
mild_vs_strong,llm_scalar_score,1.0,31,27,19,23,0.5345,0.62,0.5741
mild_vs_strong,llm_scalar_score,1.25,10,1,40,49,0.9091,0.2,0.3279
mild_vs_strong,llm_scalar_score,1.5,10,1,40,49,0.9091,0.2,0.3279
mild_vs_strong,llm_scalar_score,1.75,10,1,40,49,0.9091,0.2,0.3279
mild_vs_strong,llm_scalar_score,2.0,10,1,40,49,0.9091,0.2,0.3279
mild_vs_strong,llm_scalar_score,2.25,8,1,42,49,0.8889,0.16,0.2712
mild_vs_strong,llm_scalar_score,2.5,8,1,42,49,0.8889,0.16,0.2712
mild_vs_strong,llm_scalar_score,2.75,8,1,42,49,0.8889,0.16,0.2712
mild_vs_strong,llm_scalar_score,3.0,8,1,42,49,0.8889,0.16,0.2712
strong_vs_rest,rule_scalar_score,0.5,84,242,27,91,0.2577,0.7568,0.3844
strong_vs_rest,rule_scalar_score,1.5,60,186,51,147,0.2439,0.5405,0.3361
strong_vs_rest,rule_scalar_score,2.5,33,106,78,227,0.2374,0.2973,0.264
strong_vs_rest,rule_scalar_score,3.5,0,0,111,333,0.0,0.0,0.0
strong_vs_rest,llm_scalar_score,0.0,50,150,0,0,0.25,1.0,0.4
strong_vs_rest,llm_scalar_score,0.25,31,75,19,75,0.2925,0.62,0.3974
strong_vs_rest,llm_scalar_score,0.5,31,75,19,75,0.2925,0.62,0.3974
strong_vs_rest,llm_scalar_score,0.75,31,75,19,75,0.2925,0.62,0.3974
strong_vs_rest,llm_scalar_score,1.0,31,75,19,75,0.2925,0.62,0.3974
strong_vs_rest,llm_scalar_score,1.25,10,43,40,107,0.1887,0.2,0.1942
strong_vs_rest,llm_scalar_score,1.5,10,43,40,107,0.1887,0.2,0.1942
strong_vs_rest,llm_scalar_score,1.75,10,43,40,107,0.1887,0.2,0.1942
strong_vs_rest,llm_scalar_score,2.0,10,43,40,107,0.1887,0.2,0.1942
strong_vs_rest,llm_scalar_score,2.25,8,43,42,107,0.1569,0.16,0.1584
strong_vs_rest,llm_scalar_score,2.5,8,43,42,107,0.1569,0.16,0.1584
strong_vs_rest,llm_scalar_score,2.75,8,43,42,107,0.1569,0.16,0.1584
strong_vs_rest,llm_scalar_score,3.0,8,43,42,107,0.1569,0.16,0.1584
contradiction_vs_rest,rule_scalar_score,0.5,82,244,29,89,0.2515,0.7387,0.3753
contradiction_vs_rest,rule_scalar_score,1.5,65,181,46,152,0.2642,0.5856,0.3641
contradiction_vs_rest,rule_scalar_score,2.5,40,99,71,234,0.2878,0.3604,0.32
contradiction_vs_rest,rule_scalar_score,3.5,0,0,111,333,0.0,0.0,0.0
contradiction_vs_rest,llm_scalar_score,0.0,50,150,0,0,0.25,1.0,0.4
contradiction_vs_rest,llm_scalar_score,0.25,48,58,2,92,0.4528,0.96,0.6154
contradiction_vs_rest,llm_scalar_score,0.5,48,58,2,92,0.4528,0.96,0.6154
contradiction_vs_rest,llm_scalar_score,0.75,48,58,2,92,0.4528,0.96,0.6154
contradiction_vs_rest,llm_scalar_score,1.0,48,58,2,92,0.4528,0.96,0.6154
contradiction_vs_rest,llm_scalar_score,1.25,42,11,8,139,0.7925,0.84,0.8155
contradiction_vs_rest,llm_scalar_score,1.5,42,11,8,139,0.7925,0.84,0.8155
contradiction_vs_rest,llm_scalar_score,1.75,42,11,8,139,0.7925,0.84,0.8155
contradiction_vs_rest,llm_scalar_score,2.0,42,11,8,139,0.7925,0.84,0.8155
contradiction_vs_rest,llm_scalar_score,2.25,42,9,8,141,0.8235,0.84,0.8317
contradiction_vs_rest,llm_scalar_score,2.5,42,9,8,141,0.8235,0.84,0.8317
contradiction_vs_rest,llm_scalar_score,2.75,42,9,8,141,0.8235,0.84,0.8317
contradiction_vs_rest,llm_scalar_score,3.0,42,9,8,141,0.8235,0.84,0.8317
