audit_item_id,source_hash,claim_text_hash,evidence_text_hash,model_pred,silver_label,queue_rank,queue_source
AUDIT-V1-0001,e929e85d585d3a54454d456f1dbfd20f768c31a0f0838c0a68b28a4964646764,cc8d44a23ab803df632ec6769c0e38d5e60a1ce47d274807f00defec61e75585,65a7a51906e93e8ca51e770edf0378e1f814a6d7482d0c5bd840ed431c38d3ec,strong_action_overclaim,strong_action_overclaim,20,top20
AUDIT-V1-0002,d563011bde4fb4244790a83d72af95f87c556b03d936c48af53284bfabcac275,ee03a830fd7f43b379dd57029970e353b2458e9958795c00a75f1441c9996bc4,c0a123676c27cdb012cadc09cfc73ec190893e809d9dacc35fec7ed5436e8c5f,strong_action_overclaim,strong_action_overclaim,6,top20
AUDIT-V1-0003,d563011bde4fb4244790a83d72af95f87c556b03d936c48af53284bfabcac275,3a2c7d317966d9a2be1e0cabbc0bc0ae1b14b0a50782ce8747e7348deced436b,c0a123676c27cdb012cadc09cfc73ec190893e809d9dacc35fec7ed5436e8c5f,strong_action_overclaim,supported,15,top20
AUDIT-V1-0004,cf744e1cc8aff73f64dab7ecba5b68a80cff573b88e6f308e46eb0c5161d364b,fe6d531201ec9051b3d5c70b915ec622f4e0cd1c578cf83dff1b29f0ceb87302,d2a1a4f9866c8e758a966915febe4b157a52f69366fef8c2a86558eeb4439461,strong_action_overclaim,supported,5,top20
AUDIT-V1-0005,098af8c70834eea1f79be18f9b7bdab0239a24e6604186d68e06df62ea61bbfb,3f1849b09161a3e17f08dbf26853b465a2aab65040004b3c6a7bd24e8fef03e0,e194c9eb561873f26d98d0af25e54dd2f4d7595ecc31010d5e6fbd2d0040399c,strong_action_overclaim,supported,10,top20
AUDIT-V1-0006,098af8c70834eea1f79be18f9b7bdab0239a24e6604186d68e06df62ea61bbfb,a2b6c6686dadaea244276da36169bfcb2658ee4793d3b5a95b633568b20bd043,e194c9eb561873f26d98d0af25e54dd2f4d7595ecc31010d5e6fbd2d0040399c,strong_action_overclaim,contradiction_candidate,14,top20
AUDIT-V1-0007,d563011bde4fb4244790a83d72af95f87c556b03d936c48af53284bfabcac275,20493758f89091895800fedb393af15e656822fb871c245918d22c6785d7d4f3,edf92dc7f282ad502e05dbd104d66c61750ec65fb4753e875a9e132415cf1258,strong_action_overclaim,strong_action_overclaim,16,top20
AUDIT-V1-0008,7d3806acf37affffcf261d6528bdb4d79dbf95efcf0af5e83c33abeb84c3129b,924eeb5801d415af523ade1eb2b0ae5df1cc19e0830acdb6b03f225aae8c64cc,ccd42e0f7d7ae867bd8e6a5bd66830af86c6f746443a1165334d93b997d37e85,strong_action_overclaim,strong_action_overclaim,19,top20
AUDIT-V1-0009,4d949d275352e454abbf90272d235fe9a33d45b71a08cabf5d196e1b184c9a12,931523d4798821ab9bb27414da0ce7f14cc09a9dc133cc7fbee59feaf3b770e9,69fa6759d05f63c48d3157d454a0be7fb3b532166003717765c6f2621b6b86f3,strong_action_overclaim,contradiction_candidate,18,top20
AUDIT-V1-0010,905d57dbf7b05c815a47fa8d7d1a161774470ae3483e74e4d99883ff846a69f1,65008267314a87e2e19a4fff8b82cb19a7a43fdfe3489431727d5bdebbe47b32,4865cef7a70b49e45acf29d1974732f53dc6319fbe58c71b33a4963d91457155,strong_action_overclaim,strong_action_overclaim,2,top20
AUDIT-V1-0011,20b7ac28c4713b70f44ad1ed36140311ecc370b0016156132340370d91e0540c,8ab52f14227e8c230ed1eae2f24aa9658c85411b4679266e4ff8ab928875c73d,eab41e3ab7ea7b6fc7f589ae329e02580c173475e67f781b2804b409cb0cdd23,strong_action_overclaim,supported,12,top20
AUDIT-V1-0012,cf744e1cc8aff73f64dab7ecba5b68a80cff573b88e6f308e46eb0c5161d364b,243c6d982072a98e7c7cfe2ad607e4332957d4c53ed9d6a06ed86bc83eadc7fd,d2a1a4f9866c8e758a966915febe4b157a52f69366fef8c2a86558eeb4439461,strong_action_overclaim,mild_scope_overclaim,3,top20
AUDIT-V1-0013,95bf9c84eb44b94bc28bccf0aff5402a4f91b9dbb260669137491a2514807c02,68c55b28380b94efefa3a119b8a7aabcdf768d73c8949b7baafbe10f4602fa6f,f49185d8ef6e25bbd844f91d12eb796fa3407bbb2a063f8a2fbd604622b0e88c,strong_action_overclaim,strong_action_overclaim,17,top20
AUDIT-V1-0014,20b7ac28c4713b70f44ad1ed36140311ecc370b0016156132340370d91e0540c,98f539bf78fea4ccd8d887f3bfa4267e1af5d7137d96837114bd4b13e8eaa814,eab41e3ab7ea7b6fc7f589ae329e02580c173475e67f781b2804b409cb0cdd23,strong_action_overclaim,mild_scope_overclaim,8,top20
AUDIT-V1-0015,0e20775895c105635d950658c6f48c270a8b038da6a61da953b1f39278c65126,af4d9078894fdfac3aefde19810d52d5458386e2d6fef68db7a246b674ed3e5f,02692370896833905ea5235a991c454c9693dea2252cd8e39f21501ccbe9c3e3,strong_action_overclaim,strong_action_overclaim,9,top20
AUDIT-V1-0016,4d949d275352e454abbf90272d235fe9a33d45b71a08cabf5d196e1b184c9a12,5d1f2a962a402fc1aed03e2f7862827ce4d826ae6c54deac0c50033c5ce2c7ab,69fa6759d05f63c48d3157d454a0be7fb3b532166003717765c6f2621b6b86f3,strong_action_overclaim,strong_action_overclaim,1,top20
AUDIT-V1-0017,905d57dbf7b05c815a47fa8d7d1a161774470ae3483e74e4d99883ff846a69f1,7b34eebf6687f4eaae109db6dcd3554585c1371fbbf82d707ed9d9589bf2e51f,4865cef7a70b49e45acf29d1974732f53dc6319fbe58c71b33a4963d91457155,strong_action_overclaim,mild_scope_overclaim,4,top20
AUDIT-V1-0018,87be9162e265308feb783f11739a8471dfe39368cc4d4855b86d86b4aa059664,fdb7bdf2fa98cdddf367ddbf0b5687f40257fe710d52567bc4fce7461527d9d0,c043baa4d27cad2db9da9e2bf022af0f6c3f03dd6d02b67ed3de4d7c6499b91c,strong_action_overclaim,strong_action_overclaim,33,top50_strong_action
