paper_claim,supporting_tasks,evidence_level,safe_wording,unsafe_wording,needs_gold,needs_revision
Fine-grained four-class relation typing captures distinctions lost by scalar severity.,T1; T5,strong,"On silver SimClaim, the four-class decomposition isolates the mild-vs-strong boundary that scalar overstatement scores cannot recover (rule ROC-AUC=0.5062, llm ROC-AUC=0.5874).",Four-class typing is strictly superior to scalar severity (overgeneralised; gold pending).,true,true
strong_action_overclaim is a high-risk subclass worth isolating.,T1; T5,medium,"On silver labels, strong_action_overclaim has measurable screening signal under R4 (strong_F1=0.3967 vs LLM 0.0769) and is the class scalar compression loses most.",strong_action_overclaim is conclusively the highest-risk class (gold validation pending).,true,true
R4 is a screening-oriented complement to LLM/NLI judges.,T1; T2; T5; V3_12,medium,R4 trades overall macro-F1 for targeted strong_action positive-F1 (silver: R4 strong_F1=0.3967 vs LLM 0.0769). R4 captures 8/24 LLM-missed strong_action on matched-100.,R4 is a deployment-ready screener (low-prevalence sim shows FP/TP=25-121 below 10%).,true,true
LLM judges under-detect strong_action under tested prompts.,T1; T2; V3_12,strong,"Across three LLM judge variants on matched-100, strong_recall=0.04 and strong_F1=0.0769. At 1% prevalence LLMs show 99% accuracy but 4.3% recall (high-accuracy/low-recall failure mode).",LLMs cannot detect strong_action under any prompt (only tested prompts covered).,true,false
Scalar overstatement score is insufficient for strong_action screening.,T1; T5,strong,Rule_scalar ROC-AUC=0.5062 and llm_scalar ROC-AUC=0.5874 on mild-vs-strong; 4 score-collapse indicators; R4 F1=0.30 vs scalar F1=0.14 on matched-100. Scalar is a rule-based proxy; official RIGOURATE artifacts unavailable.,RIGOURATE is insufficient (proxy only; official system not tested).,true,true
SimClaim is a controlled counterfactual diagnostic set.,T3; V3_12,medium,"444 pairs across 111 evidence groups and 6 domains; realism audit finds 4.7% overall risk, 9.0% for strong_action (below 25% threshold). Safe as diagnostic set; not naturalistic.",SimClaim is a representative scientific-claim benchmark (controlled counterfactual design).,true,true
SimClaim prevalence (25% strong_action) is non-natural.,T2; V3_12,strong,SimClaim's 25% strong_action prevalence is a deliberate design choice for diagnostic separability; natural-prevalence deployment requires prevalence-aware metrics.,SimClaim prevalence reflects natural scientific writing.,false,false
Realism validation is required before naturalistic claims.,T3; T4,medium,"Automatic realism audit (4.7% overall, 9.0% strong_action) is heuristic; v2 two-layer gold protocol adds Layer 2 realism annotation. Gold realism pending.",Realism has been validated (only automatic audit done; human gold pending).,true,true
Low-prevalence screening utility justifies two-stage pipeline.,T2,planned,Low-prevalence simulation suggests R4 retains recall (~0.36) as first-stage filter; a two-stage pipeline (R4 -> LLM/human) is PROPOSED as future work and not evaluated in this paper.,Two-stage pipeline is validated (proposed only; not evaluated).,true,true
R4 macro-F1 < LLM macro-F1 is a deliberate trade-off.,V3_12; T1; T5,strong,"On matched-100, R4 macro-F1=0.3280 < LLM 0.5523; R4 strong_F1=0.3967 > LLM 0.0769. The trade is intentional: R4 prioritises strong_action screening over overall accuracy.","R4 is overall better than LLM (only on strong_action, not macro).",true,false
