sample_id,candidate_id,label_4_silver,domain,parse_status,llm_label,llm_confidence,llm_rationale,llm_evidence_used,llm_uncertain,warnings,model,latency,input_tokens_est,output_tokens_est,cost_estimate,llm_label_idx,silver_idx,r4_label,r4_label_idx,llm_correct,r4_correct,llm_vs_r4
LLM_001,SBV2-ALL92-G043-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states that the authors evaluate three recent end-to-end autonomous driving agents on HABIT's semantically diverse pedestrian behaviors, matching the claim exactly.",True,False,,deepseek-v4-flash,1.44,524,74,0.000162,0,0,strong_action_overclaim,2,1,0,llm_only
LLM_002,SBV2-ALL92-G027-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states that ScenePilot-Bench remains an open-loop benchmark and does not directly measure downstream control effects in a closed-loop driving system, matching the claim exactly.",True,False,,deepseek-v4-flash,1.54,525,78,0.000164,0,0,strong_action_overclaim,2,1,0,llm_only
LLM_003,SBV2-ALL92-G040-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence explicitly states that five classical E2EAD models are implemented as baseline methods, directly matching the claim.",True,False,,deepseek-v4-flash,2.19,532,66,0.000162,0,0,mild_scope_overclaim,1,1,0,llm_only
LLM_004,SBV2-ALL92-G036-C01,supported,autonomous_driving,ok,supported,0.95,"The evidence explicitly states that the lack of an official training set causes comparisons to be at the system level, and Bench2Drive addresses this by providing an official training dataset, directly supporting the claim.",True,False,,deepseek-v4-flash,1.84,549,82,0.000171,0,0,strong_action_overclaim,2,1,0,llm_only
LLM_005,SBV2-ALL92-G030-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states that ensuring safety under open-world conditions remains a significant barrier to large-scale deployment, which matches the claim's wording and meaning.",True,False,,deepseek-v4-flash,1.63,509,72,0.000158,0,0,mild_scope_overclaim,1,1,0,llm_only
LLM_006,SBV2-ALL92-G052-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states the same training setup with 8 NVIDIA A6000 GPUs, 64 CPUs, and 43 hours.",True,False,,deepseek-v4-flash,1.7,526,70,0.000162,0,0,mild_scope_overclaim,1,1,0,llm_only
LLM_007,SBV2-ALL92-G034-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states the same actions and conclusions as the claim, with no material overstatement or conflict.",True,False,,deepseek-v4-flash,1.61,522,64,0.000159,0,0,mild_scope_overclaim,1,1,0,llm_only
LLM_008,SBV2-ALL92-G025-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states that representative commercial, open-source, and driving-specialized VLMs are evaluated on ScenePilot-Bench, matching the claim exactly.",True,False,,deepseek-v4-flash,1.5,530,75,0.000164,0,0,mild_scope_overclaim,1,1,0,llm_only
LLM_009,SBV2-ALL92-G018-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states that overall performance of all ADVLMs remains relatively low, indicating notable limitations, which matches the claim exactly.",True,False,,deepseek-v4-flash,1.71,515,69,0.000158,0,0,strong_action_overclaim,2,1,0,llm_only
LLM_010,SBV2-ALL92-G031-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states that models are trained on the training split and evaluated using scene description and meta-action metrics on the test split, matching the claim exactly.",True,False,,deepseek-v4-flash,2.17,515,74,0.00016,0,0,mild_scope_overclaim,1,1,0,llm_only
LLM_011,SBV2-ALL92-G019-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states that LLaVA-Interleave is used as the base VLM, fine-tuned for two epochs on nuScenes with a learning rate of 2e-4, matching the claim exactly.",True,False,,deepseek-v4-flash,1.86,547,88,0.000172,0,0,mild_scope_overclaim,1,1,0,llm_only
LLM_012,SBV2-ALL92-G062-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states that the adapted HPNet model achieves prediction accuracy on simulated work zone datasets on par with benchmarks from Argoverse and INTERACTION, matching the claim exactly.",True,False,,deepseek-v4-flash,1.79,530,78,0.000165,0,0,mild_scope_overclaim,1,1,0,llm_only
LLM_013,SBV2-ALL92-G002-SUPPORTED,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states that the benchmark is extended with Success Rate and All-Core Pass Rate metrics to assess planner robustness and overall performance balance across multiple dimensions, matching the claim exactly.",True,False,,deepseek-v4-flash,1.85,532,79,0.000166,0,0,strong_action_overclaim,2,1,0,llm_only
LLM_014,SBV2-ALL92-G008-SUPPORTED,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states that saturation does not mean the problem is solved and attributes it to limited scenario diversity, object variety, and breadth of capabilities, matching the claim exactly.",True,False,,deepseek-v4-flash,1.81,528,77,0.000164,0,0,strong_action_overclaim,2,1,0,llm_only
LLM_015,SBV2-ALL92-G032-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states that DriveVLM-Dual incorporates DriveVLM and a traditional autonomous pipeline and achieves improved spatial reasoning and real-time planning capabilities, matching the claim exactly.",True,False,,deepseek-v4-flash,1.68,526,78,0.000164,0,0,mild_scope_overclaim,1,1,0,llm_only
LLM_016,SBV2-ALL92-G047-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states that GPUDrive achieves GPU-acceleration through the Madrona game engine, matching the claim exactly.",True,False,,deepseek-v4-flash,1.65,513,67,0.000157,0,0,strong_action_overclaim,2,1,0,llm_only
LLM_017,SBV2-ALL92-G089-C01,supported,cyber_defense,ok,supported,0.95,"The evidence directly states that a strong expert meta-policy can outperform a joint PPO policy, which matches the claim's comparison in the same context.",True,False,,deepseek-v4-flash,1.65,520,73,0.000161,0,0,mild_scope_overclaim,1,1,0,llm_only
LLM_018,SBV2-ALL92-G069-C01,supported,cyber_defense,ok,supported,1.0,"The evidence directly states the same constraint on systematic evaluation of offensive capabilities due to limited access to open, reproducible, multi-host cyber-range infrastructure.",True,False,,deepseek-v4-flash,1.77,521,71,0.000161,0,0,mild_scope_overclaim,1,1,0,llm_only
LLM_019,SBV2-ALL92-G083-C01,supported,cyber_defense,ok,supported,1.0,The evidence directly states the same numerical improvements in F1-score and mitigation success rate as the claim.,True,False,,deepseek-v4-flash,1.72,550,63,0.000166,0,0,mild_scope_overclaim,1,1,0,llm_only
LLM_020,SBV2-ALL92-G067-C01,supported,cyber_defense,ok,supported,1.0,"The evidence directly states evaluation of six frontier AI systems under matched prompts and budgets, matching the claim exactly.",True,False,,deepseek-v4-flash,1.69,501,64,0.000153,0,0,mild_scope_overclaim,1,1,0,llm_only
LLM_021,SBV2-ALL92-G091-C01,supported,cyber_defense,ok,supported,1.0,"The evidence directly states the same action as the claim, with no material difference in scope or action.",True,False,,deepseek-v4-flash,1.74,509,63,0.000155,0,0,mild_scope_overclaim,1,1,0,llm_only
LLM_022,SBV2-ALL92-G086-C01,supported,cyber_defense,ok,supported,1.0,"The evidence directly states that proactive-v2 lasts 15 time steps, beating proactive-v1 at 12 and baseline at 10 against the aggressive red agent, matching the claim exactly.",True,False,,deepseek-v4-flash,1.86,539,80,0.000168,0,0,supported,0,1,1,both_correct
