pilot_id,candidate_id,annotator_A_label,annotator_B_label,agreement,adjudicated_label,adjudication_reason,boundary_type,final_use_recommendation
P001,SBV2-ALL92-G003-STRONG,,,,,,mild_vs_strong,
P002,SBV2-ALL92-G004-STRONG,,,,,,mild_vs_strong,
P003,SBV2-ALL92-G067-C03,,,,,,mild_vs_strong,
P004,SBV2-ALL92-G069-C03,,,,,,mild_vs_strong,
P005,SBV2-ALL92-G077-C03,,,,,,strong_vs_contradiction,
P006,SBV2-ALL92-G106-C03,,,,,,mild_vs_strong,
P007,SBV2-ALL92-G108-C03,,,,,,strong_vs_contradiction,
P008,SBV2-ALL92-G158-C03,,,,,,mild_vs_strong,
P009,SBV2-ALL92-G161-C03,,,,,,mild_vs_strong,
P010,SBV2-ALL92-G163-C03,,,,,,mild_vs_strong,
P011,SBV2-ALL92-G175-C03,,,,,,mild_vs_strong,
P012,SBV2-ALL92-G178-C03,,,,,,mild_vs_strong,
P013,SBV2-ALL92-G180-C03,,,,,,mild_vs_strong,
P014,SBV2-ALL92-G215-C03,,,,,,mild_vs_strong,
P015,SBV2-ALL92-G224-C03,,,,,,mild_vs_strong,
P016,SBV2-ALL92-G067-C02,,,,,,supported_vs_mild,
P017,SBV2-ALL92-G106-C02,,,,,,mild_vs_strong,
P018,SBV2-ALL92-G158-C02,,,,,,mild_vs_strong,
P019,SBV2-ALL92-G175-C02,,,,,,mild_vs_strong,
P020,SBV2-ALL92-G002-CONTRA,,,,,,strong_vs_contradiction,
P021,SBV2-ALL92-G067-C04,,,,,,strong_vs_contradiction,
P022,SBV2-ALL92-G106-C04,,,,,,strong_vs_contradiction,
P023,SBV2-ALL92-G158-C04,,,,,,strong_vs_contradiction,
P024,SBV2-ALL92-G175-C04,,,,,,strong_vs_contradiction,
P025,SBV2-ALL92-G214-C04,,,,,,strong_vs_contradiction,
P026,SBV2-ALL92-G215-C01,,,,,,clear_illustrative,
P027,SBV2-ALL92-G175-C01,,,,,,clear_illustrative,
P028,SBV2-ALL92-G002-SUPPORTED,,,,,,clear_illustrative,
P029,SBV2-ALL92-G067-C01,,,,,,clear_illustrative,
P030,SBV2-ALL92-G002-MILD,,,,,,clear_illustrative,
P031,SBV2-ALL92-G215-C02,,,,,,clear_illustrative,
P032,SBV2-ALL92-G175-C02,,,,,,clear_illustrative,
P033,SBV2-ALL92-G214-C02,,,,,,clear_illustrative,
P034,SBV2-ALL92-G215-C03,,,,,,clear_illustrative,
P035,SBV2-ALL92-G002-STRONG,,,,,,clear_illustrative,
P036,SBV2-ALL92-G107-C03,,,,,,clear_illustrative,
P037,SBV2-ALL92-G007-STRONG,,,,,,clear_illustrative,
P038,SBV2-ALL92-G215-C04,,,,,,clear_illustrative,
P039,SBV2-ALL92-G175-C04,,,,,,clear_illustrative,
P040,SBV2-ALL92-G092-C04,,,,,,clear_illustrative,
P041,SBV2-ALL92-G036-C04,,,,,,clear_illustrative,
P042,SBV2-ALL92-G164-C01,,,,,,random_sample,
P043,SBV2-ALL92-G083-C01,,,,,,random_sample,
P044,SBV2-ALL92-G110-C02,,,,,,random_sample,
P045,SBV2-ALL92-G185-C01,,,,,,random_sample,
P046,SBV2-ALL92-G014-C02,,,,,,random_sample,
P047,SBV2-ALL92-G272-C03,,,,,,random_sample,
P048,SBV2-ALL92-G035-C04,,,,,,random_sample,
P049,SBV2-ALL92-G047-C01,,,,,,random_sample,
P050,SBV2-ALL92-G232-C01,,,,,,random_sample,
