external_id,dataset,claim_text,evidence_text,original_label,mapped_label,label_mapping_rule,source_dataset,source_split,source_info,evidence_source,claim_group_id
scifact_train_0_nei_31715818,scifact,0-dimensional biomaterials lack inductive properties.,"Nanotechnologies are emerging platforms that could be useful in measuring, understanding, and manipulating stem cells.",NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=0;doc_id=31715818;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_0
scifact_train_2_13734012,scifact,1 in 5 million in UK have abnormal PrP positivity.,"RESULTS Of the 32,441 appendix samples 16 were positive for abnormal PrP, indicating an overall prevalence of 493 per million population (95% confidence interval 282 to 801 per million).",CONTRADICT,contradiction_candidate,CONTRADICT->contradiction_candidate,scifact,train,claim_id=2;doc_id=13734012;rationale_sentences,annotated_rationale,scifact_claim_2
scifact_train_4_nei_22942787,scifact,1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.,"CONTEXT Medicare's reimbursement policy was changed in 1998 to provide coverage for screening colonoscopies for patients with increased colon cancer risk, and expanded further in 2001 to cover screening colonoscopies for all individuals.",NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=4;doc_id=22942787;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_4
scifact_train_6_nei_2613775,scifact,10% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,"Despite declines in prevalence during the past two decades, sudden infant death syndrome (SIDS) continues to be the leading cause of death for infants aged between 1 month and 1 year in developed countries.",NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=6;doc_id=2613775;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_6
scifact_train_9_44265107,scifact,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Policies requiring discontinuation of methadone in 32% of all programs contradict the evidence base for efficacy of long-term replacement therapies and potentially result in relapse of previously stable patients.,SUPPORT,supported,SUPPORT->supported,scifact,train,claim_id=9;doc_id=44265107;rationale_sentences,annotated_rationale,scifact_claim_9
scifact_train_10_nei_32587939,scifact,4-PBA treatment decreases endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,Endoplasmic reticulum (ER) stress causes pancreatic β-cell dysfunction and contributes to β-cell loss and the progression of type 2 diabetes.,NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=10;doc_id=32587939;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_10
scifact_train_11_nei_32587939,scifact,4-PBA treatment raises endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,Endoplasmic reticulum (ER) stress causes pancreatic β-cell dysfunction and contributes to β-cell loss and the progression of type 2 diabetes.,NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=11;doc_id=32587939;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_11
scifact_train_12_33409100,scifact,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,RESULTS Mean baseline homocysteine level was 24.0 micromol/L in the vitamin group and 24.2 micromol/L in the placebo group. CONCLUSION Treatment with high doses of folic acid and B vitamins did not improve survival or reduce the incidence of vascular disease in patients with advanced chronic kidney disease or end-stage renal disease.,SUPPORT,supported,SUPPORT->supported,scifact,train,claim_id=12;doc_id=33409100;rationale_sentences,annotated_rationale,scifact_claim_12
scifact_train_14_nei_641786,scifact,5'-nucleotidase metabolizes 6MP.,"Relapsed childhood acute lymphoblastic leukemia (ALL) carries a poor prognosis, despite intensive retreatment, owing to intrinsic drug resistance.",NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=14;doc_id=641786;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_14
scifact_train_15_nei_22080671,scifact,50% of patients exposed to radiation have activated markers of mesenchymal stem cells.,Previous studies investigating the role of smooth muscle cells (SMCs) and macrophages in the pathogenesis of atherosclerosis have provided controversial results owing to the use of unreliable methods for clearly identifying each of these cell types.,NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=15;doc_id=22080671;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_15
scifact_train_17_nei_1606628,scifact,53% of perinatal mortality is due to low birth weight.,CONTEXT One key target of the United Nations Millennium Development goals is to reduce the prevalence of underweight among children younger than 5 years by half between 1990 and 2015.,NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=17;doc_id=1606628;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_17
scifact_train_18_nei_22942787,scifact,61% of colorectal cancer patients are diagnosed with regional or distant metastases.,"CONTEXT Medicare's reimbursement policy was changed in 1998 to provide coverage for screening colonoscopies for patients with increased colon cancer risk, and expanded further in 2001 to cover screening colonoscopies for all individuals.",NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=18;doc_id=22942787;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_18
scifact_train_19_nei_3202143,scifact,7-day-old adult Caenorhabditis elegans exhibit approximately 5% of the learning capacity seen in 1-day old adults.,"Of all the age-related declines, memory loss is one of the most devastating.",NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=19;doc_id=3202143;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_19
scifact_train_20_nei_3202143,scifact,7-day-old adult Caenorhabditis elegans exhibit approximately 75% of the learning capacity seen in 1-day old adults.,"Of all the age-related declines, memory loss is one of the most devastating.",NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=20;doc_id=3202143;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_20
scifact_train_21_nei_41493639,scifact,70% of burn patients are admitted for hospitalization and further treatment after appearing at hospital emergency wards or outpatient clinics.,Burns are one of the most devastating conditions encountered in medicine.,NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=21;doc_id=41493639;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_21
scifact_train_22_6490571,scifact,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,"Although disorder severity was correlated with probability of treatment in almost all countries, 35.5% to 50.3% of serious cases in developed countries and 76.3% to 85.4% in less-developed countries received no treatment in the 12 months before the interview.",SUPPORT,supported,SUPPORT->supported,scifact,train,claim_id=22;doc_id=6490571;rationale_sentences,annotated_rationale,scifact_claim_22
scifact_train_24_nei_3471191,scifact,90% of patients with melanoma and an objective response to PD-1 blockade will experience a progression in their melanoma.,IMPORTANCE The programmed death 1 (PD-1) pathway limits immune responses to melanoma and can be blocked with the humanized anti-PD-1 monoclonal antibody pembrolizumab.,NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=24;doc_id=3471191;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_24
scifact_train_25_nei_2613775,scifact,90% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,"Despite declines in prevalence during the past two decades, sudden infant death syndrome (SIDS) continues to be the leading cause of death for infants aged between 1 month and 1 year in developed countries.",NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=25;doc_id=2613775;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_25
scifact_train_26_nei_32390525,scifact,A 100g dose of chloroquine chemoprophylactic regimen results in retinal toxicity after 1 year of weekly intake.,"CONTEXT Long-term travelers, defined here as those traveling for periods of 6 months or longer, face particular challenges regarding malaria prevention.",NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=26;doc_id=32390525;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_26
scifact_train_27_nei_32390525,scifact,A 100g dose of chloroquine chemoprophylactic regimen results in retinal toxicity after 5-6 years of weekly intake.,"CONTEXT Long-term travelers, defined here as those traveling for periods of 6 months or longer, face particular challenges regarding malaria prevention.",NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=27;doc_id=32390525;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_27
scifact_train_28_12670680,scifact,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,"We report that activation of basophils by autoreactive IgE causes their homing to lymph nodes, promoting T helper type 2 (T(H)2) cell differentiation and enhancing the production of self-reactive antibodies that cause lupus-like nephritis in mice lacking the Src family protein tyrosine kinase Lyn (Lyn(-/-) mice). Individuals with SLE also have elevated serum IgE, self-reactive IgEs and activated basophils that express CD62 ligand (CD62L) and the major histocompatibility complex (MHC) class II molecule human leukocyte antigen-DR (HLA-DR), parameters that are associated with increased disease activity and active lupus nephritis. Thus, in Lyn(-/-) mice, basophils and IgE autoantibodies amplify autoantibody production that leads to lupus nephritis, and in individuals with SLE IgE autoantibodies and activated basophils are factors associated with disease activity and nephritis.",CONTRADICT,contradiction_candidate,CONTRADICT->contradiction_candidate,scifact,train,claim_id=28;doc_id=12670680;rationale_sentences,annotated_rationale,scifact_claim_28
