case_id,candidate_id,current_location,silver_label,case_type,problem_found,severity,why_problematic,recommended_action,replacement_candidate_id,final_decision
TCB_001,SBV2-ALL92-G215-C01,Table 2 + Appendix T1 (V3.5),supported,trusted,no,ok,Evidence directly supports claim as stated including its strength; no over-extension; no directional conflict; candidate_id traceable to strict_silver CSV.,keep,,keep
TCB_002,SBV2-ALL92-G175-C01,Table 0 (V3.4) only,supported,trusted,no,ok,Clean supported example (not used in V3.5 Table 2 but available).,keep,,keep
TCB_003,SBV2-ALL92-G002-SUPPORTED,Table 0 (V3.4) only,supported,trusted,no,ok,Clean supported example (not used in V3.5 Table 2 but available).,keep,,keep
TCB_004,SBV2-ALL92-G067-C01,Table 2 + Appendix T1 (V3.5),supported,trusted,no,ok,Evidence directly supports claim; matched-prompt matched-budget framing matches; candidate_id traceable.,keep,,keep
TCB_005,SBV2-ALL92-G215-C02,Table 0 (V3.4) only,mild_scope_overclaim,trusted,yes,major,"Claim says 'interpretation is resolved' while evidence says 'interpreting results demand sophisticated technical capabilities and domain expertise' — partial directional flip on a sub-component. A reviewer could argue this is contradiction, not mild.",demote_to_boundary_or_replace,SBV2-ALL92-G170-C02,replace_in_table_2_with_G170-C02
TCB_006,SBV2-ALL92-G175-C02,Table 0 (V3.4) only,mild_scope_overclaim,trusted,yes,major,"Claim says PQN is 'recurrent value-based' but evidence says PQN is 'parallel-environment Q-learning' — factual mismatch on the same entity, could be contradiction.",demote_to_boundary_or_replace,SBV2-ALL92-G002-MILD,not_used_in_V3_6_table_2
TCB_007,SBV2-ALL92-G002-MILD,Table 0 (V3.4) only,mild_scope_overclaim,trusted,no,ok,"Clean mild: claim adds 'as the main comparison basis' framing not in evidence; no directional conflict, no number swap; scope/precision over-extension only.",promote_to_table_2,,use_in_V3_6_table_2
TCB_008,SBV2-ALL92-G214-C02,Table 2 + Appendix T2 (V3.5),mild_scope_overclaim,trusted,yes,fatal_for_example,"Claim says 'above 30% accuracy on broad cases' but evidence says '24.5% accuracy on comprehensive scenarios' — number inflation on the same metric. A reviewer would judge this as contradiction (detail-swap), not mild. This is the user-flagged T2 problem.",replace,SBV2-ALL92-G170-C02,replace_with_G170-C02
TCB_009,SBV2-ALL92-G215-C03,Table 2 (V3.5),strong_action_overclaim,trusted,no,ok,"Clean strong_action: claim adds 'validation' (not in evidence) and asserts 'extensive expertise required' (operational/deployment framing). Direction consistent but strength excessive. No number swap.",keep,,keep
TCB_010,SBV2-ALL92-G175-C03,Table 0 (V3.4) only,strong_action_overclaim,trusted,yes,moderate,"Claim adds QMIX (not in evidence) and characterizes all methods as 'parallel-environment Q-learning algorithm' — could be contradiction (entity addition) or strong_action (operational characterization). Boundary nuance.",demote_to_boundary,SBV2-ALL92-G107-C03,not_used_in_V3_6_table_2
