claim_id,paper_claim,section,evidence_source,evidence_type,support_level,allowed_wording,forbidden_wording,revision_needed
C01,"CESE-OCN differs from RIGOURATE in output granularity (four-class relation label vs. continuous scalar) and target (high-risk action-overclaim sub-class vs. broad overstatement severity)",II.A / VI.E,§II.A Table X + §VI.E proxy baseline (proxy NOT official RIGOURATE),proxy_result,medium,"CESE-OCN outputs a four-class relation label and isolates strong_action_overclaim as a separate high-risk class; RIGOURATE outputs a continuous overstatement score. The two are complementary.","CESE-OCN outperforms RIGOURATE; Official RIGOURATE reproduced; R4 beats the official RIGOURATE system",No — already correctly worded in V3.14
C02,"SimClaim is a controlled counterfactual diagnostic set, not a natural-prevalence corpus",V.A / IX item 10,§V.A transparency statement + §VII.J two-layer gold protocol,non_gold_check,strong,"SimClaim is a controlled counterfactual diagnostic set: evidence spans are drawn from real scientific papers while claim variants are generated to instantiate specific evidence-sufficiency relations. The balanced 1:1:1:1 design is a deliberate construction for pressure-testing boundary recognition under matched evidence.","SimClaim is a natural-prevalence corpus; SimClaim estimates the real-world prevalence of strong_action_overclaim; SimClaim claims are natural author-written claims",No — already correctly worded in V3.14
C03,"R4 complements LLM judges (screening-oriented), does not replace them",VI.B / VIII.A / IX item 4,§VI.B matched 100 (R4 macro-F1=0.3280 < LLM 0.5523; R4 strong_F1=0.3000 > LLM 0.0769),completed_result,strong,"R4 is a screening-oriented complement to LLM judges, not a replacement and not a state-of-the-art overstatement detector. R4 trades overall macro-F1 for targeted strong_action positive-F1.","R4 outperforms LLM overall; R4 beats LLM; R4 is the best model; R4 is stronger than LLMs on all metrics",No — already correctly worded in V3.14
C04,"Under the tested prompts, generic LLM judges under-detect strong_action_overclaim (validation-pending)",VI.B / IX item 3,§VI.B matched 100 (LLM strong_F1=0.0769, recall=0.04),completed_result,medium,"Under the tested prompts, generic LLM judges (GPT-5.5, DeepSeek-V3) consistently under-detect strong_action_overclaim on the controlled silver-stage evaluation — a validation-pending finding.","Proves LLMs cannot detect strong_action_overclaim; All LLMs are bad at this task; Established LLM blind spot; Systematic blind spot; Fundamental limit of LLMs",No — already correctly worded in V3.14
C05,"R4 has lower macro-F1 than LLM judges (a known trade-off, not a defect)",VI.B / VIII.A / IX item 4,§VI.B matched 100 (R4 macro-F1=0.3280 vs. GPT 0.5523 vs. DeepSeek 0.5248),completed_result,strong,"R4's macro-F1 (0.3280) is substantially lower than GPT-5.5 (0.5523) and DeepSeek-V3 (0.5248) on the same 100 matched samples. R4's value is relation-specific: it targets the strong_action_overclaim relation that LLM judges miss under the tested prompts.","R4 outperforms LLM overall; R4 beats LLM; R4 is stronger than LLMs on all metrics; R4 macro-F1 is comparable to LLM",No — already correctly worded in V3.14; this fact is preserved in V3.14
C06,"R4 improves strong_action screening (strong-F1 0.2408 → 0.3967, +0.1559, 10/10 seeds positive)",VI.A / VIII.D.B,§VI.A bootstrap CI + §VIII.D.B Screening Utility Test,completed_result,strong,"On the controlled silver-stage evaluation, R4 improves strong-action positive-F1 from 0.2408 to 0.3967 (+0.1559, CI [0.1058, 0.1988], 10/10 seeds positive) while preserving contradiction and escalation performance. R4 provides targeted recall-improving screening signal for strong_action_overclaim at an operationally acceptable FP/TP ratio.","R4 solves strong_action_overclaim; R4 fully handles strong action overclaims; R4 is validated for deployment",No — already correctly worded in V3.14
C07,"Scalar overstatement score cannot fully replace relation-specific screening (proxy baseline finding)",VI.E,§VI.E RIGOURATE-style proxy baseline (proxy NOT official RIGOURATE; nli_scalar_score BLOCKED),proxy_result,medium,"On the controlled silver-stage evaluation, a scalar score (whether cue-based or LLM-derived) cannot reliably distinguish mild_scope_overclaim from strong_action_overclaim (ROC-AUC ≤ 0.59) and cannot match R4's strong_action screening F1. Scalar overstatement scoring and relation-specific screening are complementary.","The scalar baseline is the official RIGOURATE system; The blocked nli_scalar_score baseline was completed; R4 outperforms the official RIGOURATE system",No — already correctly worded in V3.14; proxy explicitly labelled
C08,"Gold validation is relation+realism two-layer protocol, not completed",VII / VII.J,§VII protocol + §VII.J two-layer upgrade + gold_pilot_protocol_freeze_v1 (PROTOCOL FROZEN, annotation NOT begun),planned_gold,strong,"Gold validation is two-layer: Layer 1 relation label agreement, Layer 2 claim realism / plausibility audit. The protocol is frozen (gold_pilot_protocol_freeze_v1, 2026-07-04); annotation has NOT begun. No gold_label, final_label, or human_audited fields have been filled.","Gold validated; Validated taxonomy; Our labels are gold / human-audited; Gold benchmark; Submission-ready / final benchmark complete",No — already correctly worded in V3.14
C09,"Non-gold credibility checks strengthen but do not validate",VIII.D,§VIII.D three checks (Evidence Necessity, Screening Utility, Label-Shift Stress Test),non_gold_check,strong,"The three checks in §VIII.D are non-gold robustness analyses that strengthen but do not validate. They do not replace gold adjudication (§VII). They strengthen the silver-stage relative pattern (R4 > LLM on strong_action); they do not validate absolute numbers.","§VIII.D validates the taxonomy; §VIII.D replaces gold; §VIII.D proves R4 works",No — already correctly worded in V3.14 (V3.14 reinforces with 'strengthen but do not validate')
C10,"Balanced 1:1:1:1 class design is diagnostic, not natural prevalence",V.A / IX item 10,§V.A transparency statement,non_gold_check,strong,"The four-way balanced design (111 per class) is a deliberate construction for pressure-testing boundary recognition under matched evidence, not an estimate of the natural prevalence of these relations in real scientific writing. In natural scientific corpora, we expect contradiction_candidate and strong_action_overclaim to be substantially rarer than supported and mild_scope_overclaim.","SimClaim estimates the real-world prevalence; The silver-stage screening finding transfers to natural scientific writing; SimClaim is a natural-prevalence corpus",No — already correctly worded in V3.14
