candidate_id,true_label,pred_label,strong_action_flag,strong_action_score,p_contra_mean,p_svm_mean,priority_score,selected_evidence,selected_chunk_id,selected_rank,source_pdf,page,route,n_seeds_voted,vote_share_strong
SBV2-ALL92-G002-CONTRA,contradiction_candidate,strong_action_overclaim,1,0.8346266459587786,0.26023952375442916,0.516934663677494,1.0743871222043495,"Beyond CLS, the additional SR and PR metrics provide complementary insights into planner robustness and overall balance.",AD-001_p7_c1,4,AD-001,1,strong_action,1,1.0
SBV2-ALL92-G002-MILD,mild_scope_overclaim,strong_action_overclaim,1,0.8365843840251936,0.2685290989115721,0.5217247223162534,1.0680552851136216,"Beyond CLS, the additional SR and PR metrics provide complementary insights into planner robustness and overall balance.",AD-001_p7_c1,5,AD-001,1,strong_action,1,1.0
SBV2-ALL92-G002-STRONG,strong_action_overclaim,strong_action_overclaim,1,0.5909928660010632,0.3391331482420781,0.5186910514985476,0.7518597177589851,Evaluation Metrics Reactive Closed-Loop Simulation Dataset Test14-Hard Test14-Random Val14 Observations Historical Info Map Info Traffic State Vehicle Attribute Planner (To be evaluated) Reactive Agent Model Kinematic Controller Interaction-Aware Selection Update the Observations Closed-Loop Score Success Rate Collision TTC Comfort … Incorrect Direction Low Progress Score Collision TTC … 0.5 All-Core Pass Rate … Comfort Speed Limit Off Road Fig. 1.,AD-001_p3_c0,2,AD-001,4,strong_action,1,1.0
SBV2-ALL92-G002-SUPPORTED,supported,supported,0,0.22955897462461772,0.05245728833440194,0.493334761287232,0.17710168629021578,"selection mechanism into the nuPlan simulation framework as configurable components, enabling more realistic and human-like multi-agent interactions. • We extend the benchmark with two additional metrics, Success Rate and All-Core Pass Rate, to more effectively evaluate the robustness of planners and balance across various dimensions of driving performance. • We reimplement and comprehensively evaluate a diverse set of planning approaches in both the original nuPlan and the proposed nuPlan",AD-001_p2_c0,2,AD-001,1,supported,1,0.0
SBV2-ALL92-G003-CONTRA,contradiction_candidate,contradiction_candidate,0,0.2818358467978977,0.9288887448074616,0.8340325545179537,-0.647052898009564,"In this paper, we presented nuPlan-R, a new reactive closed-loop planning benchmark that integrates learningbased reactive agents into the nuPlan framework for realistic and fair evaluation of autonomous planners.",AD-001_p7_c2,2,AD-001,1,contradiction,5,0.0
SBV2-ALL92-G003-MILD,mild_scope_overclaim,mild_scope_overclaim,0,0.4193236465624852,0.25424768508057694,0.5592886142438156,0.16507596148190828,"In summary, the main contributions of this paper include: • We propose nuPlan-R, a new reactive closed-loop planning benchmark that seamlessly integrates learningbased reactive agents and an interaction-aware agent arXiv:2511.10403v1 [cs.RO] 13 Nov 2025",AD-001_p1_c5,4,AD-001,1,mild_scope,5,0.0
SBV2-ALL92-G003-STRONG,strong_action_overclaim,strong_action_overclaim,1,0.5152049729776469,0.2784160445302716,0.5399950882684359,0.7367889284473753,"nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning benchmarks have significantly improved the evaluation of autonomous vehicles.",AD-001_p1_c0,1,AD-001,1,strong_action,5,0.6
SBV2-ALL92-G003-SUPPORTED,supported,strong_action_overclaim,1,0.5405713466772789,0.2168989179216121,0.5173945993482115,0.8236724287556668,"In summary, the main contributions of this paper include: • We propose nuPlan-R, a new reactive closed-loop planning benchmark that seamlessly integrates learningbased reactive agents and an interaction-aware agent arXiv:2511.10403v1 [cs.RO] 13 Nov 2025",AD-001_p1_c5,4,AD-001,1,strong_action,5,0.6
SBV2-ALL92-G004-CONTRA,contradiction_candidate,contradiction_candidate,0,0.36226825830953424,0.9315992867001444,0.795383101966354,-0.5693310283906101,"Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware.",AD-002_p5_c1,1,AD-002,5,contradiction,2,0.0
SBV2-ALL92-G004-MILD,mild_scope_overclaim,supported,0,0.4058238887698769,0.1917375712046589,0.5705121625652345,0.214086317565218,"Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware.",AD-002_p5_c1,2,AD-002,5,supported,2,0.0
SBV2-ALL92-G004-STRONG,strong_action_overclaim,supported,0,0.5022052199484109,0.2662797812504495,0.5325964632608746,0.23592543869796145,"Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware.",AD-002_p5_c1,1,AD-002,5,supported,2,0.5
SBV2-ALL92-G004-SUPPORTED,supported,supported,0,0.32685159135735575,0.03667967576738407,0.501332414459558,0.2901719155899717,"Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware.",AD-002_p5_c1,1,AD-002,5,supported,2,0.0
SBV2-ALL92-G007-CONTRA,contradiction_candidate,contradiction_candidate,0,0.41980813038321513,0.929622644851141,0.8690271649363477,-0.5098145144679258,The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the,AD-003_p8_c3,1,AD-003,8,contradiction,1,0.0
