gate_path,json_valid,main_status,completed,blocked,main_remaining_risk,recommended_next_action,important_flags
D:\ocn\paper_versions_ordered\V3_15_hierarchical_taxonomy_revision\hierarchical_taxonomy_revision_gate.json,True,valid,,,"The Level-2 mild_vs_strong boundary is the hardest to draw (75% confusion in §V.D audit). If gold adjudication reveals mild_vs_strong κ < 0.40, the paper must fall back to Level-1 three-class + binary",Run the §VII 50-pair two-layer gold pilot (Layer 1 relation label + Layer 2 realism) using the frozen gold_pilot_protocol_freeze_v1 package and the v2 relation+realism protocol. Specifically: (1) exec,hierarchical_taxonomy_inserted=True | flat_four_class_deemphasized=True | fallback_to_3class_plus_binary_defined=True | numbers_unchanged=True | gold_not_claimed=True | silver_not_gold=True | old_files_unchanged=True | docx_generated=True
D:\ocn\paper_versions_ordered\V3_15_hierarchical_taxonomy_revision\V3_15_hierarchical_taxonomy_gate.json,True,valid,,,,,
D:\ocn\experiments\overnight_non_api_compute_pipeline_v1\H_master_summary\overnight_master_gate.json,True,valid,,,,Run v2 50-pair relation+realism gold pilot,needs_dataset_redesign=False | proceed_to_relation_realism_gold=True | llm_conservatism_confirmed=True | r4_usable_low_prevalence_standalone=False | r4_usable_low_prevalence_first_stage=True | template_risk_severe=False
D:\ocn\experiments\overnight_non_api_compute_pipeline_v1\A_dataset_integrity_leakage\dataset_integrity_gate.json,True,valid,True,,,,
D:\ocn\experiments\overnight_non_api_compute_pipeline_v1\B_claim_variant_template_risk\template_risk_gate.json,True,valid,True,,,,
D:\ocn\experiments\overnight_non_api_compute_pipeline_v1\C_low_prevalence_screening\low_prevalence_gate.json,True,valid,True,,,,
D:\ocn\experiments\overnight_non_api_compute_pipeline_v1\D_boundary_collapse_fallback\boundary_collapse_gate.json,True,valid,True,,,,
D:\ocn\experiments\overnight_non_api_compute_pipeline_v1\E_llm_conservatism_error_direction\llm_conservatism_gate.json,True,valid,True,,,,llm_conservatism_confirmed=True
D:\ocn\experiments\overnight_non_api_compute_pipeline_v1\F_r4_false_positive_root_cause\r4_false_positive_gate.json,True,valid,True,,,,
D:\ocn\experiments\overnight_non_api_compute_pipeline_v1\G_scalar_baseline_sweep\scalar_baseline_gate.json,True,valid,True,,,,
D:\ocn\project_synthesis\v3_16_integration_summary_and_revision_plan\v3_16_integration_gate.json,True,valid,,,,,mainline_survives=True | needs_dataset_redesign=False | needs_relation_realism_gold=True | rigourate_overlap_fatal=False
D:\ocn\experiments\v3_15_scalar_vs_relation_screening_deep_test\scalar_vs_relation_deep_test_gate.json,True,valid,,,Scalar baseline results are based on a rule-based proxy (NOT official RIGOURATE). Official RIGOURATE code/data/model are unavailable (blocked). If a future release of RIGOURATE provides a continuous o,,scalar_can_separate_mild_strong=False | scalar_can_replace_r4=False | score_collapse_observed=True
D:\ocn\gold_pilot_relation_realism_protocol_v2\relation_realism_protocol_v2_gate.json,True,valid,,,v2 protocol is DRAFT and has not been piloted. Annotators have not been trained on Layer 2 (realism). The 9-class realism issue taxonomy may have low inter-annotator agreement (heuristic rules from th,"1) Identify two independent annotators + one adjudicator (same as v1 plan, but train on v2 guideline including Layer 2). 2) Distribute v2 A/B templates + v2 guideline + v2 decision tree + v2 agreement",ready_for_blind_annotation=True | does_not_modify_v1=True
D:\ocn\experiments\v3_15_claim_realism_audit\claim_realism_audit_gate.json,True,valid,,,,Include realism_score_1_to_5 in gold pilot annotation (Layer 2 of gold_pilot_protocol_freeze_v1); prioritize high-risk claims identified here for realism validation; exclude high-risk + extreme/templa,high_risk_claim_rate=0.0 | safe_to_use_as_diagnostic_set=True | safe_to_claim_naturalistic=False
D:\ocn\experiments\v3_15_low_prevalence_screening_simulation\low_prevalence_screening_gate.json,True,valid,,,"Three-fold: (1) Base pool is only 100 matched samples (25 strong_action cases), limiting diversity of strong_action patterns; (2) non-strong composition 80/15/5 is a heuristic approximation, NOT empir",,r4_screening_viable_at_1pct=False
D:\ocn\paper_versions_ordered\V3_14_mainline_locked_consistency_audit\V3_14_mainline_gate.json,True,valid,,,,,
D:\ocn\experiments\rigourate_reproduction_and_simclaim_baseline_v1\rigourate_reproduction_readiness_gate.json,True,valid,,,,,
D:\ocn\paper_versions_ordered\V3_13_differentiated_against_rigourate_forcebench\V3_13_readiness_gate.json,True,valid,,,,,advisor_send_ready=True
D:\ocn\paper_versions_ordered\V3_12_with_three_credibility_checks\V3_12_readiness_gate.json,True,valid,,,,Send V3.12 to advisor as the current best silver-stage draft. Frame §VIII.D as: 'three non-gold credibility checks that strengthen the silver-stage relative pattern (R4 > LLM on strong_action) without,numbers_unchanged=True | v3_12_complete=True | advisor_send_ready=True
D:\ocn\experiments\v3_11_three_core_credibility_experiments\three_core_credibility_readiness_gate.json,True,valid,,,"Evidence Necessity uses pre-existing audit results (v4 dataset, same SimClaim backbone but earlier version). The TF-IDF sanity check confirms the signal on the current dataset. Absolute strong_action ","Insert §VIII.D into V3.12 with these 3 experiments, with the 50% retention caveat clearly stated. Proceed to 50-sample gold pilot per §VII protocol. The label-shift break-even (~50% retention) sets th",
D:\ocn\experiments\gpt_structured_judge_probe_v1\gpt_structured_probe_gate.json,True,valid,,,Small N=100; silver labels (not gold); GPT model accessed via third-party proxy (pricing/availability may change); single temperature=0 run (no variance estimate).,,
D:\ocn\experiments\llm_judge_baseline_v1\llm_run_gate_100.json,True,valid,,,none,,
D:\ocn\experiments\llm_judge_baseline_v1\llm_run_gate_200.json,True,valid,,,none,,
