sample_id,candidate_id,silver_label,method,llm_pred,r4_pred,llm_correct,r4_correct,case_category
LLM_181,SBV2-ALL92-G124-C04,contradiction_candidate,gpt_standard,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_181,SBV2-ALL92-G124-C04,contradiction_candidate,gpt_structured,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_181,SBV2-ALL92-G124-C04,contradiction_candidate,deepseek,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_132,SBV2-ALL92-G186-C03,strong_action_overclaim,gpt_standard,contradiction_candidate,contradiction_candidate,False,False,both_wrong
LLM_132,SBV2-ALL92-G186-C03,strong_action_overclaim,gpt_structured,contradiction_candidate,contradiction_candidate,False,False,both_wrong
LLM_132,SBV2-ALL92-G186-C03,strong_action_overclaim,deepseek,contradiction_candidate,contradiction_candidate,False,False,both_wrong
LLM_144,SBV2-ALL92-G232-C03,strong_action_overclaim,gpt_standard,mild_scope_overclaim,strong_action_overclaim,False,True,r4_only_correct
LLM_144,SBV2-ALL92-G232-C03,strong_action_overclaim,gpt_structured,mild_scope_overclaim,strong_action_overclaim,False,True,r4_only_correct
LLM_144,SBV2-ALL92-G232-C03,strong_action_overclaim,deepseek,supported,strong_action_overclaim,False,True,r4_only_correct
LLM_094,SBV2-ALL92-G226-C02,mild_scope_overclaim,gpt_standard,mild_scope_overclaim,mild_scope_overclaim,True,True,both_correct
LLM_094,SBV2-ALL92-G226-C02,mild_scope_overclaim,gpt_structured,mild_scope_overclaim,mild_scope_overclaim,True,True,both_correct
LLM_094,SBV2-ALL92-G226-C02,mild_scope_overclaim,deepseek,mild_scope_overclaim,mild_scope_overclaim,True,True,both_correct
LLM_093,SBV2-ALL92-G254-C02,mild_scope_overclaim,gpt_standard,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
LLM_093,SBV2-ALL92-G254-C02,mild_scope_overclaim,gpt_structured,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
LLM_093,SBV2-ALL92-G254-C02,mild_scope_overclaim,deepseek,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
LLM_089,SBV2-ALL92-G256-C02,mild_scope_overclaim,gpt_standard,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
LLM_089,SBV2-ALL92-G256-C02,mild_scope_overclaim,gpt_structured,supported,strong_action_overclaim,False,False,both_wrong
LLM_089,SBV2-ALL92-G256-C02,mild_scope_overclaim,deepseek,supported,strong_action_overclaim,False,False,both_wrong
LLM_046,SBV2-ALL92-G232-C01,supported,gpt_standard,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_046,SBV2-ALL92-G232-C01,supported,gpt_structured,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_046,SBV2-ALL92-G232-C01,supported,deepseek,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_167,SBV2-ALL92-G091-C04,contradiction_candidate,gpt_standard,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_167,SBV2-ALL92-G091-C04,contradiction_candidate,gpt_structured,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_167,SBV2-ALL92-G091-C04,contradiction_candidate,deepseek,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_034,SBV2-ALL92-G186-C01,supported,gpt_standard,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_034,SBV2-ALL92-G186-C01,supported,gpt_structured,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_034,SBV2-ALL92-G186-C01,supported,deepseek,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_001,SBV2-ALL92-G043-C01,supported,gpt_standard,mild_scope_overclaim,strong_action_overclaim,False,False,both_wrong
LLM_001,SBV2-ALL92-G043-C01,supported,gpt_structured,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_001,SBV2-ALL92-G043-C01,supported,deepseek,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_042,SBV2-ALL92-G255-C01,supported,gpt_standard,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_042,SBV2-ALL92-G255-C01,supported,gpt_structured,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_042,SBV2-ALL92-G255-C01,supported,deepseek,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_067,SBV2-ALL92-G092-C02,mild_scope_overclaim,gpt_standard,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
LLM_067,SBV2-ALL92-G092-C02,mild_scope_overclaim,gpt_structured,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
LLM_067,SBV2-ALL92-G092-C02,mild_scope_overclaim,deepseek,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
LLM_148,SBV2-ALL92-G161-C03,strong_action_overclaim,gpt_standard,contradiction_candidate,strong_action_overclaim,False,True,r4_only_correct
LLM_148,SBV2-ALL92-G161-C03,strong_action_overclaim,gpt_structured,contradiction_candidate,strong_action_overclaim,False,True,r4_only_correct
LLM_148,SBV2-ALL92-G161-C03,strong_action_overclaim,deepseek,mild_scope_overclaim,strong_action_overclaim,False,True,r4_only_correct
LLM_081,SBV2-ALL92-G135-C02,mild_scope_overclaim,gpt_standard,supported,strong_action_overclaim,False,False,both_wrong
LLM_081,SBV2-ALL92-G135-C02,mild_scope_overclaim,gpt_structured,supported,strong_action_overclaim,False,False,both_wrong
LLM_081,SBV2-ALL92-G135-C02,mild_scope_overclaim,deepseek,supported,strong_action_overclaim,False,False,both_wrong
LLM_152,SBV2-ALL92-G040-C04,contradiction_candidate,gpt_standard,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_152,SBV2-ALL92-G040-C04,contradiction_candidate,gpt_structured,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_152,SBV2-ALL92-G040-C04,contradiction_candidate,deepseek,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_047,SBV2-ALL92-G161-C01,supported,gpt_standard,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_047,SBV2-ALL92-G161-C01,supported,gpt_structured,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_047,SBV2-ALL92-G161-C01,supported,deepseek,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_188,SBV2-ALL92-G232-C04,contradiction_candidate,gpt_standard,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_188,SBV2-ALL92-G232-C04,contradiction_candidate,gpt_structured,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_188,SBV2-ALL92-G232-C04,contradiction_candidate,deepseek,supported,contradiction_candidate,False,True,r4_only_correct
LLM_178,SBV2-ALL92-G135-C04,contradiction_candidate,gpt_standard,contradiction_candidate,strong_action_overclaim,True,False,llm_only_correct
LLM_178,SBV2-ALL92-G135-C04,contradiction_candidate,gpt_structured,contradiction_candidate,strong_action_overclaim,True,False,llm_only_correct
LLM_178,SBV2-ALL92-G135-C04,contradiction_candidate,deepseek,contradiction_candidate,strong_action_overclaim,True,False,llm_only_correct
LLM_036,SBV2-ALL92-G190-C01,supported,gpt_standard,mild_scope_overclaim,strong_action_overclaim,False,False,both_wrong
LLM_036,SBV2-ALL92-G190-C01,supported,gpt_structured,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_036,SBV2-ALL92-G190-C01,supported,deepseek,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_079,SBV2-ALL92-G108-C02,mild_scope_overclaim,gpt_standard,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
LLM_079,SBV2-ALL92-G108-C02,mild_scope_overclaim,gpt_structured,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
LLM_079,SBV2-ALL92-G108-C02,mild_scope_overclaim,deepseek,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
LLM_117,SBV2-ALL92-G083-C03,strong_action_overclaim,gpt_standard,contradiction_candidate,mild_scope_overclaim,False,False,both_wrong
LLM_117,SBV2-ALL92-G083-C03,strong_action_overclaim,gpt_structured,contradiction_candidate,mild_scope_overclaim,False,False,both_wrong
LLM_117,SBV2-ALL92-G083-C03,strong_action_overclaim,deepseek,contradiction_candidate,mild_scope_overclaim,False,False,both_wrong
LLM_187,SBV2-ALL92-G186-C04,contradiction_candidate,gpt_standard,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_187,SBV2-ALL92-G186-C04,contradiction_candidate,gpt_structured,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_187,SBV2-ALL92-G186-C04,contradiction_candidate,deepseek,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_088,SBV2-ALL92-G257-C02,mild_scope_overclaim,gpt_standard,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
