candidate_id,true_label,pred_oracle_span,correct_oracle_span,strong_fn_oracle_span,strong_fp_oracle_span,pred_raw_bm25_top1_chunk,correct_raw_bm25_top1_chunk,strong_fn_raw_bm25_top1_chunk,strong_fp_raw_bm25_top1_chunk,pred_cleaned_top1_chunk,correct_cleaned_top1_chunk,strong_fn_cleaned_top1_chunk,strong_fp_cleaned_top1_chunk,pred_best_sentence_from_top1,correct_best_sentence_from_top1,strong_fn_best_sentence_from_top1,strong_fp_best_sentence_from_top1,pred_three_sentence_window_from_top1,correct_three_sentence_window_from_top1,strong_fn_three_sentence_window_from_top1,strong_fp_three_sentence_window_from_top1,pred_best_sentence_from_top5,correct_best_sentence_from_top5,strong_fn_best_sentence_from_top5,strong_fp_best_sentence_from_top5,pred_three_sentence_window_from_top5,correct_three_sentence_window_from_top5,strong_fn_three_sentence_window_from_top5,strong_fp_three_sentence_window_from_top5,pred_oracle_span_clean,correct_oracle_span_clean,strong_fn_oracle_span_clean,strong_fp_oracle_span_clean,pred_oracle_with_metadata,correct_oracle_with_metadata,strong_fn_oracle_with_metadata,strong_fp_oracle_with_metadata,pred_oracle_lengthened,correct_oracle_lengthened,strong_fn_oracle_lengthened,strong_fp_oracle_lengthened,raw_correct,canon_any_correct,canon_helped,canon_harmed,both_failed,both_correct
SBV2-ALL92-G002-CONTRA,contradiction_candidate,mild_scope_overclaim,False,False,False,strong_action_overclaim,False,False,True,strong_action_overclaim,False,False,True,strong_action_overclaim,False,False,True,strong_action_overclaim,False,False,True,strong_action_overclaim,False,False,True,strong_action_overclaim,False,False,True,mild_scope_overclaim,False,False,False,contradiction_candidate,True,False,False,contradiction_candidate,True,False,False,False,False,False,False,True,False
SBV2-ALL92-G002-MILD,mild_scope_overclaim,strong_action_overclaim,False,False,True,strong_action_overclaim,False,False,True,strong_action_overclaim,False,False,True,strong_action_overclaim,False,False,True,strong_action_overclaim,False,False,True,strong_action_overclaim,False,False,True,supported,False,False,False,strong_action_overclaim,False,False,True,strong_action_overclaim,False,False,True,supported,False,False,False,False,False,False,False,True,False
SBV2-ALL92-G002-STRONG,strong_action_overclaim,strong_action_overclaim,True,False,False,strong_action_overclaim,True,False,False,strong_action_overclaim,True,False,False,strong_action_overclaim,True,False,False,strong_action_overclaim,True,False,False,strong_action_overclaim,True,False,False,supported,False,True,False,strong_action_overclaim,True,False,False,strong_action_overclaim,True,False,False,strong_action_overclaim,True,False,False,True,True,False,False,False,True
SBV2-ALL92-G002-SUPPORTED,supported,supported,True,False,False,strong_action_overclaim,False,False,True,strong_action_overclaim,False,False,True,strong_action_overclaim,False,False,True,strong_action_overclaim,False,False,True,supported,True,False,False,supported,True,False,False,supported,True,False,False,strong_action_overclaim,False,False,True,supported,True,False,False,False,True,True,False,False,False
SBV2-ALL92-G003-CONTRA,contradiction_candidate,contradiction_candidate,True,False,False,contradiction_candidate,True,False,False,contradiction_candidate,True,False,False,contradiction_candidate,True,False,False,contradiction_candidate,True,False,False,contradiction_candidate,True,False,False,contradiction_candidate,True,False,False,contradiction_candidate,True,False,False,contradiction_candidate,True,False,False,contradiction_candidate,True,False,False,True,True,False,False,False,True
SBV2-ALL92-G003-MILD,mild_scope_overclaim,supported,False,False,False,mild_scope_overclaim,True,False,False,mild_scope_overclaim,True,False,False,mild_scope_overclaim,True,False,False,mild_scope_overclaim,True,False,False,mild_scope_overclaim,True,False,False,supported,False,False,False,supported,False,False,False,supported,False,False,False,supported,False,False,False,True,True,False,False,False,True
SBV2-ALL92-G003-STRONG,strong_action_overclaim,supported,False,True,False,mild_scope_overclaim,False,True,False,mild_scope_overclaim,False,True,False,strong_action_overclaim,True,False,False,mild_scope_overclaim,False,True,False,strong_action_overclaim,True,False,False,mild_scope_overclaim,False,True,False,supported,False,True,False,supported,False,True,False,supported,False,True,False,False,True,True,False,False,False
SBV2-ALL92-G003-SUPPORTED,supported,supported,True,False,False,supported,True,False,False,mild_scope_overclaim,False,False,False,supported,True,False,False,mild_scope_overclaim,False,False,False,strong_action_overclaim,False,False,True,supported,True,False,False,supported,True,False,False,supported,True,False,False,supported,True,False,False,True,True,False,False,False,True
SBV2-ALL92-G004-CONTRA,contradiction_candidate,contradiction_candidate,True,False,False,contradiction_candidate,True,False,False,contradiction_candidate,True,False,False,contradiction_candidate,True,False,False,contradiction_candidate,True,False,False,contradiction_candidate,True,False,False,contradiction_candidate,True,False,False,contradiction_candidate,True,False,False,contradiction_candidate,True,False,False,contradiction_candidate,True,False,False,True,True,False,False,False,True
SBV2-ALL92-G004-MILD,mild_scope_overclaim,mild_scope_overclaim,True,False,False,supported,False,False,False,supported,False,False,False,strong_action_overclaim,False,False,True,supported,False,False,False,supported,False,False,False,supported,False,False,False,mild_scope_overclaim,True,False,False,supported,False,False,False,supported,False,False,False,False,False,False,False,True,False
