pilot_id,candidate_id,domain,evidence_text,claim_text,annotator_relation_label,relation_confidence_1_to_5,relation_rationale_one_sentence,relation_confusion_if_any,needs_relation_adjudication,claim_realism_score_1_to_5,claim_realism_issue,realism_rationale_one_sentence,claim_usable_for_paper_example,needs_realism_adjudication
P001,SBV2-ALL92-G003-STRONG,autonomous_driving,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into nuPlan and validates planner behavior.,,,,,,,,,,
P002,SBV2-ALL92-G004-STRONG,autonomous_driving,"Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware.","The benchmark experiments run on an Intel Core i9-12900KS CPU, 32 GB RAM, an NVIDIA RTX 3090 Ti GPU, and a multi-GPU compute cluster.",,,,,,,,,,
P003,SBV2-ALL92-G067-C03,cyber_defense,We evaluate six frontier AI systems under matched prompts and budgets.,"The AgentCyberRange study evaluates eight frontier AI systems under matched prompts, budgets, and repeated cyber-range trials for the reported cyber-range comparison.",,,,,,,,,,
P004,SBV2-ALL92-G069-C03,cyber_defense,"However, systematic evaluation of their offensive capabilities remains constrained by lim- ited access to open, reproducible, multi-host cyber-range infrastructure.","Systematic evaluation of offensive capabilities remains constrained by missing open, reproducible, multi-host cyber-range infrastructure for frontier systems for reproducible multi-host cyber-range experiments.",,,,,,,,,,
P005,SBV2-ALL92-G077-C03,cyber_defense,"C- MADF achieves a precision of 0.997, recall of 0.961, and F1-score of 0.979, outperforming all three baselines (DUGAT- LSTM: 0.979/0.905/0.941; BiLSTM IDS: 0.982/0.915/0.947; Hybrid Weighted-XGBoost: 0.985/0.941/0.962 for Preci- sion/Recall/F1).","C-MADF reports precision 0.997, recall 0.961, F1-score 0.979, and dominant scores on intrusion-category breakdowns on the public CICIOT2023 benchmark.",,,,,,,,,,
P006,SBV2-ALL92-G106-C03,digital_twin,"Finally, we evaluated the test error (e.g., the Mean Absolute Percentage Error (MAPE)) by running the the estimated optimal policy on the physical system for 2,000 episodes.","The study evaluates test error with MAPE by running the estimated optimal decision rule on the physical system for 20,000 episodes and five starting conditions.",,,,,,,,,,
P007,SBV2-ALL92-G108-C03,digital_twin,"To the best of our knowledge, ours is the first theoretically justified MBRL method that does not rely on restrictive assumptions such as linear transitions.","The paper describes its method as theoretically justified and not reliant on restrictive assumptions such as linear transitions, fixed noise terms, or known reward functions in its design.",,,,,,,,,,
P008,SBV2-ALL92-G158-C03,robotics,"In addition to success rate (defined as the percentage of episodes that meet task-specific thresholds), we report continuous evaluation metrics to capture control precision and stability: Final Distance Error (m): Euclidean distance to the goal at the end of the episode.","NavBench reports success rate and final distance error as direct measures of task completion, control precision, stability, and physical robot transfer.",,,,,,,,,,
P009,SBV2-ALL92-G161-C03,robotics,"While this does not necessarily of- fer the best fine-tuned performance, we believe this to be a step towards, e.g., low-code applications.",The Isaac-to-Gazebo work describes its approach as a step toward low-code applications while presenting strong fine-tuned performance as a central contribution.,,,,,,,,,,
P010,SBV2-ALL92-G163-C03,robotics,We evaluate the resulting context-aware policies in both a canonical control benchmark and a real-world pushing task using a Franka Emika Panda robot.,The study evaluates context-aware agents in a canonical control benchmark and multiple physical manipulation platforms with Franka and mobile robots.,,,,,,,,,,
