candidate_id,target_candidate_group_id,span_id,source_id,domain,evidence_type,candidate_label_guess,claim_text,evidence_text,source_location,url,arxiv_id,pdf_filename,leakage_category,recommendation,claim_only_correct,claim_evidence_correct,lexical_leakage_risk,needs_human_review,exclude_recommended,paper_full_priority,selection_reason,contradiction_leakage_review
SBV2-ALL92-G005-CONTRA,SBV2-ALL92-G005,AD-002-S2,AD-002,autonomous_driving,metric_result,contradiction_candidate,The solver comparison shows first-order solving at N=3 matches second-order accuracy at N=5 while reducing required denoising steps.,"The vertical arrow shows the solver order benefit: at the same latency, second-order solving at N=3 matches the accuracy of first-order at N=5, effectively halving the required steps.",pdf_page_6,https://arxiv.org/abs/2603.01023,2603.01023,pdfs/AD-002__2603.01023.pdf,D_claim_only_better,exclude_flag_leakage,True,False,False,False,True,exclude,claim_only_beats_evidence_highest_risk,True
SBV2-ALL92-G009-MILD,SBV2-ALL92-G009,AD-003-S3,AD-003,autonomous_driving,deployment_boundary,mild_scope_overclaim,HiDrive provides physically realistic lighting and high-fidelity visual rendering as a more challenging testbed for broad autonomy complexity.,"Built on a more advanced physics engine, HiDrive provides physically realistic lighting and high-fidelity visual rendering, offering a more challenging and realistic testbed for assessing whether autonomous driving systems can handle the complexity of real-world deployment.",pdf_page_1,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,D_claim_only_better,exclude_flag_leakage,True,False,False,False,True,exclude,claim_only_beats_evidence_highest_risk,False
SBV2-ALL92-G017-C04,SBV2-ALL92-G017,AD-006-S2,AD-006,autonomous_driving,metric_result,contradiction_candidate,"OmniDrive records weaker ADVLM metrics in BENCH2ADVLM, despite reaching 12.99% Success Rate, 43.75 Driving Score, and 19.38 Skill Score.","OmniDrive consistently achieves the highest scores across all metrics, with a peak Success Rate of 12.99%, Driving Score of 43.75, and Skill Score of 19.38, indicating better robustness and generalization in closed-loop setting.",pdf_page_7,https://arxiv.org/abs/2508.02028,2508.02028,pdfs/AD-006__2508.02028.pdf,D_claim_only_better,exclude_flag_leakage,True,False,False,False,True,exclude,claim_only_beats_evidence_highest_risk,True
SBV2-ALL92-G029-C04,SBV2-ALL92-G029,AD-010-S2,AD-010,autonomous_driving,metric_result,contradiction_candidate,"DSVLM reports an average benchmark score of 49.52, which is lower than Seed-1.6's score of 68.4 by 18.88 points.","It achieves a remarkable average score of 68.4, creating a substantial performance gap of 18.88 points ahead of the strongest commercial competi- tor, Seed-1.6 (49.52).",pdf_page_6,https://arxiv.org/abs/2511.14592,2511.14592,pdfs/AD-010__2511.14592.pdf,D_claim_only_better,exclude_flag_leakage,True,False,False,False,True,exclude,claim_only_beats_evidence_highest_risk,True
SBV2-ALL92-G039-C04,SBV2-ALL92-G039,AD-014-S3,AD-014,autonomous_driving,limitation,contradiction_candidate,NAVSIM states that simulating realistic traffic behavior or sensor data is straightforward for evaluation environments in autonomous system assessment.,"Unfortunately, ensuring realism when simulating traffic behavior or sensor data remains a challenging task.",pdf_page_3,https://arxiv.org/abs/2406.15349,2406.15349,pdfs/AD-014__2406.15349.pdf,D_claim_only_better,exclude_flag_leakage,True,False,False,False,True,exclude,claim_only_beats_evidence_highest_risk,True
SBV2-ALL92-G044-C04,SBV2-ALL92-G044,AD-016-S2,AD-016,autonomous_driving,metric_result,contradiction_candidate,The HABIT study treats semantically grounded pedestrian behavior as irrelevant for planning robustness and prediction accuracy for autonomous agents.,"Our goal is to analyze the impact of diverse, seman- tically grounded pedestrian behavior on planning robust- ness and prediction accuracy of autonomous agents.",pdf_page_7,https://arxiv.org/abs/2511.19109,2511.19109,pdfs/AD-016__2511.19109.pdf,D_claim_only_better,exclude_flag_leakage,True,False,False,False,True,exclude,claim_only_beats_evidence_highest_risk,True
SBV2-ALL92-G045-C04,SBV2-ALL92-G045,AD-016-S3,AD-016,autonomous_driving,limitation,contradiction_candidate,The authors describe HABIT as a low-fidelity simulation benchmark that ignores realistic human behavior in autonomous-system evaluation within CARLA studies.,"Conclusion and future work In this work, we introduced HABIT (Human Action Bench- mark for Interactive Traffic), a high-fidelity simulation benchmark designed to address the critical limitations of current autonomous driving (AD) simulations in repre- senting realistic human behavior.",pdf_page_8,https://arxiv.org/abs/2511.19109,2511.19109,pdfs/AD-016__2511.19109.pdf,D_claim_only_better,exclude_flag_leakage,True,False,False,False,True,exclude,claim_only_beats_evidence_highest_risk,True
SBV2-ALL92-G046-C04,SBV2-ALL92-G046,AD-017-S1,AD-017,autonomous_driving,experiment_setup,contradiction_candidate,"The V-Max experiments implement no LQ, LQH, MTR, or Wayformer encoder architectures with the Flax library as evaluated model components.","We implemented the following encoder architectures with the Flax library (Heek et al., 2024): (1) Latent-query (LQ): inspired from (Jaegle et al., 2021), (2) Latent-query hierarchical (LQH) (Bronstein et al., 2022); (3) Motion Transformer (MTR) (Shi et al., 2024), (4) Wayformer (Nayakanti et al., 2023).",pdf_page_9,https://arxiv.org/abs/2503.08388,2503.08388,pdfs/AD-017__2503.08388.pdf,D_claim_only_better,exclude_flag_leakage,True,False,False,False,True,exclude,claim_only_beats_evidence_highest_risk,True
SBV2-ALL92-G048-C03,SBV2-ALL92-G048,AD-017-S3,AD-017,autonomous_driving,limitation,strong_action_overclaim,The V-Max paper describes imitation learning as an inadequate paradigm because distribution shift and imitation gaps prevent reliable research progress.,"Imitation Learning (IL) remains the dominant paradigm, benefiting from large-scale human demonstration datasets, but it suffers from inherent limitations such as distri- bution shift and imitation gaps.",pdf_page_1,https://arxiv.org/abs/2503.08388,2503.08388,pdfs/AD-017__2503.08388.pdf,D_claim_only_better,exclude_flag_leakage,True,False,False,False,True,exclude,claim_only_beats_evidence_highest_risk,False
SBV2-ALL92-G050-C04,SBV2-ALL92-G050,AD-018-S2,AD-018,autonomous_driving,metric_result,contradiction_candidate,The URB results report that state-of-the-art MARL algorithms rarely trailed humans after lengthy and costly training runs in routing experiments.,"Our results show that, despite the lengthy and costly training, state-of-the-art MARL algorithms rarely outperformed humans.",pdf_page_1,https://arxiv.org/abs/2505.17734,2505.17734,pdfs/AD-018__2505.17734.pdf,D_claim_only_better,exclude_flag_leakage,True,False,False,False,True,exclude,claim_only_beats_evidence_highest_risk,True
