candidate_id,silver_label,true_strong_action,oracle_evidence_score,oracle_flagged_strong,retrieved_top1_score,retrieved_top1_flagged,retrieved_top3_score,retrieved_top3_flagged,retrieved_top1_chunk_id,retrieved_top1_same_paper,retrieved_top1_is_oracle_hit,retrieval_failure
SBV2-ALL92-G002-SUPPORTED,supported,False,2,True,2,True,2,True,AD-001_p1_c4,True,True,False
SBV2-ALL92-G002-MILD,mild_scope_overclaim,False,2,True,2,True,2,True,AD-001_p1_c4,True,True,False
SBV2-ALL92-G002-STRONG,strong_action_overclaim,True,2,True,2,True,2,True,AD-001_p4_c2,True,False,True
SBV2-ALL92-G002-CONTRA,contradiction_candidate,False,0,False,0,False,0,False,AD-001_p1_c4,True,True,False
SBV2-ALL92-G003-SUPPORTED,supported,False,0,False,0,False,0,False,AD-001_p1_c0,True,True,False
SBV2-ALL92-G003-MILD,mild_scope_overclaim,False,0,False,0,False,0,False,AD-001_p1_c0,True,True,False
SBV2-ALL92-G003-STRONG,strong_action_overclaim,True,0,False,0,False,0,False,AD-001_p1_c0,True,True,False
SBV2-ALL92-G003-CONTRA,contradiction_candidate,False,0,False,0,False,0,False,AD-001_p1_c0,True,True,False
SBV2-ALL92-G004-SUPPORTED,supported,False,0,False,0,False,0,False,AD-002_p5_c1,True,False,True
SBV2-ALL92-G004-MILD,mild_scope_overclaim,False,0,False,0,False,0,False,AD-002_p5_c0,True,True,False
SBV2-ALL92-G004-STRONG,strong_action_overclaim,True,0,False,0,False,0,False,AD-002_p5_c1,True,False,True
SBV2-ALL92-G004-CONTRA,contradiction_candidate,False,0,False,0,False,0,False,AD-002_p5_c1,True,False,True
SBV2-ALL92-G007-SUPPORTED,supported,False,0,False,0,False,0,False,AD-003_p8_c3,True,True,False
SBV2-ALL92-G007-MILD,mild_scope_overclaim,False,0,False,0,False,0,False,AD-003_p8_c3,True,True,False
SBV2-ALL92-G007-STRONG,strong_action_overclaim,True,0,False,0,False,0,False,AD-003_p8_c3,True,True,False
SBV2-ALL92-G007-CONTRA,contradiction_candidate,False,0,False,0,False,0,False,AD-003_p8_c3,True,True,False
SBV2-ALL92-G008-SUPPORTED,supported,False,3,True,3,True,3,True,AD-003_p1_c0,True,True,False
SBV2-ALL92-G008-MILD,mild_scope_overclaim,False,0,False,0,False,0,False,AD-003_p1_c0,True,True,False
SBV2-ALL92-G008-STRONG,strong_action_overclaim,True,0,False,0,False,0,False,AD-003_p1_c0,True,True,False
SBV2-ALL92-G008-CONTRA,contradiction_candidate,False,3,True,3,True,3,True,AD-003_p1_c0,True,True,False
SBV2-ALL92-G011-SUPPORTED,supported,False,1,False,2,True,2,True,AD-004_p1_c1,True,True,False
SBV2-ALL92-G011-MILD,mild_scope_overclaim,False,1,False,2,True,2,True,AD-004_p1_c1,True,True,False
SBV2-ALL92-G011-STRONG,strong_action_overclaim,True,1,False,2,True,2,True,AD-004_p1_c1,True,True,False
SBV2-ALL92-G011-CONTRA,contradiction_candidate,False,1,False,2,True,2,True,AD-004_p1_c1,True,True,False
SBV2-ALL92-G013-C01,supported,False,0,False,0,False,0,False,AD-005_p3_c0,True,True,False
SBV2-ALL92-G013-C02,mild_scope_overclaim,False,0,False,0,False,0,False,AD-005_p3_c0,True,True,False
