claim_id,paper_claim,section,supporting_result_file,supporting_metric,support_strength,risk_note,recommended_revision
C01,LLM under-detects strong_action_overclaim (strong_F1=0.0769 recall=0.04),VI.B,gpt_structured_judge_probe_v1/gpt_structured_probe_gate.json + llm_judge_baseline_v1/llm_metrics_200.json,standard_strong_f1=0.0769 structured_strong_f1=0.0769 deepseek_strong_f1=0.0769 strong_recall=0.04,strong,Silver labels 62.5% questionable; single run temp=0; single structured prompt design tested.,Add conditional: 'If gold supports silver labels (§VII) this pattern holds; otherwise downgraded per §VII.G criterion 3.' Add forward-ref to Table G3 GPT decision-tree and few-shot prompts as pre-registered additional prompt tests.
C02,R4 complements LLM rather than replaces it,VI.B + VIII.A,gpt_structured_judge_probe_v1/gpt_vs_r4_deepseek_comparison.csv,r4_strong_f1_same_samples=0.3000 vs llm_strong_f1=0.0769; r4_macro_f1=0.3280 vs gpt_macro_f1=0.5523,strong,R4 macro-F1 0.22 lower than LLM; 98 supported→strong + 24 mild→strong false positives; FP/TP ratio not reported.,Add explicit FP/TP ratio from existing data. Add: 'The complementarity claim holds if gold confirms that R4 strong recall remains higher than LLM strong recall (§VII H5).'
C03,R4 improves strong_action screening,VI.A + VII.D H6,mixed_framework_v2_frozen_r4_baseline/frozen_r4_metrics_summary.json + frozen_r4_readiness_gate.json,strong_positive_delta=+0.1559 CI=[0.1058 0.1988] 10/10 seeds positive; strong_recall=0.4562 vs baseline 0.2062,medium,Screening use case not demonstrated operationally; FP cost not quantified; gold validation H6 is pre-registered but not yet run.,Soften to 'R4 improves strong_action recall on silver labels; the screening use case is pre-registered for gold validation (Table G3 H6) and not yet demonstrated.' Add FP/TP ratio from existing R4 routing results.
C04,Overall macro-F1 is not the target,IV.D + VIII.A,mixed_framework_v2_frozen_r4_baseline/frozen_r4_readiness_gate.json,selection_criteria includes flat4_macro_not_down_gt_0.02 (R4 passes); R4 macro=0.4238 vs baseline 0.3963 (R4 improves macro on 444); on matched 100 R4 macro=0.3280 vs GPT 0.5523,medium,Reviewers may reject the 'macro-F1 is not the target' framing as excuse for poor macro-F1 on matched samples. The 0.3280 is substantially lower than LLM.,Add: 'R4 is optimized under 5 pre-registered constraints (§IV.D); macro-F1 on the matched 100 is lower because R4 sacrifices supported/mild accuracy for strong recall. This trade-off is intentional and pre-registered.'
C05,Evidence sufficiency calibration differs from support/refute,II + III,mixed_framework_v2_frozen_r4_baseline/frozen_r4_ablation_summary.json,NLI-only strong_f1=0.3934 vs action-gap-only=0.3648 vs combined=0.4209 (different signals); R4 routing order reflects theoretical principle,strong,The four-class taxonomy is a proposal; the ablation supports that different signals exist but doesn't prove the four classes are the right granularity.,Add: 'The four-class taxonomy is a hypothesis; §VII pre-registers the test of whether the mild_vs_strong boundary is reliably drawable (κ≥0.40).'
C06,Current result is pre-gold not final,Title page + VI opener + VII + IX Limitation 7 + X closer,N/A (framing claim),N/A,weak,The 'pre-gold' framing is stated 14+ times; becomes repetitive and reads as apologetic (see F1).,Reduce 'pre-gold' mentions to 4 key locations (Abstract §VI opener §VII opener §X closer). Reframe title page as 'silver-stage pilot with pre-registered gold validation protocol' instead of 'pre-gold complete draft.'
C07,Gold validation is planned and frozen before annotation,VII + gold_validation_protocol_section.md,gold_pilot_protocol_freeze_v1/ (10 files) + gold_validation_placeholder_tables.csv,All TO_BE_FILLED_AFTER_GOLD; 6 success criteria + 6 downgrade criteria pre-registered,strong,The pre-registration is genuine and well-documented. Risk: a reviewer may see it as 'we wrote the protocol after seeing the silver results' (post-hoc).,Add a date stamp in §VII: 'Protocol frozen 2026-07-04 in gold_pilot_protocol_freeze_v1/ before any gold annotation began.' The freeze report already documents this.
C08,R4 improves strong_action positive-F1 from 0.2408 to 0.3967,VI.A Table 1,mixed_framework_v2_frozen_r4_baseline/frozen_r4_metrics_summary.json,baseline strong_f1=0.2408 R4 strong_f1=0.3967 delta=+0.1559,strong,Computed against silver labels; 75% confusion rate on strong_action in author audit.,Add: 'On silver labels' after every mention of 0.3967 in §VI.A. The conditional 'If gold supports silver labels' should appear at least once in §VI.A.
C09,R4 is selected against 5 router variants under 5 pre-specified constraints,IV.D,mixed_framework_v2_frozen_r4_baseline/frozen_r4_readiness_gate.json,R4 is the only router meeting all 5 constraints; R5 has higher strong_f1=0.4399 but fails flat4_macro_delta; R3 has 0.4047 but fails flat4_macro_delta,strong,The 5 constraints and 5 alternatives could be seen as rule-stacking (over-engineered selection).,Add a table in §IV.D or appendix showing all 6 routers × 5 constraints with pass/fail. This transparency pre-empts the rule-stacking attack.
C10,The structured 5-step prompt does not improve strong_action detection,VI.B finding 1,gpt_structured_judge_probe_v1/gpt_structured_probe_gate.json,does_structured_prompt_fix_strong=false; structured_strong_f1=0.0769=standard_strong_f1=0.0769,strong,Single structured prompt design tested; other designs (decision-tree few-shot CoT tool-augmented) untested.,Add forward-ref: 'Two additional prompt designs (decision-tree few-shot) are pre-registered for gold-subset evaluation (Table G3). If either closes the gap the claim is downgraded per §VII.G criterion 3.'
