candidate_id,target_candidate_group_id,span_id,source_id,domain,evidence_type,candidate_label_guess,claim_text,evidence_text,source_location,url,arxiv_id,pdf_filename,leakage_category,recommendation,claim_only_correct,claim_evidence_correct,lexical_leakage_risk,needs_human_review,exclude_recommended,paper_full_priority,selection_reason,contradiction_leakage_review
SBV2-ALL92-G004-SUPPORTED,SBV2-ALL92-G004,AD-002-S1,AD-002,autonomous_driving,experiment_setup,supported,"The benchmark experiments run on an Intel Core i9-12900KS CPU, 32 GB RAM, an NVIDIA RTX 3090 Ti GPU, and Ubuntu 22.04 software.","Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware.",pdf_page_5,https://arxiv.org/abs/2603.01023,2603.01023,pdfs/AD-002__2603.01023.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G005-SUPPORTED,SBV2-ALL92-G005,AD-002-S2,AD-002,autonomous_driving,metric_result,supported,The solver comparison shows second-order solving at N=3 matches first-order accuracy at N=5 while reducing required denoising steps.,"The vertical arrow shows the solver order benefit: at the same latency, second-order solving at N=3 matches the accuracy of first-order at N=5, effectively halving the required steps.",pdf_page_6,https://arxiv.org/abs/2603.01023,2603.01023,pdfs/AD-002__2603.01023.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G008-STRONG,SBV2-ALL92-G008,AD-003-S2,AD-003,autonomous_driving,limitation,strong_action_overclaim,"HiDrive states that benchmark saturation reflects limited case diversity, object variety, capability breadth, and invalidates earlier evaluation leaderboards.","This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate.",pdf_page_1,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G020-C01,SBV2-ALL92-G020,AD-007-S2,AD-007,autonomous_driving,metric_result,supported,RoboDriveVLM-TTA records the best overall AvgL2-Prompt and AvgCol-Prompt results while maintaining relatively low MCL2 and MCC values under prompt corruption.,"In particular, RoboDriveVLM-TTA achieves the best overall performance in AvgL2-Prompt (0.474), AvgCol-Prompt (0.22), and maintains relatively low MCL2/MCC values even under prompt corruption.",pdf_page_6,https://arxiv.org/abs/2512.01300,2512.013,pdfs/AD-007__2512.01300.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G038-C04,SBV2-ALL92-G038,AD-014-S2,AD-014,autonomous_driving,metric_result,contradiction_candidate,NAVSIM reports challenging evaluation scenarios where the constant-velocity agent scores 95% and the human expert scores 22% in testing.,"The resulting scenarios are challenging, which is underlined by the score of the constant velocity agent dropping to 22%, whereas the human expert achieves a score of 95%.",pdf_page_5,https://arxiv.org/abs/2406.15349,2406.15349,pdfs/AD-014__2406.15349.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G042-C01,SBV2-ALL92-G042,AD-015-S3,AD-015,autonomous_driving,limitation,supported,DriveE2E introduces a closed-loop evaluation framework that integrates recorded traffic cases into CARLA through infrastructure cooperation for end-to-end autonomy evaluation.,"To address these limitations, we introduce a simple yet challenging closed-loop evaluation framework that closely integrates real-world driving scenarios into the CARLA simulator with infrastructure cooperation.",pdf_page_1,https://arxiv.org/abs/2509.23922,2509.23922,pdfs/AD-015__2509.23922.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G045-C01,SBV2-ALL92-G045,AD-016-S3,AD-016,autonomous_driving,limitation,supported,The authors introduce HABIT as a high-fidelity simulation benchmark for representing realistic human behavior in autonomous-system evaluation within CARLA studies.,"Conclusion and future work In this work, we introduced HABIT (Human Action Bench- mark for Interactive Traffic), a high-fidelity simulation benchmark designed to address the critical limitations of current autonomous driving (AD) simulations in repre- senting realistic human behavior.",pdf_page_8,https://arxiv.org/abs/2511.19109,2511.19109,pdfs/AD-016__2511.19109.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G046-C01,SBV2-ALL92-G046,AD-017-S1,AD-017,autonomous_driving,experiment_setup,supported,"The V-Max experiments implement LQ, LQH, MTR, and Wayformer encoder architectures with the Flax library as evaluated model components.","We implemented the following encoder architectures with the Flax library (Heek et al., 2024): (1) Latent-query (LQ): inspired from (Jaegle et al., 2021), (2) Latent-query hierarchical (LQH) (Bronstein et al., 2022); (3) Motion Transformer (MTR) (Shi et al., 2024), (4) Wayformer (Nayakanti et al., 2023).",pdf_page_9,https://arxiv.org/abs/2503.08388,2503.08388,pdfs/AD-017__2503.08388.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G048-C01,SBV2-ALL92-G048,AD-017-S3,AD-017,autonomous_driving,limitation,supported,The V-Max paper describes imitation learning as the dominant paradigm while noting distribution shift and imitation gaps as key limitations.,"Imitation Learning (IL) remains the dominant paradigm, benefiting from large-scale human demonstration datasets, but it suffers from inherent limitations such as distri- bution shift and imitation gaps.",pdf_page_1,https://arxiv.org/abs/2503.08388,2503.08388,pdfs/AD-017__2503.08388.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G050-C02,SBV2-ALL92-G050,AD-018-S2,AD-018,autonomous_driving,metric_result,mild_scope_overclaim,The URB results report that state-of-the-art MARL algorithms sometimes outperformed humans despite lengthy and costly training runs in routing experiments.,"Our results show that, despite the lengthy and costly training, state-of-the-art MARL algorithms rarely outperformed humans.",pdf_page_1,https://arxiv.org/abs/2505.17734,2505.17734,pdfs/AD-018__2505.17734.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
