duplicate_type,sha256,count,candidate_ids,labels
evidence_text,009c369e16e62a82d234718c20125e0fc22866acb9dae40951db78db11f71f5b,4,"SBV2-ALL92-G168-C03,SBV2-ALL92-G168-C04,SBV2-ALL92-G168-C01,SBV2-ALL92-G168-C02","strong_action_overclaim,contradiction_candidate,supported,mild_scope_overclaim"
evidence_text,02692370896833905ea5235a991c454c9693dea2252cd8e39f21501ccbe9c3e3,4,"SBV2-ALL92-G256-C04,SBV2-ALL92-G256-C03,SBV2-ALL92-G256-C01,SBV2-ALL92-G256-C02","contradiction_candidate,strong_action_overclaim,supported,mild_scope_overclaim"
evidence_text,02d83748a9476b7af5e14c633c1d194356a9ec735edd217d7ca3d8d64e4c2a15,4,"SBV2-ALL92-G131-C04,SBV2-ALL92-G131-C02,SBV2-ALL92-G131-C03,SBV2-ALL92-G131-C01","contradiction_candidate,mild_scope_overclaim,strong_action_overclaim,supported"
evidence_text,03e31705c19489fb678c20aebbacd34b75fc42a1fb3f1a74bcff41782721d89c,4,"SBV2-ALL92-G079-C01,SBV2-ALL92-G079-C03,SBV2-ALL92-G079-C02,SBV2-ALL92-G079-C04","supported,strong_action_overclaim,mild_scope_overclaim,contradiction_candidate"
evidence_text,05a04b9bee82765e650aa1c1299b5adb17695b2febaae24b15324148593d85c6,4,"SBV2-ALL92-G003-SUPPORTED,SBV2-ALL92-G003-CONTRA,SBV2-ALL92-G003-MILD,SBV2-ALL92-G003-STRONG","supported,contradiction_candidate,mild_scope_overclaim,strong_action_overclaim"
evidence_text,05b4aa7c08fea2a0f9f51e527b6c2c254eb45f7fcf0054fe888495f772a58df3,4,"SBV2-ALL92-G259-C01,SBV2-ALL92-G259-C04,SBV2-ALL92-G259-C03,SBV2-ALL92-G259-C02","supported,contradiction_candidate,strong_action_overclaim,mild_scope_overclaim"
evidence_text,0b853e11a541b021d8ee3ca3ebe2cf82adce48afaf3c1edaf1d1b3eccbf6962e,4,"SBV2-ALL92-G175-C02,SBV2-ALL92-G175-C03,SBV2-ALL92-G175-C01,SBV2-ALL92-G175-C04","mild_scope_overclaim,strong_action_overclaim,supported,contradiction_candidate"
evidence_text,0d9f6fc79ba1f10c201fd9fdd9523d5db4140305d13a586b7cd399ee0f78abc6,4,"SBV2-ALL92-G170-C04,SBV2-ALL92-G170-C03,SBV2-ALL92-G170-C02,SBV2-ALL92-G170-C01","contradiction_candidate,strong_action_overclaim,mild_scope_overclaim,supported"
evidence_text,12e03db8fe01fbaef18d1b4bf4070792dc4bbed84b1441c737ad04542136663f,4,"SBV2-ALL92-G077-C02,SBV2-ALL92-G077-C03,SBV2-ALL92-G077-C04,SBV2-ALL92-G077-C01","mild_scope_overclaim,strong_action_overclaim,contradiction_candidate,supported"
evidence_text,1371575d2ee6003cf2a2888697bbfa488c6d858169ce0f7eafb508a32dc06f4e,4,"SBV2-ALL92-G004-SUPPORTED,SBV2-ALL92-G004-MILD,SBV2-ALL92-G004-CONTRA,SBV2-ALL92-G004-STRONG","supported,mild_scope_overclaim,contradiction_candidate,strong_action_overclaim"
evidence_text,13c3bfea715243eb5138ccf33e81cdfe7057f84807f16ea787f76060e9979814,4,"SBV2-ALL92-G047-C04,SBV2-ALL92-G047-C02,SBV2-ALL92-G047-C03,SBV2-ALL92-G047-C01","contradiction_candidate,mild_scope_overclaim,strong_action_overclaim,supported"
evidence_text,15291939306b1ae7d86fc783d0370b291bc69c433c2b36f19f5682ebf12f7345,4,"SBV2-ALL92-G020-C02,SBV2-ALL92-G020-C03,SBV2-ALL92-G020-C04,SBV2-ALL92-G020-C01","mild_scope_overclaim,strong_action_overclaim,contradiction_candidate,supported"
evidence_text,177689b0bcb1f9ec891b2b767f011c8dffc31ea76852f6e888d1f1b1be637651,4,"SBV2-ALL92-G122-C04,SBV2-ALL92-G122-C03,SBV2-ALL92-G122-C02,SBV2-ALL92-G122-C01","contradiction_candidate,strong_action_overclaim,mild_scope_overclaim,supported"
evidence_text,19266ecdc6608be2b519e162f01c982a042648b6a95d0cb537016d40aa14610d,4,"SBV2-ALL92-G251-C01,SBV2-ALL92-G251-C02,SBV2-ALL92-G251-C04,SBV2-ALL92-G251-C03","supported,mild_scope_overclaim,contradiction_candidate,strong_action_overclaim"
evidence_text,1bfc02570ffe7c547ea6acc10a2d06c482e025ac0569d567f6cbb896d9b71c28,4,"SBV2-ALL92-G144-C01,SBV2-ALL92-G144-C02,SBV2-ALL92-G144-C03,SBV2-ALL92-G144-C04","supported,mild_scope_overclaim,strong_action_overclaim,contradiction_candidate"
evidence_text,1f00132620a1db761a6777c17cd45f1551c924d52b21a75c36a9d212c4e36ee6,4,"SBV2-ALL92-G266-C02,SBV2-ALL92-G266-C03,SBV2-ALL92-G266-C04,SBV2-ALL92-G266-C01","mild_scope_overclaim,strong_action_overclaim,contradiction_candidate,supported"
evidence_text,256124f1c5d68cf2531042ac6add8cd28db997a043722762025884a71a2dc2c4,4,"SBV2-ALL92-G186-C02,SBV2-ALL92-G186-C01,SBV2-ALL92-G186-C04,SBV2-ALL92-G186-C03","mild_scope_overclaim,supported,contradiction_candidate,strong_action_overclaim"
