candidate_id,variant,evidence_input,evidence_input_sha256,n_words,source,uses_oracle_text,contains_metadata,is_lengthened
SBV2-ALL92-G002-SUPPORTED,oracle_clean,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,30,candidate_csv.evidence_text,True,False,False
SBV2-ALL92-G002-SUPPORTED,oracle_plus_metadata,"Title: nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Page: 1 Section: unknown
More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",26cd84edd1a8f5178dd45eab2f919190a1d345f8412e6de1c654bd388ab39422,47,candidate_csv.evidence_text + metadata,True,True,False
SBV2-ALL92-G002-SUPPORTED,oracle_lengthened,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions. selection mechanism into the nuPlan simulation frame- work as configurable components, enabling more real- istic and human-like multi-agent interactions. • We extend the benchmark with two additional metrics, Success Rate and All-Core Pass Rate, to more effec- tively evaluate the robustness of planners and balance across various dimensions of driving performance. • We reimplement and comprehensively evaluate a diverse set of planning approaches in both the original nuPlan and the proposed nuPlan",b7291c60bf9cc3bf12bae4567ea56b28e4ee7aa1d6ccb59323496da3d27613e6,102,candidate_csv.evidence_text + adjacent_chunk,True,False,True
SBV2-ALL92-G002-SUPPORTED,oracle_plus_metadata_lengthened,"Title: nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Page: 1 Section: unknown
More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions. selection mechanism into the nuPlan simulation frame- work as configurable components, enabling more real- istic and human-like multi-agent interactions. • We extend the benchmark with two additional metrics, Success Rate and All-Core Pass Rate, to more effec- tively evaluate the robustness of planners and balance across various dimensions of driving performance. • We reimplement and comprehensively evaluate a diverse set of planning approaches in both the original nuPlan and the proposed nuPlan",b52a91233fff3a1d154c2b2ebc867746f54bf97c198862a0a12daffb833aae69,119,candidate_csv.evidence_text + metadata + adjacent_chunk,True,True,True
SBV2-ALL92-G002-SUPPORTED,raw_bm25_top1_chunk,"realistic and fair evaluation of autonomous driving planners. Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle. More- over, we extend the benchmark with t",aec776c36e9eb7b5ffdcbb15b2ac411dee609485f88bbee1f774b6b68c5c651b,68,chunk_retrieval rank=1,False,False,False
SBV2-ALL92-G002-SUPPORTED,cleaned_bm25_top1_chunk,"realistic and fair evaluation of autonomous driving planners. Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle. More- over, we extend the benchmark with t",aec776c36e9eb7b5ffdcbb15b2ac411dee609485f88bbee1f774b6b68c5c651b,68,chunk_retrieval rank=1 (cleaned),False,False,False
SBV2-ALL92-G002-SUPPORTED,canonicalized_best_sentence_top5,"• We extend the benchmark with two additional metrics, Success Rate and All-Core Pass Rate, to more effec- tively evaluate the robustness of planners and balance across various dimensions of driving performance.",d1137302904410af2c255bc382fa506e8a736321125c5b8d68771c9eaee8b0c9,32,canonicalizer_ablation best_sentence_top5_overlap,False,False,False
SBV2-ALL92-G002-SUPPORTED,canonicalized_three_sentence_window_top5,"selection mechanism into the nuPlan simulation frame- work as configurable components, enabling more real- istic and human-like multi-agent interactions. • We extend the benchmark with two additional metrics, Success Rate and All-Core Pass Rate, to more effec- tively evaluate the robustness of planners and balance across various dimensions of driving performance. • We reimplement and comprehensively evaluate a diverse set of planning approaches in both the original nuPlan and the proposed nuPlan",6ce3aebfe368ab4280a3fc95981eaef09207196bb0f6d27a744c786d189cf358,72,canonicalizer_ablation three_sentence_window_top5,False,False,False
SBV2-ALL92-G002-MILD,oracle_clean,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,30,candidate_csv.evidence_text,True,False,False
SBV2-ALL92-G002-MILD,oracle_plus_metadata,"Title: nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Page: 1 Section: unknown
More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",26cd84edd1a8f5178dd45eab2f919190a1d345f8412e6de1c654bd388ab39422,47,candidate_csv.evidence_text + metadata,True,True,False
SBV2-ALL92-G002-MILD,oracle_lengthened,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions. selection mechanism into the nuPlan simulation frame- work as configurable components, enabling more real- istic and human-like multi-agent interactions. • We extend the benchmark with two additional metrics, Success Rate and All-Core Pass Rate, to more effec- tively evaluate the robustness of planners and balance across various dimensions of driving performance. • We reimplement and comprehensively evaluate a diverse set of planning approaches in both the original nuPlan and the proposed nuPlan",b7291c60bf9cc3bf12bae4567ea56b28e4ee7aa1d6ccb59323496da3d27613e6,102,candidate_csv.evidence_text + adjacent_chunk,True,False,True
SBV2-ALL92-G002-MILD,oracle_plus_metadata_lengthened,"Title: nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Page: 1 Section: unknown
More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions. selection mechanism into the nuPlan simulation frame- work as configurable components, enabling more real- istic and human-like multi-agent interactions. • We extend the benchmark with two additional metrics, Success Rate and All-Core Pass Rate, to more effec- tively evaluate the robustness of planners and balance across various dimensions of driving performance. • We reimplement and comprehensively evaluate a diverse set of planning approaches in both the original nuPlan and the proposed nuPlan",b52a91233fff3a1d154c2b2ebc867746f54bf97c198862a0a12daffb833aae69,119,candidate_csv.evidence_text + metadata + adjacent_chunk,True,True,True
SBV2-ALL92-G002-MILD,raw_bm25_top1_chunk,"realistic and fair evaluation of autonomous driving planners. Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle. More- over, we extend the benchmark with t",aec776c36e9eb7b5ffdcbb15b2ac411dee609485f88bbee1f774b6b68c5c651b,68,chunk_retrieval rank=1,False,False,False
SBV2-ALL92-G002-MILD,cleaned_bm25_top1_chunk,"realistic and fair evaluation of autonomous driving planners. Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle. More- over, we extend the benchmark with t",aec776c36e9eb7b5ffdcbb15b2ac411dee609485f88bbee1f774b6b68c5c651b,68,chunk_retrieval rank=1 (cleaned),False,False,False
SBV2-ALL92-G002-MILD,canonicalized_best_sentence_top5,"• We extend the benchmark with two additional metrics, Success Rate and All-Core Pass Rate, to more effec- tively evaluate the robustness of planners and balance across various dimensions of driving performance.",d1137302904410af2c255bc382fa506e8a736321125c5b8d68771c9eaee8b0c9,32,canonicalizer_ablation best_sentence_top5_overlap,False,False,False
