case_id,candidate_id,domain,label,evidence_text_short,claim_text,why_trusted,why_not_other_labels,recommended_location_in_paper
TCB_001,SBV2-ALL92-G215-C01,policy_simulation,supported,"Agent-based models (ABMs) have emerged as a promising approach, capturing individual behaviors, group dynamics, and emergent phenomena beyond traditional deter- ministic models. [1] However, their eff","The ABM discussion says decision-support effectiveness remains uncertain because calibration, heterogeneous data integration, and result interpretation require expertise.",Selected for Table 0; illustrates the label with clear evidence-claim relationship.,Not mild_scope_overclaim (no scope expansion); not strong_action_overclaim (no deployment/action/safety conclusion asserted); not contradiction_candidate (evidence aligns with claim direction).,Table 0
TCB_002,SBV2-ALL92-G175-C01,marl,supported,"In addition to MAPPO, we evaluate two other algorithms in the Craftax-Coop environment: Independent PPO (IPPO), where each agent independently learns using PPO without centralized value estimation, an","The Craftax-Coop evaluation compares MAPPO with IPPO, which trains agents independently, and PQN, a parallel-environment Q-learning algorithm method.",Selected for Table 0; illustrates the label with clear evidence-claim relationship.,Not mild_scope_overclaim (no scope expansion); not strong_action_overclaim (no deployment/action/safety conclusion asserted); not contradiction_candidate (evidence aligns with claim direction).,Table 0
TCB_003,SBV2-ALL92-G002-SUPPORTED,autonomous_driving,supported,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dime",nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.,Author sanity audit rated 'reasonable'; evidence and claim are clear enough for illustrative use.,Not mild (no scope over-extension); not strong_action (no action/deployment assertion); not contradiction (directions align).,Appendix case study
TCB_004,SBV2-ALL92-G067-C01,cyber_defense,supported,We evaluate six frontier AI systems under matched prompts and budgets.,The AgentCyberRange study evaluates six frontier AI systems under matched prompts and matched computational budgets for the reported cyber-range comparison.,Author sanity audit rated 'reasonable'; evidence and claim are clear enough for illustrative use.,Not mild (no scope over-extension); not strong_action (no action/deployment assertion); not contradiction (directions align).,Appendix case study
TCB_005,SBV2-ALL92-G215-C02,policy_simulation,mild_scope_overclaim,"Agent-based models (ABMs) have emerged as a promising approach, capturing individual behaviors, group dynamics, and emergent phenomena beyond traditional deter- ministic models. [1] However, their eff","The ABM discussion says decision-support effectiveness remains uncertain because calibration and heterogeneous data integration require expertise, while interpretation is resolved.",Selected for Table 0; illustrates the label with clear evidence-claim relationship.,"Not supported (scope is mildly overstated); not strong_action_overclaim (no deployment/action/safety/guarantee conclusion); not contradiction_candidate (evidence direction is consistent with claim, just narrower).",Table 0
TCB_006,SBV2-ALL92-G175-C02,marl,mild_scope_overclaim,"In addition to MAPPO, we evaluate two other algorithms in the Craftax-Coop environment: Independent PPO (IPPO), where each agent independently learns using PPO without centralized value estimation, an","The Craftax-Coop evaluation compares MAPPO with IPPO, which trains agents independently, and PQN, a recurrent value-based Q-learning algorithm.",Selected for Table 0; illustrates the label with clear evidence-claim relationship.,"Not supported (scope is mildly overstated); not strong_action_overclaim (no deployment/action/safety/guarantee conclusion); not contradiction_candidate (evidence direction is consistent with claim, just narrower).",Table 0
TCB_007,SBV2-ALL92-G002-MILD,autonomous_driving,mild_scope_overclaim,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dime",nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance as the main comparison basis.,Author sanity audit rated 'reasonable'; evidence and claim are clear enough for illustrative use.,Not supported (scope mildly over-extended); not strong_action (no action/deployment/safety conclusion); not contradiction (direction consistent).,Appendix case study
TCB_008,SBV2-ALL92-G214-C02,policy_simulation,mild_scope_overclaim,"The best- performing system achieves only 24.5% accuracy on compre- hensive scenarios and 15.04% on targeted sub-tasks, highlight- ing the gap between existing tools and the requirements for effective",The benchmark reports its best-performing system above 30% accuracy on broad cases and 15.04% accuracy on targeted sub-tasks.,Author sanity audit rated 'reasonable'; evidence and claim are clear enough for illustrative use.,Not supported (scope mildly over-extended); not strong_action (no action/deployment/safety conclusion); not contradiction (direction consistent).,Appendix case study
TCB_009,SBV2-ALL92-G215-C03,policy_simulation,strong_action_overclaim,"Agent-based models (ABMs) have emerged as a promising approach, capturing individual behaviors, group dynamics, and emergent phenomena beyond traditional deter- ministic models. [1] However, their eff","The ABM discussion says decision-support effectiveness remains uncertain because calibration, data integration, interpretation, and validation require extensive expertise.",Selected for Table 0; illustrates the label with clear evidence-claim relationship.,"Not supported (evidence is insufficient for the action claimed, not just the finding); not mild_scope_overclaim (the over-extension is about action/deployment strength, not just scope breadth); not contradiction_candidate (evidence may align with claim direction, but strength is excessive — strong_action is about strength mismatch, not directional conflict).",Table 0
TCB_010,SBV2-ALL92-G175-C03,marl,strong_action_overclaim,"In addition to MAPPO, we evaluate two other algorithms in the Craftax-Coop environment: Independent PPO (IPPO), where each agent independently learns using PPO without centralized value estimation, an","The Craftax-Coop evaluation compares MAPPO with IPPO, PQN, and QMIX while treating each method as a parallel-environment Q-learning algorithm.",Selected for Table 0; illustrates the label with clear evidence-claim relationship.,"Not supported (evidence is insufficient for the action claimed, not just the finding); not mild_scope_overclaim (the over-extension is about action/deployment strength, not just scope breadth); not contradiction_candidate (evidence may align with claim direction, but strength is excessive — strong_action is about strength mismatch, not directional conflict).",Table 0
