case_id,candidate_id,silver_label,risk_type,why_risky,possible_alternative_label,recommended_handling
HRC_001,SBV2-ALL92-G003-STRONG,strong_action_overclaim,claim_too_abstract,"Claim describes what the paper does rather than making an explicit action/deployment assertion; silver label strong_action may be too strong, but the claim's framing still over-extends relative to evidence.",mild_scope_overclaim,future_gold_priority
HRC_002,SBV2-ALL92-G004-STRONG,strong_action_overclaim,taxonomy_boundary_unclear,No clear action/strength/scope cue in claim; the mild vs strong boundary is genuinely unclear.,mild_scope_overclaim,future_gold_priority
HRC_003,SBV2-ALL92-G067-C03,strong_action_overclaim,claim_too_abstract,"Claim describes what the paper does rather than making an explicit action/deployment assertion; silver label strong_action may be too strong, but the claim's framing still over-extends relative to evidence.",mild_scope_overclaim,future_gold_priority
HRC_004,SBV2-ALL92-G069-C03,strong_action_overclaim,taxonomy_boundary_unclear,No clear action/strength/scope cue in claim; the mild vs strong boundary is genuinely unclear.,mild_scope_overclaim,future_gold_priority
HRC_005,SBV2-ALL92-G077-C03,strong_action_overclaim,audit_conservative_plus_taxonomy_boundary,"Claim contains action/strength cues (e.g., scope/significance language) that the audit keyword heuristic missed; silver label may be defensible but boundary needs gold adjudication.",mild_scope_overclaim,boundary_case_only
HRC_006,SBV2-ALL92-G106-C03,strong_action_overclaim,claim_too_abstract,"Claim describes what the paper does rather than making an explicit action/deployment assertion; silver label strong_action may be too strong, but the claim's framing still over-extends relative to evidence.",mild_scope_overclaim,future_gold_priority
HRC_007,SBV2-ALL92-G108-C03,strong_action_overclaim,audit_conservative_plus_taxonomy_boundary,"Claim contains action/strength cues (e.g., scope/significance language) that the audit keyword heuristic missed; silver label may be defensible but boundary needs gold adjudication.",mild_scope_overclaim,boundary_case_only
HRC_008,SBV2-ALL92-G158-C03,strong_action_overclaim,claim_too_abstract,"Claim describes what the paper does rather than making an explicit action/deployment assertion; silver label strong_action may be too strong, but the claim's framing still over-extends relative to evidence.",mild_scope_overclaim,future_gold_priority
HRC_009,SBV2-ALL92-G161-C03,strong_action_overclaim,claim_too_abstract,"Claim describes what the paper does rather than making an explicit action/deployment assertion; silver label strong_action may be too strong, but the claim's framing still over-extends relative to evidence.",mild_scope_overclaim,future_gold_priority
HRC_010,SBV2-ALL92-G163-C03,strong_action_overclaim,taxonomy_boundary_unclear,Claim has scope-expansion cue but no explicit action/deployment/safety language; the mild vs strong boundary is genuinely unclear and requires clearer operationalization.,mild_scope_overclaim,future_gold_priority
HRC_011,SBV2-ALL92-G175-C03,strong_action_overclaim,taxonomy_boundary_unclear,Claim has scope-expansion cue but no explicit action/deployment/safety language; the mild vs strong boundary is genuinely unclear and requires clearer operationalization.,mild_scope_overclaim,future_gold_priority
HRC_012,SBV2-ALL92-G178-C03,strong_action_overclaim,taxonomy_boundary_unclear,No clear action/strength/scope cue in claim; the mild vs strong boundary is genuinely unclear.,mild_scope_overclaim,future_gold_priority
HRC_013,SBV2-ALL92-G180-C03,strong_action_overclaim,taxonomy_boundary_unclear,No clear action/strength/scope cue in claim; the mild vs strong boundary is genuinely unclear.,mild_scope_overclaim,future_gold_priority
HRC_014,SBV2-ALL92-G215-C03,strong_action_overclaim,taxonomy_boundary_unclear,No clear action/strength/scope cue in claim; the mild vs strong boundary is genuinely unclear.,mild_scope_overclaim,future_gold_priority
