script_path,category,related_task,safe_to_run,modifies_data,calls_api,trains_model,outputs,notes
scripts/_v2_qc_check.py,audit,general,yes,no,no,no,,
scripts/_v3_15_scalar_gate_view.py,audit,V3.15 hierarchical taxonomy,yes,no,no,no,,Recent task (V3.15/overnight/V3.16); safe to rerun for reanalysis
scripts/_v3_15_view_metrics.py,audit,V3.15 hierarchical taxonomy,yes,no,no,no,,Recent task (V3.15/overnight/V3.16); safe to rerun for reanalysis
scripts/build_gold_pilot_preparation_v1.py,mainline,Gold pilot prep,yes,no,no,no,D:\ocn\gold_pilot_preparation_v1,Mainline builder; output frozen; do not rerun
scripts/build_paper_ready_mixed_framework_v2.py,mainline,R4 frozen baseline,no,no,no,no,"D:\\ocn\\experiments\\paper_ready_mixed_framework_v2\\
",Mainline builder; output frozen; do not rerun
scripts/build_rigourate_style_scalar_baselines.py,build_docx,RIGOURATE reproduction,yes,no,no,no,,Historical docx builder; output already frozen; do not rerun
scripts/build_v2_relation_realism_templates.py,mainline,general,yes,no,no,no,,Mainline builder; output frozen; do not rerun
scripts/build_v3_10_1_docx.py,unknown,V3.10 advisor ready,yes,no,no,no,,
scripts/build_v3_10_docx.py,build_docx,V3.10 advisor ready,yes,no,no,no,,Historical docx builder; output already frozen; do not rerun
scripts/build_v3_11_docx.py,build_docx,V3.11 framework roadmap,yes,no,no,no,,Historical docx builder; output already frozen; do not rerun
scripts/build_v3_12_1_docx.py,unknown,V3.12 three credibility checks,yes,no,no,no,,
scripts/build_v3_12_docx.py,build_docx,V3.12 three credibility checks,yes,no,no,no,,Historical docx builder; output already frozen; do not rerun
scripts/build_v3_13_docx.py,build_docx,V3.13 RIGOURATE-differentiated,yes,no,no,no,,
scripts/build_v3_13_rigourate_aware_docx.py,build_docx,V3.13 RIGOURATE-differentiated,yes,no,no,no,,
scripts/build_v3_14_docx.py,build_docx,V3.14 mainline locked,yes,no,no,no,,
scripts/build_v3_15_attack_response_and_gate.py,build_docx,V3.15 hierarchical taxonomy,yes,no,no,no,D:\ocn\paper_versions_ordered\V3_15_hierarchical_taxonomy_revision,Recent task (V3.15/overnight/V3.16); safe to rerun for reanalysis
