candidate_id,paper_id,silver_label,failure_type,reason,pdf_missing,oracle_found,oracle_method,top1_same_paper,top1_is_oracle,retrieval_failure
SBV2-ALL92-G002-SUPPORTED,AD-001,supported,none,No failure,False,True,exact_substring,True,True,False
SBV2-ALL92-G002-MILD,AD-001,mild_scope_overclaim,none,No failure,False,True,exact_substring,True,True,False
SBV2-ALL92-G002-STRONG,AD-001,strong_action_overclaim,oracle_chunk_not_retrieved,Same paper but oracle chunk not in top-20,False,True,exact_substring,True,False,True
SBV2-ALL92-G002-CONTRA,AD-001,contradiction_candidate,none,No failure,False,True,exact_substring,True,True,False
SBV2-ALL92-G003-SUPPORTED,AD-001,supported,none,No failure,False,True,exact_substring,True,True,False
SBV2-ALL92-G003-MILD,AD-001,mild_scope_overclaim,none,No failure,False,True,exact_substring,True,True,False
SBV2-ALL92-G003-STRONG,AD-001,strong_action_overclaim,none,No failure,False,True,exact_substring,True,True,False
SBV2-ALL92-G003-CONTRA,AD-001,contradiction_candidate,none,No failure,False,True,exact_substring,True,True,False
SBV2-ALL92-G004-SUPPORTED,AD-002,supported,oracle_chunk_not_retrieved,Same paper but oracle chunk not in top-20,False,True,exact_substring,True,False,True
SBV2-ALL92-G004-MILD,AD-002,mild_scope_overclaim,none,No failure,False,True,exact_substring,True,True,False
SBV2-ALL92-G004-STRONG,AD-002,strong_action_overclaim,oracle_chunk_not_retrieved,Same paper but oracle chunk not in top-20,False,True,exact_substring,True,False,True
SBV2-ALL92-G004-CONTRA,AD-002,contradiction_candidate,oracle_chunk_not_retrieved,Same paper but oracle chunk not in top-20,False,True,exact_substring,True,False,True
SBV2-ALL92-G007-SUPPORTED,AD-003,supported,none,No failure,False,True,exact_substring,True,True,False
SBV2-ALL92-G007-MILD,AD-003,mild_scope_overclaim,none,No failure,False,True,exact_substring,True,True,False
SBV2-ALL92-G007-STRONG,AD-003,strong_action_overclaim,none,No failure,False,True,exact_substring,True,True,False
SBV2-ALL92-G007-CONTRA,AD-003,contradiction_candidate,none,No failure,False,True,exact_substring,True,True,False
SBV2-ALL92-G008-SUPPORTED,AD-003,supported,none,No failure,False,True,exact_substring,True,True,False
SBV2-ALL92-G008-MILD,AD-003,mild_scope_overclaim,none,No failure,False,True,exact_substring,True,True,False
SBV2-ALL92-G008-STRONG,AD-003,strong_action_overclaim,none,No failure,False,True,exact_substring,True,True,False
SBV2-ALL92-G008-CONTRA,AD-003,contradiction_candidate,none,No failure,False,True,exact_substring,True,True,False
SBV2-ALL92-G011-SUPPORTED,AD-004,supported,relation_screening_failed_after_good_retrieval,"Oracle flagged=False, retrieved flagged=True",False,True,exact_substring,True,True,False
SBV2-ALL92-G011-MILD,AD-004,mild_scope_overclaim,relation_screening_failed_after_good_retrieval,"Oracle flagged=False, retrieved flagged=True",False,True,exact_substring,True,True,False
SBV2-ALL92-G011-STRONG,AD-004,strong_action_overclaim,relation_screening_failed_after_good_retrieval,"Oracle flagged=False, retrieved flagged=True",False,True,exact_substring,True,True,False
SBV2-ALL92-G011-CONTRA,AD-004,contradiction_candidate,relation_screening_failed_after_good_retrieval,"Oracle flagged=False, retrieved flagged=True",False,True,exact_substring,True,True,False
