rank,candidate_id,true_label,pred_label,strong_action_flag,p_strong,p_contra,p_svm,entailment,neutral,contradiction_nli,entropy,selector_score,selected_rank,selected_n_words,bm25_score,oracle_hit,ranking_score,selected_evidence
1,SBV2-ALL92-G065-C03,strong_action_overclaim,strong_action_overclaim,1,0.9001733501516946,0.2567677524455616,0.4742347968920584,0.0030005124863237143,0.9957643747329712,0.0012350967153906822,0.029927492141723633,0.16,5,8,18.5269,0,0.870245858009971,By continuously evaluating the safety implications of predi
2,SBV2-ALL92-G146-C03,strong_action_overclaim,strong_action_overclaim,1,0.8750939006950106,0.2601758033225895,0.4726426777591023,0.0003217026824131608,0.994759738445282,0.004918496590107679,0.0339541956782341,0.2142857142857142,1,18,32.3342,1,0.8411397050167765,"(section IV A) and validate these predictions through simulation, with a focus on latency metrics (section IV B)."
3,SBV2-ALL92-G232-C02,mild_scope_overclaim,strong_action_overclaim,1,0.8506619844470373,0.2587056660006721,0.475671114656877,0.0002997721021529287,0.9979143738746643,0.0017858018400147557,0.015815701335668564,0.2857142857142857,1,9,47.9807,1,0.8348462831113688,We implement this shock by altering the skill requiremen
4,SBV2-ALL92-G146-C02,mild_scope_overclaim,strong_action_overclaim,1,0.8438112998913749,0.2553313651721565,0.5306562972074435,0.00020514917559921741,0.9972367286682129,0.0025580532383173704,0.019769294187426567,0.2142857142857142,1,18,35.2287,1,0.8240420057039484,"(section IV A) and validate these predictions through simulation, with a focus on latency metrics (section IV B)."
5,SBV2-ALL92-G232-C01,supported,strong_action_overclaim,1,0.8424892248418628,0.2604215902448351,0.4777208842020224,0.00021119751909282058,0.9968067407608032,0.002982074161991477,0.02231662906706333,0.2857142857142857,1,9,57.0609,1,0.8201725957747995,We implement this shock by altering the skill requiremen
6,SBV2-ALL92-G253-C03,strong_action_overclaim,strong_action_overclaim,1,0.8383159439714322,0.2994241207249237,0.4783475444290047,0.0015802056295797229,0.9964774250984192,0.0019423121120780706,0.025836562737822533,0.2962962962962963,1,10,52.0115,1,0.8124793812336096,"By referring to the Huff model (Garcia-Gabilondo, Shibuya, and Sekimot"
7,SBV2-ALL92-G140-C02,mild_scope_overclaim,strong_action_overclaim,1,0.8394267041583641,0.2738097370715593,0.4654051928124214,0.00019967666594311595,0.9952287673950195,0.004571523051708937,0.03109179064631462,0.2222222222222222,1,17,43.4306,0,0.8083349135120494,We compare the performance of the proposed method with Partial and REWIRE methods from the current literature.
8,SBV2-ALL92-G030-C02,mild_scope_overclaim,strong_action_overclaim,1,0.8502323553405473,0.2724918179355512,0.4246516668584205,0.003400348126888275,0.9933626651763916,0.00323690683580935,0.04450005292892456,0.2857142857142857,2,12,26.5782,0,0.8057323024116227,"Despite this progress, the application of XRL to cyber defense remains limited."
9,SBV2-ALL92-G256-C03,strong_action_overclaim,strong_action_overclaim,1,0.8291208017734387,0.2497279219790843,0.4784685797842376,0.00031564608798362315,0.9963819980621338,0.0033024344593286514,0.02502295933663845,0.1875,4,17,17.1287,0,0.8040978424368003,"For the ensemble Q-learners, each head is optimized with a loss (α=1.0) under the same online buffer."
10,SBV2-ALL92-G140-C01,supported,strong_action_overclaim,1,0.8391794833299818,0.2751627774655129,0.4669037984199885,0.00020500992832239717,0.9944655299186707,0.0053295656107366085,0.0351576991379261,0.2222222222222222,1,17,43.4306,0,0.8040217841920557,We compare the performance of the proposed method with Partial and REWIRE methods from the current literature.
