dimension,RIGOURATE,CESE_OCN,overlap_or_difference,implication_for_cese_ocn
task_definition,"Quantify degree of overstatement in scientific claims using a continuous score [0,1], with evidence retrieval from full paper body","Calibrate evidence sufficiency for claim strength using a four-class relation taxonomy (supported, mild_scope_overclaim, strong_action_overclaim, contradiction_candidate)",difference,"CESE_OCN does relation typing; RIGOURATE does scalar severity. Scalar may not directly separate mild from strong action overclaim."
claim_source,"Author-written claims from abstract and introduction of ICLR/NeurIPS papers","Generated claim variants instantiating specific evidence-sufficiency relations, paired with real evidence spans",difference,"CESE_OCN uses controlled counterfactual claims; RIGOURATE uses natural claims. Realism risk differs."
evidence_source,"Full paper body: text paragraphs, figures, tables (multimodal)","Real evidence spans from scientific papers (text only in current version)",partial_overlap,"Both use paper-internal evidence. RIGOURATE is multimodal; CESE_OCN is text-only."
evidence_retrieval,"Fine-tuned multimodal reranker (Stage 1)","Not present; evidence is provided",difference,"RIGOURATE has retrieval component; CESE_OCN assumes evidence is given."
overstatement_representation,"Continuous scalar score [0,1]","Four-class relation label",difference,"Core representational difference. Scalar compresses severity; taxonomy separates relation types."
high_risk_action_overclaim,"Not isolated as a separate class","Isolated as strong_action_overclaim (the high-risk boundary class)",difference,"CESE_OCN targets high-risk action overclaim specifically; RIGOURATE treats all overstatement uniformly."
contradiction_handling,"Treated as a rare edge case; claims rarely contradicted by internal evidence","Explicitly modelled as contradiction_candidate class with a separate detector",difference,"CESE_OCN has a dedicated contradiction route; RIGOURATE does not isolate contradiction."
annotation_method,"8 LLM annotators + peer-review calibration + human evaluation","LLM pre-annotation + author screening (silver); pre-registered gold protocol pending",partial_overlap,"Both use LLM annotators. RIGOURATE uses review comments for calibration; CESE_OCN does not."
annotation_scale,"10K+ claim-evidence sets, 872 papers (659 ICLR + 213 NeurIPS)","444 pairs, 111 evidence groups, 6 domains",difference,"RIGOURATE is larger scale; CESE_OCN is smaller but controlled."
reviewer_integration,"Peer-review comments used as calibration signal","Not used",difference,"RIGOURATE leverages review text; CESE_OCN does not."
scorer_architecture,"Fine-tuned multimodal overstatement scorer with justification","Mixed relation-routing framework R4: contradiction detector + scope-calibration residual classifier + strong-action escalation route",difference,"RIGOURATE is a single regressor; R4 is a structured router with three components."
justification_output,"Brief natural-language justification alongside score","Class label only (no natural-language justification)",difference,"RIGOURATE produces reasoning text; CESE_OCN does not."
metrics,"Retrieval metrics + regression-style scoring metrics (specific names not extractable from partial paper text)","Macro-F1, per-class positive-F1, precision, recall, FP/TP ratio, ROC-AUC, PR-AUC, threshold sensitivity",partial_overlap,"Both report retrieval/scoring quality. CESE_OCN has more screening-oriented metrics."
baselines,"Zero-shot base reranker / multimodal models; strong baselines from prior scientific claim verification work","LLM judges (GPT-5.5, DeepSeek-V3), NLI/HCM features, flat4 baseline, R4 frozen",difference,"Different baseline families. RIGOURATE compares to retrieval/scorer baselines; CESE_OCN compares to LLM judges."
human_validation,"Targeted human evaluation of annotation quality","Pre-registered gold adjudication protocol (§VII) with frozen success/downgrade criteria",partial_overlap,"Both reference human validation. CESE_OCN has a pre-registered protocol; RIGOURATE has targeted evaluation."
gold_protocol,"Not pre-registered; human evaluation as validation","Pre-registered with frozen success/downgrade criteria (§VII)",difference,"CESE_OCN has stronger pre-registration; RIGOURATE does not."
realism_audit,"Not present (natural claims from real papers)","Proposed gold-realism audit (because SimClaim claims are generated counterfactuals)",difference,"CESE_OCN has realism risk; RIGOURATE does not."
target_failure_mode,"General overstatement (any rhetorical exaggeration)","High-risk action/deployment/safety/policy overclaims specifically",difference,"CESE_OCN is screening-oriented for high-risk overclaims; RIGOURATE is broad-coverage."
data_release,"Not publicly released (placeholder [Github/HF Link] in arXiv v2)","SimClaim silver data available in repo",difference,"CESE_OCN data is reproducible; RIGOURATE data is not."
code_release,"Not publicly released","CESE_OCN/R4 scripts available in repo",difference,"CESE_OCN is reproducible; RIGOURATE is not."
model_release,"Not publicly released","R4 frozen thresholds + model artifacts in repo",difference,"CESE_OCN is reproducible; RIGOURATE is not."
positioning,"Operationalises evidential proportionality for transparent scientific communication","Fine-grained relation-type decomposition and high-risk action-overclaim screening on the existing scientific overstatement / evidence-force calibration track",complementary,"RIGOURATE is broad-coverage scalar; CESE_OCN is fine-grained relation typing. Complementary, not competing."
