dataset,sample_id,candidate_id,silver_label,r4_pred,llm_pred,r4_flagged_strong,llm_flagged_strong,true_strong,r4_correct,llm_correct,r4_captured_llm_missed,r4_fp
matched_100,LLM_181,SBV2-ALL92-G124-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,False,False,False,True,True,False,False
matched_100,LLM_132,SBV2-ALL92-G186-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,False,False,True,False,False,False,False
matched_100,LLM_144,SBV2-ALL92-G232-C03,strong_action_overclaim,strong_action_overclaim,supported,True,False,True,True,False,True,False
matched_100,LLM_094,SBV2-ALL92-G226-C02,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,False,False,False,True,True,False,False
matched_100,LLM_093,SBV2-ALL92-G254-C02,mild_scope_overclaim,strong_action_overclaim,mild_scope_overclaim,True,False,False,False,True,False,True
matched_100,LLM_089,SBV2-ALL92-G256-C02,mild_scope_overclaim,strong_action_overclaim,supported,True,False,False,False,False,False,True
matched_100,LLM_046,SBV2-ALL92-G232-C01,supported,mild_scope_overclaim,supported,False,False,False,False,True,False,False
matched_100,LLM_167,SBV2-ALL92-G091-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,False,False,False,True,True,False,False
matched_100,LLM_034,SBV2-ALL92-G186-C01,supported,mild_scope_overclaim,supported,False,False,False,False,True,False,False
matched_100,LLM_001,SBV2-ALL92-G043-C01,supported,strong_action_overclaim,supported,True,False,False,False,True,False,True
matched_100,LLM_042,SBV2-ALL92-G255-C01,supported,mild_scope_overclaim,supported,False,False,False,False,True,False,False
matched_100,LLM_067,SBV2-ALL92-G092-C02,mild_scope_overclaim,strong_action_overclaim,mild_scope_overclaim,True,False,False,False,True,False,True
matched_100,LLM_148,SBV2-ALL92-G161-C03,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,True,False,True,True,False,True,False
matched_100,LLM_081,SBV2-ALL92-G135-C02,mild_scope_overclaim,strong_action_overclaim,supported,True,False,False,False,False,False,True
matched_100,LLM_152,SBV2-ALL92-G040-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,False,False,False,True,True,False,False
matched_100,LLM_047,SBV2-ALL92-G161-C01,supported,mild_scope_overclaim,supported,False,False,False,False,True,False,False
matched_100,LLM_188,SBV2-ALL92-G232-C04,contradiction_candidate,contradiction_candidate,supported,False,False,False,True,False,False,False
matched_100,LLM_178,SBV2-ALL92-G135-C04,contradiction_candidate,strong_action_overclaim,contradiction_candidate,True,False,False,False,True,False,True
