file_path,category,current_status,action_taken,reason
d:\ocn\scripts\README_MAINLINE.md,script_mainline_doc,stale (V3.7 cited as current paper),UPDATED,"Reframes current mainline as V3.17 baseline (offline PDF-corpus screening); V3.7 retained as historical advisor-handoff draft"
d:\ocn\scripts\HOW_TO_REPRODUCE_MAINLINE.md,script_mainline_doc,stale (V3.7-only reproduction path),UPDATED,"Adds V3.17 baseline reproduction path (PDF -> BM25 -> canonicalization -> R4 -> ranking -> review queue); V3.7 path retained as historical"
d:\ocn\_PROJECT_INDEX\current_paper_paths.md,project_index,stale (V3.7 dated 2026-07-04),UPDATED,"Relabeled as historical advisor-handoff paths; current mainline is V3.17 baseline"
d:\ocn\_PROJECT_INDEX\mainline_file_manifest.csv,project_index,stale (V3.7 docx as latest),UPDATED,"Adds V3.17 baseline entries (canonicalized_review_queue_v1, r4_evidence_canonicalization_v1, canonicalized_risk_ranking_v1, v3_18_intelligent_upgrade_v1); V3.7 marked historical"
d:\ocn\_PROJECT_INDEX\script_registry_mainline.csv,project_index,partial (missing V3.17 baseline scripts),UPDATED,"Adds V3.17 baseline scripts as current_mainline; V3.x docx builders retained as historical"
d:\ocn\_PROJECT_INDEX\project_cleanup_report.md,project_index,stale (V3.7 cited),UPDATED,"Adds realignment note pointing to mainline_realignment_v1"
d:\ocn\_PROJECT_INDEX\script_second_pass_cleanup_note.md,project_index,stale (V3.7 cited),UPDATED,"Adds realignment note pointing to mainline_realignment_v1"
d:\ocn\_PROJECT_INDEX\script_cleanup_report.md,project_index,stale (V3.7 cited),UPDATED,"Adds realignment note pointing to mainline_realignment_v1"
d:\ocn\_PROJECT_INDEX\archived_file_manifest.csv,project_index,historical archive manifest,NOT_EDITED,"Historical archive manifest; documented as historical in change_log"
d:\ocn\_PROJECT_INDEX\script_archive_manifest.csv,project_index,historical archive manifest,NOT_EDITED,"Historical archive manifest; documented as historical in change_log"
d:\ocn\_PROJECT_INDEX\tools\build_gold_pilot_protocol_freeze_v1.py,project_index_tool,historical tool,NOT_EDITED,"Historical tool; documented as historical in change_log"
d:\ocn\_PROJECT_INDEX\tools\build_script_cleanup_v1.py,project_index_tool,historical tool,NOT_EDITED,"Historical tool; documented as historical in change_log"
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\current_mainline_assessment.md,project_synthesis,stale (V3.15 hierarchical taxonomy mainline),UPDATED,"Reframes current mainline as V3.17 baseline offline PDF-corpus screening; hierarchical taxonomy retained as paper-level interpretation"
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\allowed_vs_forbidden_claims_current.md,project_synthesis,stale (missing V3.17/V3.18 positioning),UPDATED,"Adds V3.17 baseline allowed claims and V3.18 negative ablation forbidden claims"
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\current_project_state_master_report.md,project_synthesis,stale (V3.7/V3.15 anchor),UPDATED,"Adds realignment section pointing to mainline_realignment_v1"
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\gate_synthesis_report.md,project_synthesis,partial (missing V3.17/V3.18 gates),UPDATED,"Adds V3.17 baseline + V3.18 gates as authoritative"
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\paper_version_lineage_report.md,project_synthesis,stale (V3.7 as latest),UPDATED,"V3.7 marked as historical advisor-handoff; V3.17 baseline is current selected method"
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\paper_version_inventory.csv,project_synthesis,stale (V3.7 as latest),UPDATED,"Adds note that V3.7 is historical; current selected method is V3.17 baseline"
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\experiment_result_synthesis.md,project_synthesis,stale (missing V3.17/V3.18 results),UPDATED,"Adds V3.17 baseline and V3.18 negative result entries"
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\current_project_state_gate.json,project_synthesis,stale (no V3.17 fields),UPDATED,"Adds realignment fields: current_mainline, selected_method_version, deprecated_versions"
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\clean_state_gate.json,project_synthesis,historical clean-state gate,NOT_EDITED,"Historical; documented as historical in change_log"
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\cleaning_log.md,project_synthesis,historical cleaning log,NOT_EDITED,"Historical; documented as historical in change_log"
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\code_structure_reaudit_report.md,project_synthesis,historical code audit,NOT_EDITED,"Historical; documented as historical in change_log"
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\code_structure_reaudit.csv,project_synthesis,historical code audit,NOT_EDITED,"Historical; documented as historical in change_log"
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\all_recent_gates_inventory.csv,project_synthesis,historical gates inventory,NOT_EDITED,"Historical; documented as historical in change_log"
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\recent_task_output_inventory.csv,project_synthesis,historical task inventory,NOT_EDITED,"Historical; documented as historical in change_log"
d:\ocn\project_synthesis\current_project_state_consolidation_v1\current_mainline_assessment.md,project_synthesis,older consolidation (superseded),NOT_EDITED,"Superseded by clean_v1 and now by mainline_realignment_v1; documented as historical"
d:\ocn\project_synthesis\current_project_state_consolidation_v1\allowed_vs_forbidden_claims_current.md,project_synthesis,older consolidation (superseded),NOT_EDITED,"Superseded; documented as historical"
d:\ocn\project_synthesis\current_project_state_consolidation_v1\current_project_state_master_report.md,project_synthesis,older consolidation (superseded),NOT_EDITED,"Superseded; documented as historical"
d:\ocn\project_synthesis\current_project_state_consolidation_v1\current_project_state_gate.json,project_synthesis,older consolidation (superseded),NOT_EDITED,"Superseded; documented as historical"
d:\ocn\project_synthesis\current_project_state_consolidation_v1\gate_synthesis_report.md,project_synthesis,older consolidation (superseded),NOT_EDITED,"Superseded; documented as historical"
