candidate_id,oracle_match_found,matched_chunk_id,match_score,match_method,matched_page,oracle_evidence_text,matched_chunk_text
SBV2-ALL92-G002-SUPPORTED,True,AD-001_p1_c4,1.0,exact_substring,1,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.","realistic and fair evaluation of autonomous driving planners. Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. T"
SBV2-ALL92-G002-MILD,True,AD-001_p1_c4,1.0,exact_substring,1,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.","realistic and fair evaluation of autonomous driving planners. Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. T"
SBV2-ALL92-G002-STRONG,True,AD-001_p1_c4,1.0,exact_substring,1,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.","realistic and fair evaluation of autonomous driving planners. Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. T"
SBV2-ALL92-G002-CONTRA,True,AD-001_p1_c4,1.0,exact_substring,1,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.","realistic and fair evaluation of autonomous driving planners. Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. T"
SBV2-ALL92-G003-SUPPORTED,True,AD-001_p1_c0,1.0,exact_substring,1,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.","nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning bench- marks have significantly improved the evaluation of au- tonomous vehicle"
SBV2-ALL92-G003-MILD,True,AD-001_p1_c0,1.0,exact_substring,1,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.","nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning bench- marks have significantly improved the evaluation of au- tonomous vehicle"
SBV2-ALL92-G003-STRONG,True,AD-001_p1_c0,1.0,exact_substring,1,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.","nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning bench- marks have significantly improved the evaluation of au- tonomous vehicle"
SBV2-ALL92-G003-CONTRA,True,AD-001_p1_c0,1.0,exact_substring,1,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.","nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning bench- marks have significantly improved the evaluation of au- tonomous vehicle"
SBV2-ALL92-G004-SUPPORTED,True,AD-002_p5_c0,1.0,exact_substring,5,"Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware.",reducing the inference cost from Tmono in Eq. 4 to: Tmod = Tenc + (N+1) · Tdit + N · Tsol. (5) The saving of N ·Tenc is substantial because Tenc ≫Tdit (§V- C). The model operates in a normalized coordinate frame; output trajectories are denormalized to world coordinates before being published as ROS
SBV2-ALL92-G004-MILD,True,AD-002_p5_c0,1.0,exact_substring,5,"Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware.",reducing the inference cost from Tmono in Eq. 4 to: Tmod = Tenc + (N+1) · Tdit + N · Tsol. (5) The saving of N ·Tenc is substantial because Tenc ≫Tdit (§V- C). The model operates in a normalized coordinate frame; output trajectories are denormalized to world coordinates before being published as ROS
