audit_id,candidate_id,silver_label,author_sanity_decision,confusion_type,root_cause,is_taxonomy_problem,is_evidence_problem,is_claim_generation_problem,is_audit_rule_too_strict,is_potentially_usable_case,recommended_action,one_sentence_reason
AUD_002,SBV2-ALL92-G003-STRONG,strong_action_overclaim,unclear,mild_vs_strong,claim_too_abstract,true,false,true,false,false,use_as_boundary_case,"Claim describes what the paper does rather than making an explicit action/deployment assertion; silver label strong_action may be too strong, but the claim's framing still over-extends relative to evidence."
AUD_003,SBV2-ALL92-G004-STRONG,strong_action_overclaim,unclear,mild_vs_strong,mild_vs_strong_boundary_unclear,true,false,false,false,false,flag_for_future_gold_adjudication,No clear action/strength/scope cue in claim; the mild vs strong boundary is genuinely unclear.
AUD_004,SBV2-ALL92-G067-C03,strong_action_overclaim,unclear,mild_vs_strong,claim_too_abstract,true,true,true,false,false,use_as_boundary_case,"Claim describes what the paper does rather than making an explicit action/deployment assertion; silver label strong_action may be too strong, but the claim's framing still over-extends relative to evidence."
AUD_005,SBV2-ALL92-G069-C03,strong_action_overclaim,unclear,mild_vs_strong,mild_vs_strong_boundary_unclear,true,false,false,false,false,flag_for_future_gold_adjudication,No clear action/strength/scope cue in claim; the mild vs strong boundary is genuinely unclear.
AUD_006,SBV2-ALL92-G077-C03,strong_action_overclaim,questionable,mild_vs_strong,audit_heuristic_too_conservative,true,false,false,true,true,keep_but_explain_limitation,"Claim contains action/strength cues (e.g., scope/significance language) that the audit keyword heuristic missed; silver label may be defensible but boundary needs gold adjudication."
AUD_007,SBV2-ALL92-G106-C03,strong_action_overclaim,unclear,mild_vs_strong,claim_too_abstract,true,false,true,false,false,use_as_boundary_case,"Claim describes what the paper does rather than making an explicit action/deployment assertion; silver label strong_action may be too strong, but the claim's framing still over-extends relative to evidence."
AUD_009,SBV2-ALL92-G108-C03,strong_action_overclaim,questionable,mild_vs_strong,audit_heuristic_too_conservative,true,false,false,true,true,keep_but_explain_limitation,"Claim contains action/strength cues (e.g., scope/significance language) that the audit keyword heuristic missed; silver label may be defensible but boundary needs gold adjudication."
AUD_010,SBV2-ALL92-G158-C03,strong_action_overclaim,unclear,mild_vs_strong,claim_too_abstract,true,false,true,false,false,use_as_boundary_case,"Claim describes what the paper does rather than making an explicit action/deployment assertion; silver label strong_action may be too strong, but the claim's framing still over-extends relative to evidence."
AUD_011,SBV2-ALL92-G161-C03,strong_action_overclaim,unclear,mild_vs_strong,claim_too_abstract,true,false,true,false,false,use_as_boundary_case,"Claim describes what the paper does rather than making an explicit action/deployment assertion; silver label strong_action may be too strong, but the claim's framing still over-extends relative to evidence."
AUD_012,SBV2-ALL92-G163-C03,strong_action_overclaim,questionable,mild_vs_strong,mild_vs_strong_boundary_unclear,true,false,false,false,false,use_as_boundary_case,Claim has scope-expansion cue but no explicit action/deployment/safety language; the mild vs strong boundary is genuinely unclear and requires clearer operationalization.
AUD_013,SBV2-ALL92-G175-C03,strong_action_overclaim,questionable,mild_vs_strong,mild_vs_strong_boundary_unclear,true,false,false,false,false,use_as_boundary_case,Claim has scope-expansion cue but no explicit action/deployment/safety language; the mild vs strong boundary is genuinely unclear and requires clearer operationalization.
AUD_014,SBV2-ALL92-G178-C03,strong_action_overclaim,unclear,mild_vs_strong,mild_vs_strong_boundary_unclear,true,false,false,false,false,flag_for_future_gold_adjudication,No clear action/strength/scope cue in claim; the mild vs strong boundary is genuinely unclear.
AUD_015,SBV2-ALL92-G180-C03,strong_action_overclaim,unclear,mild_vs_strong,mild_vs_strong_boundary_unclear,true,false,false,false,false,flag_for_future_gold_adjudication,No clear action/strength/scope cue in claim; the mild vs strong boundary is genuinely unclear.
AUD_017,SBV2-ALL92-G215-C03,strong_action_overclaim,unclear,mild_vs_strong,mild_vs_strong_boundary_unclear,true,false,false,false,false,flag_for_future_gold_adjudication,No clear action/strength/scope cue in claim; the mild vs strong boundary is genuinely unclear.
AUD_018,SBV2-ALL92-G224-C03,strong_action_overclaim,questionable,mild_vs_strong,mild_vs_strong_boundary_unclear,true,false,false,false,false,use_as_boundary_case,Claim has scope-expansion cue but no explicit action/deployment/safety language; the mild vs strong boundary is genuinely unclear and requires clearer operationalization.
AUD_029,SBV2-ALL92-G067-C02,mild_scope_overclaim,unclear,mild_vs_strong,mild_vs_strong_boundary_unclear,true,true,false,false,false,use_as_boundary_case,"Scope-expansion cue is weak; the boundary between supported and mild, or mild and strong, is genuinely fuzzy."
AUD_030,SBV2-ALL92-G106-C02,mild_scope_overclaim,unclear,mild_vs_strong,mild_vs_strong_boundary_unclear,true,false,false,false,false,use_as_boundary_case,"Scope-expansion cue is weak; the boundary between supported and mild, or mild and strong, is genuinely fuzzy."
AUD_031,SBV2-ALL92-G158-C02,mild_scope_overclaim,unclear,mild_vs_strong,mild_vs_strong_boundary_unclear,true,false,false,false,false,use_as_boundary_case,"Scope-expansion cue is weak; the boundary between supported and mild, or mild and strong, is genuinely fuzzy."
AUD_032,SBV2-ALL92-G175-C02,mild_scope_overclaim,unclear,mild_vs_strong,mild_vs_strong_boundary_unclear,true,false,false,false,false,use_as_boundary_case,"Scope-expansion cue is weak; the boundary between supported and mild, or mild and strong, is genuinely fuzzy."
AUD_035,SBV2-ALL92-G002-CONTRA,contradiction_candidate,unclear,strong_vs_contradiction,strong_vs_contradiction_boundary_unclear,true,false,false,true,true,use_as_boundary_case,"Claim swaps specific details (numbers, metrics, or entity names) relative to evidence; this is genuine contradiction, but the audit heuristic looked for explicit 'contradicts' language and missed the detail-swap pattern."
AUD_036,SBV2-ALL92-G067-C04,contradiction_candidate,unclear,strong_vs_contradiction,strong_vs_contradiction_boundary_unclear,true,true,false,true,true,use_as_boundary_case,"Claim swaps specific details (numbers, metrics, or entity names) relative to evidence; this is genuine contradiction, but the audit heuristic looked for explicit 'contradicts' language and missed the detail-swap pattern."
AUD_037,SBV2-ALL92-G106-C04,contradiction_candidate,unclear,strong_vs_contradiction,strong_vs_contradiction_boundary_unclear,true,false,false,true,true,use_as_boundary_case,"Claim swaps specific details (numbers, metrics, or entity names) relative to evidence; this is genuine contradiction, but the audit heuristic looked for explicit 'contradicts' language and missed the detail-swap pattern."
AUD_038,SBV2-ALL92-G158-C04,contradiction_candidate,unclear,strong_vs_contradiction,strong_vs_contradiction_boundary_unclear,true,false,false,true,true,use_as_boundary_case,"Claim swaps specific details (numbers, metrics, or entity names) relative to evidence; this is genuine contradiction, but the audit heuristic looked for explicit 'contradicts' language and missed the detail-swap pattern."
AUD_039,SBV2-ALL92-G175-C04,contradiction_candidate,unclear,strong_vs_contradiction,strong_vs_contradiction_boundary_unclear,true,false,false,true,true,use_as_boundary_case,"Claim swaps specific details (numbers, metrics, or entity names) relative to evidence; this is genuine contradiction, but the audit heuristic looked for explicit 'contradicts' language and missed the detail-swap pattern."
AUD_040,SBV2-ALL92-G214-C04,contradiction_candidate,unclear,strong_vs_contradiction,strong_vs_contradiction_boundary_unclear,true,false,false,true,true,use_as_boundary_case,"Claim swaps specific details (numbers, metrics, or entity names) relative to evidence; this is genuine contradiction, but the audit heuristic looked for explicit 'contradicts' language and missed the detail-swap pattern."
