candidate_id,true_label,pred_label,strong_action_flag,p_strong,p_contra,p_svm,entailment,neutral,contradiction_nli,entropy,selector_score,selected_rank,selected_n_words,bm25_score,oracle_hit,group_id,is_strong_action,prediction_confidence,route,ranker_score
SBV2-ALL92-G002-CONTRA,contradiction_candidate,strong_action_overclaim,1,0.8346266459587786,0.2602395237544291,0.516934663677494,0.020967049524188,0.9635609984397888,0.0154719436541199,0.1812987029552459,0.25,4,17,27.3892,0,SBV2-ALL92-G002,0,0.5743871222043495,strong_action,0.3491372490527859
SBV2-ALL92-G002-MILD,mild_scope_overclaim,strong_action_overclaim,1,0.8365843840251936,0.2685290989115721,0.5217247223162534,0.0170151237398386,0.9607845544815063,0.0222003106027841,0.1922809481620788,0.3870967741935484,5,17,30.8507,0,SBV2-ALL92-G002,0,0.5680552851136216,strong_action,0.3386403941014987
SBV2-ALL92-G002-STRONG,strong_action_overclaim,strong_action_overclaim,1,0.5909928660010632,0.3391331482420781,0.5186910514985476,0.1327003985643386,0.7866699695587158,0.0806296095252037,0.6597850322723389,0.2622950819672131,2,60,39.9191,0,SBV2-ALL92-G002,1,0.2518597177589851,strong_action,0.4037562007847302
SBV2-ALL92-G002-SUPPORTED,supported,supported,0,0.2295589746246177,0.0524572883344019,0.493334761287232,0.9100011587142944,0.0756325349211692,0.0143663017079234,0.3420493006706238,0.3225806451612903,2,69,46.1362,0,SBV2-ALL92-G002,0,0.44087747295283014,supported,0.13643834887969053
SBV2-ALL92-G003-CONTRA,contradiction_candidate,contradiction_candidate,0,0.2818358467978977,0.9288887448074616,0.8340325545179537,0.0010858768364414,0.0036545107141137,0.9952595829963684,0.032649029046297,0.5238095238095238,2,29,41.5261,0,SBV2-ALL92-G003,0,0.647052898009564,contradiction,0.07422355329020688
SBV2-ALL92-G003-MILD,mild_scope_overclaim,mild_scope_overclaim,0,0.4193236465624852,0.2542476850805769,0.5592886142438156,0.0298260897397995,0.9689269065856934,0.0012470333604142,0.1436844617128372,0.3902439024390244,4,34,48.7726,0,SBV2-ALL92-G003,0,0.3050409291632387,mild_scope,0.241568426039289
SBV2-ALL92-G003-STRONG,strong_action_overclaim,strong_action_overclaim,1,0.5152049729776469,0.2784160445302716,0.5399950882684359,0.0807337164878845,0.8967496752738953,0.0225166138261556,0.3863176703453064,0.3265306122448979,1,39,54.3138,1,SBV2-ALL92-G003,1,0.2615790437381643,strong_action,0.3656946071227415
SBV2-ALL92-G003-SUPPORTED,supported,strong_action_overclaim,1,0.5405713466772789,0.2168989179216121,0.5173945993482115,0.1825326830148697,0.8039563298225403,0.0135110104456543,0.5440426468849182,0.4,4,34,48.7726,0,SBV2-ALL92-G003,0,0.3236724287556668,strong_action,0.333595946025695
SBV2-ALL92-G004-CONTRA,contradiction_candidate,contradiction_candidate,0,0.3622682583095342,0.9315992867001444,0.795383101966354,0.0065678679384291,0.013324455358088,0.9801076650619508,0.1102374717593193,0.3,1,40,36.0196,0,SBV2-ALL92-G004,0,0.5693310283906101,contradiction,0.08968756409373885
SBV2-ALL92-G004-MILD,mild_scope_overclaim,supported,0,0.4058238887698769,0.1917375712046589,0.5705121625652345,0.2162297815084457,0.7745910882949829,0.0091790426522493,0.5720406770706177,0.5365853658536586,2,40,87.3716,0,SBV2-ALL92-G004,0,0.3787745913605756,supported,0.32394274754951535
