example_id,label,example_type,candidate_id,evidence_text,claim_text,why_this_label,why_not_other_label,notes
EX-S-POS-1,supported,positive,SBV2-ALL92-G215-C01,"Agent-based models (ABMs) have emerged as a promising approach, capturing individual behaviors, group dynamics, and emergent phenomena beyond traditional deterministic models. However, their effectiveness in informing policy decisions remains uncertain, posing both academic and practical challenges. ABMs for policy evaluation face significant real-world application issues, such as calibrating agent behaviors, integrating heterogeneous datasets, and interpreting results. These tasks demand sophisticated technical capabilities and domain expertise.","The ABM discussion says decision-support effectiveness remains uncertain because calibration, heterogeneous data integration, and result interpretation require expertise.","Evidence directly supports the claim as stated including its strength; directions align; no over-extension of scope or action.","Not mild (no scope expansion added); not strong_action (no action/deployment/safety conclusion); not contradiction (directions align).",Trusted case TCB_001 from trusted_case_bank.csv; selected for Table 0 in V3.4.
EX-S-POS-2,supported,positive,SBV2-ALL92-G067-C01,"We evaluate six frontier AI systems under matched prompts and budgets.","The AgentCyberRange study evaluates six frontier AI systems under matched prompts and matched computational budgets for the reported cyber-range comparison.","Evidence directly supports the claim; matched-prompt matched-budget framing matches; numbers align (six systems); no over-extension.","Not mild (no scope expansion); not strong_action (no action/deployment assertion); not contradiction (directions align, numbers match).",Trusted case TCB_004 from trusted_case_bank.csv; author sanity audit rated reasonable.
EX-S-POS-3,supported,positive,SBV2-ALL92-G175-C01,"In addition to MAPPO, we evaluate two other algorithms in the Craftax-Coop environment: Independent PPO (IPPO), where each agent independently learns using PPO without centralized value estimation, and Parallelized Q-Network (PQN), an efficient Q-learning algorithm using parallel environments for scalable training.","The Craftax-Coop evaluation compares MAPPO with IPPO, which trains agents independently, and PQN, a parallel-environment Q-learning algorithm method.","Evidence directly supports the claim; entity names align (IPPO and PQN); descriptions align; no over-extension.","Not mild (no scope expansion); not strong_action (no action/deployment assertion); not contradiction (entity names match, directions align).",Trusted case TCB_002 from trusted_case_bank.csv; selected for Table 0 in V3.4.
EX-S-NEG-1,supported,negative_near_miss,SBV2-ALL92-G002-MILD,"Moreover, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner's robustness and overall performance balance across multiple dimensions.","nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance as the main comparison basis.","This is NOT supported because the claim adds 'as the main comparison basis' framing not in evidence; this is a scope/precision over-extension → mild_scope_overclaim.","This is a near-miss for supported: the metrics and numbers match, but the claim adds a scope/precision detail ('as the main comparison basis') that the evidence does not support.",Trusted case TCB_007; near-miss illustrates the supported/mild boundary.
EX-S-NEG-2,supported,negative_near_miss,SBV2-ALL92-G170-C02,"In multi-task generalization experiments, our method achieves a success rate of 83% on trained tasks and 75% on unseen tasks in simulation.","In simulation, GRaD-Nav++ reports success rates of 83% on trained tasks and 75% on unseen multi-stage tasks during evaluation.","This is NOT supported because the claim adds 'multi-stage' scope adjective to 'unseen tasks' not in evidence; numbers match but scope is over-extended → mild_scope_overclaim.","This is a near-miss for supported: numbers match exactly (83%/75%), but the claim adds a scope adjective ('multi-stage') not in evidence.",Trusted case TCB_NEW_MILD_2; V3.6 replaced V3.5 TCB_008 with this cleaner mild case.
EX-M-POS-1,mild_scope_overclaim,positive,SBV2-ALL92-G002-MILD,"Moreover, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner's robustness and overall performance balance across multiple dimensions.","nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance as the main comparison basis.","Claim adds 'as the main comparison basis' framing not in evidence; scope/precision over-extension without action/deployment/safety conclusion.","Not supported (claim adds scope detail not in evidence); not strong_action (no action/deployment/safety conclusion, just scope framing); not contradiction (numbers and metrics match, directions align).",Trusted case TCB_007; canonical mild pattern.
EX-M-POS-2,mild_scope_overclaim,positive,SBV2-ALL92-G170-C02,"In multi-task generalization experiments, our method achieves a success rate of 83% on trained tasks and 75% on unseen tasks in simulation.","In simulation, GRaD-Nav++ reports success rates of 83% on trained tasks and 75% on unseen multi-stage tasks during evaluation.","Claim adds 'multi-stage' scope adjective not in evidence; numbers match exactly (83%/75%); no directional conflict; no action conclusion.","Not supported (claim adds scope detail not in evidence); not strong_action (no action/deployment/safety conclusion, just scope adjective); not contradiction (numbers match exactly, only scope adjective added).",Trusted case TCB_NEW_MILD_2; cleanest mild case in trusted case bank.
EX-M-POS-3,mild_scope_overclaim,positive,SBV2-ALL92-G215-C02,"Agent-based models (ABMs) have emerged as a promising approach, capturing individual behaviors, group dynamics, and emergent phenomena beyond traditional deterministic models. However, their effectiveness in informing policy decisions remains uncertain, posing both academic and practical challenges. ABMs for policy evaluation face significant real-world application issues, such as calibrating agent behaviors, integrating heterogeneous datasets, and interpreting results. These tasks demand sophisticated technical capabilities and domain expertise.","The ABM discussion says decision-support effectiveness remains uncertain because calibration and heterogeneous data integration require expertise, while interpretation is resolved.","Claim says 'interpretation is resolved' while evidence says 'interpreting results demand sophisticated technical capabilities and domain expertise'; partial directional flip on a sub-component; scope/precision over-extension without full action conclusion.","Not supported (claim adds 'interpretation is resolved' not supported by evidence); not strong_action (no action/deployment/safety conclusion, just scope/precision change on a sub-component); not contradiction (the main finding direction aligns, only a sub-component is flipped — borderline but treated as mild).",Trusted case TCB_005; illustrates a borderline mild/contradiction case.
EX-M-NEG-1,mild_scope_overclaim,negative_near_miss,SBV2-ALL92-G215-C01,"Agent-based models (ABMs) have emerged as a promising approach, capturing individual behaviors, group dynamics, and emergent phenomena beyond traditional deterministic models. However, their effectiveness in informing policy decisions remains uncertain, posing both academic and practical challenges. ABMs for policy evaluation face significant real-world application issues, such as calibrating agent behaviors, integrating heterogeneous datasets, and interpreting results. These tasks demand sophisticated technical capabilities and domain expertise.","The ABM discussion says decision-support effectiveness remains uncertain because calibration, heterogeneous data integration, and result interpretation require expertise.","This is NOT mild because the claim matches the evidence's scope and strength; no over-extension; directions align → supported.","This is a near-miss for mild: the claim paraphrases the evidence faithfully without adding scope details, so it is supported, not mild.",Trusted case TCB_001; near-miss illustrates the supported/mild boundary.
EX-M-NEG-2,mild_scope_overclaim,negative_near_miss,SBV2-ALL92-G215-C03,"Agent-based models (ABMs) have emerged as a promising approach, capturing individual behaviors, group dynamics, and emergent phenomena beyond traditional deterministic models. However, their effectiveness in informing policy decisions remains uncertain, posing both academic and practical challenges. ABMs for policy evaluation face significant real-world application issues, such as calibrating agent behaviors, integrating heterogeneous datasets, and interpreting results. These tasks demand sophisticated technical capabilities and domain expertise.","The ABM discussion says decision-support effectiveness remains uncertain because calibration, data integration, interpretation, and validation require extensive expertise.","This is NOT mild because the claim asserts 'validation requires extensive expertise' (operational/deployment framing) and adds 'validation' as a 4th task; this is action/strength escalation → strong_action_overclaim.","This is a near-miss for mild: the claim adds an action/deployment framing ('extensive expertise required for validation') that goes beyond scope expansion into operational strength.",Trusted case TCB_009; near-miss illustrates the mild/strong boundary.
