group_id,label_i,label_j,tfidf_cosine,token_jaccard,sequence_ratio
SBV2-ALL92-G002,contradiction_candidate,mild_scope_overclaim,0.2229,0.3226,0.6364
SBV2-ALL92-G002,contradiction_candidate,strong_action_overclaim,0.1736,0.2812,0.527
SBV2-ALL92-G002,contradiction_candidate,supported,0.3599,0.4815,0.7235
SBV2-ALL92-G002,mild_scope_overclaim,strong_action_overclaim,0.4755,0.5,0.731
SBV2-ALL92-G002,mild_scope_overclaim,supported,0.6617,0.64,0.8641
SBV2-ALL92-G002,strong_action_overclaim,supported,0.4994,0.5185,0.6936
SBV2-ALL92-G003,contradiction_candidate,mild_scope_overclaim,0.3932,0.4483,0.7183
SBV2-ALL92-G003,contradiction_candidate,strong_action_overclaim,0.4129,0.4,0.7138
SBV2-ALL92-G003,contradiction_candidate,supported,0.5071,0.5185,0.7774
SBV2-ALL92-G003,mild_scope_overclaim,strong_action_overclaim,0.7133,0.68,0.8667
SBV2-ALL92-G003,mild_scope_overclaim,supported,0.8387,0.8636,0.9383
SBV2-ALL92-G003,strong_action_overclaim,supported,0.7779,0.7083,0.8834
SBV2-ALL92-G004,contradiction_candidate,mild_scope_overclaim,0.2282,0.4138,0.6459
SBV2-ALL92-G004,contradiction_candidate,strong_action_overclaim,0.2451,0.4138,0.6792
SBV2-ALL92-G004,contradiction_candidate,supported,0.2831,0.5,0.6873
SBV2-ALL92-G004,mild_scope_overclaim,strong_action_overclaim,0.6462,0.76,0.8605
SBV2-ALL92-G004,mild_scope_overclaim,supported,0.622,0.75,0.881
SBV2-ALL92-G004,strong_action_overclaim,supported,0.6236,0.75,0.8308
SBV2-ALL92-G007,contradiction_candidate,mild_scope_overclaim,0.6201,0.6522,0.8651
SBV2-ALL92-G007,contradiction_candidate,strong_action_overclaim,0.4421,0.5,0.804
SBV2-ALL92-G007,contradiction_candidate,supported,0.7408,0.85,0.9314
SBV2-ALL92-G007,mild_scope_overclaim,strong_action_overclaim,0.6136,0.5769,0.8562
SBV2-ALL92-G007,mild_scope_overclaim,supported,0.8649,0.7727,0.9324
SBV2-ALL92-G007,strong_action_overclaim,supported,0.6334,0.6,0.8506
SBV2-ALL92-G008,contradiction_candidate,mild_scope_overclaim,0.332,0.4231,0.699
SBV2-ALL92-G008,contradiction_candidate,strong_action_overclaim,0.4031,0.5,0.6555
SBV2-ALL92-G008,contradiction_candidate,supported,0.667,0.6087,0.6962
SBV2-ALL92-G008,mild_scope_overclaim,strong_action_overclaim,0.4983,0.6087,0.817
SBV2-ALL92-G008,mild_scope_overclaim,supported,0.5747,0.5833,0.86
SBV2-ALL92-G008,strong_action_overclaim,supported,0.6646,0.6818,0.7935
SBV2-ALL92-G011,contradiction_candidate,mild_scope_overclaim,0.4628,0.5,0.7407
SBV2-ALL92-G011,contradiction_candidate,strong_action_overclaim,0.2774,0.303,0.5965
SBV2-ALL92-G011,contradiction_candidate,supported,0.5914,0.5172,0.7906
SBV2-ALL92-G011,mild_scope_overclaim,strong_action_overclaim,0.4101,0.4194,0.7248
SBV2-ALL92-G011,mild_scope_overclaim,supported,0.7464,0.7308,0.8956
SBV2-ALL92-G011,strong_action_overclaim,supported,0.4496,0.4333,0.693
SBV2-ALL92-G013,contradiction_candidate,mild_scope_overclaim,0.4272,0.4194,0.8366
SBV2-ALL92-G013,contradiction_candidate,strong_action_overclaim,0.3602,0.4516,0.8435
SBV2-ALL92-G013,contradiction_candidate,supported,0.6439,0.6296,0.932
SBV2-ALL92-G013,mild_scope_overclaim,strong_action_overclaim,0.8431,0.8,0.9091
SBV2-ALL92-G013,mild_scope_overclaim,supported,0.7471,0.6923,0.9
SBV2-ALL92-G013,strong_action_overclaim,supported,0.6299,0.7308,0.9055
SBV2-ALL92-G014,contradiction_candidate,mild_scope_overclaim,0.5552,0.625,0.8515
SBV2-ALL92-G014,contradiction_candidate,strong_action_overclaim,0.5552,0.625,0.8404
SBV2-ALL92-G014,contradiction_candidate,supported,0.7516,0.8095,0.9424
SBV2-ALL92-G014,mild_scope_overclaim,strong_action_overclaim,0.8484,0.9048,0.9337
SBV2-ALL92-G014,mild_scope_overclaim,supported,0.76,0.7727,0.9043
SBV2-ALL92-G014,strong_action_overclaim,supported,0.76,0.7727,0.8925
SBV2-ALL92-G018,contradiction_candidate,mild_scope_overclaim,0.5082,0.5185,0.8253
SBV2-ALL92-G018,contradiction_candidate,strong_action_overclaim,0.5953,0.6538,0.8284
SBV2-ALL92-G018,contradiction_candidate,supported,0.7282,0.7083,0.8875
SBV2-ALL92-G018,mild_scope_overclaim,strong_action_overclaim,0.4326,0.4483,0.7083
SBV2-ALL92-G018,mild_scope_overclaim,supported,0.7407,0.7391,0.9297
SBV2-ALL92-G018,strong_action_overclaim,supported,0.6406,0.6154,0.7808
SBV2-ALL92-G019,contradiction_candidate,mild_scope_overclaim,0.4777,0.7037,0.8285
SBV2-ALL92-G019,contradiction_candidate,strong_action_overclaim,0.4281,0.6786,0.7984
SBV2-ALL92-G019,contradiction_candidate,supported,0.4777,0.7692,0.8523
SBV2-ALL92-G019,mild_scope_overclaim,strong_action_overclaim,0.8962,0.88,0.9354
SBV2-ALL92-G019,mild_scope_overclaim,supported,1.0,0.9167,0.9762
