sample_id,candidate_id,domain,silver_label,claim_text,evidence_text,rule_scalar_label,rule_scalar_score,r4_label,gpt_standard_label,gpt_structured_label,deepseek_label,rule_correct,r4_correct,gpt_standard_correct,gpt_structured_correct,deepseek_correct,case_category,mild_strong_confusion,realism_risk_flag,realism_risk_type
LLM_181,SBV2-ALL92-G124-C04,digital_twin,contradiction_candidate,The gFHR design process disregarded surrogate prediction accuracy and sensor monitoring feasibility during reactor state selection in the study.,The design choice process considered the accuracy of the gFHR surrogate predictions and selecting states that could be realistically monitored with sensors in the reactor setting.,supported,0,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,0,1,1,1,1,r4_right_scalar_wrong,False,False,none
LLM_132,SBV2-ALL92-G186-C03,marl,strong_action_overclaim,"The industrial-control paper argues many academic benchmarks differ markedly from industrial control problems, yet still provide reliable transfer to industrial applications.","Many academic benchmarks differ markedly from industrial control problems, limiting their transferability to real-world applications.",supported,0,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,0,0,0,0,0,both_wrong,False,False,none
LLM_144,SBV2-ALL92-G232-C03,policy_simulation,strong_action_overclaim,"SimCity implements the shock by changing production skill requirements and labor preferences midway through the run, marked as 0 to Event in Figure 7.",We implement this shock by altering the skill requirements in production midway through the simulation (denoted as “0 to Event” in Figure 7).,supported,0,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,0,1,0,0,0,r4_right_scalar_wrong,True,False,none
LLM_094,SBV2-ALL92-G226-C02,policy_simulation,mild_scope_overclaim,"The heatwave model reports steeper declines in perceived safety, social connection, and comfort for highly vulnerable agents than low-vulnerability peers.",Preliminary results show primarily psychosocial impacts distributed inequitably: highly vulnerable agents exhibit steeper declines in perceived safety and social connection than low-vulnerability peers.,contradiction_candidate,3,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,0,1,1,1,1,r4_right_scalar_wrong,False,False,none
LLM_093,SBV2-ALL92-G254-C02,policy_simulation,mild_scope_overclaim,"The paper says future work focuses on validation frameworks for accuracy, reliability, transferability, and urban planning application studies.",Future work focuses on establishing robust validation frameworks to ensure accuracy and reliability in urban planning applications.,strong_action_overclaim,2,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,0,0,1,1,1,both_wrong,True,False,none
LLM_089,SBV2-ALL92-G256-C02,policy_simulation,mild_scope_overclaim,"The paper says the benchmark indicates large speedup potential relative to online LLM inference, with throughput depending on hardware and routing details.","While absolute throughput depends on hardware and implementation details, this benchmark highlights the potential for large speedups relative to online LLM inference in typical settings.",supported,0,strong_action_overclaim,mild_scope_overclaim,supported,supported,0,0,1,0,0,both_wrong,True,False,none
LLM_046,SBV2-ALL92-G232-C01,policy_simulation,supported,"SimCity implements the shock by changing production skill requirements midway through the run, marked as 0 to Event in Figure 7.",We implement this shock by altering the skill requirements in production midway through the simulation (denoted as “0 to Event” in Figure 7).,supported,0,mild_scope_overclaim,supported,supported,supported,1,0,1,1,1,scalar_right_r4_wrong,False,False,none
LLM_167,SBV2-ALL92-G091-C04,cyber_defense,contradiction_candidate,The study evaluates its methods against no baselines at different design stages while motivating the methodology and design decisions.,We evaluate our methods against multiple baselines at different stages of the design process to motivate our methodology and design decisions.,contradiction_candidate,3,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,1,1,1,1,both_right,False,False,none
LLM_034,SBV2-ALL92-G186-C01,marl,supported,"The industrial-control paper argues many academic benchmarks differ markedly from industrial control problems, limiting transfer to industrial applications in practice.","Many academic benchmarks differ markedly from industrial control problems, limiting their transferability to real-world applications.",supported,0,mild_scope_overclaim,supported,supported,supported,1,0,1,1,1,scalar_right_r4_wrong,False,False,none
LLM_001,SBV2-ALL92-G043-C01,autonomous_driving,supported,HABIT evaluates three recent end-to-end autonomy agents on semantically grounded pedestrian behaviors in the prediction and planning study reported by the authors.,Prediction and Planning on HABIT We evaluate three recent end-to-end autonomous driving agents on HABIT’s semantically diverse pedestrian behav- iors.,mild_scope_overclaim,1,strong_action_overclaim,mild_scope_overclaim,supported,supported,0,0,0,1,1,both_wrong,False,False,none
LLM_042,SBV2-ALL92-G255-C01,policy_simulation,supported,The paper says the simulation models individual behaviors and large-scale mobility patterns for Taipei City with empirical city data.,"Using real-world data, the simulation models individual behaviors and large-scale mobility patterns in Taipei City.",supported,0,mild_scope_overclaim,supported,supported,supported,1,0,1,1,1,scalar_right_r4_wrong,False,False,none
LLM_067,SBV2-ALL92-G092-C02,cyber_defense,mild_scope_overclaim,"The comparisons show the hierarchical learning approach achieving top performance in convergence speed, episodic return, cybersecurity metrics, and resource costs with multiple adversaries.","Comparisons with multiple baselines across different adversaries show that our hierarchical learning approach achieves top performance in terms of convergence speed, episodic return, and several interpretable metrics relevant to cybersecurity, including the fraction of clean machines on the network, precision, and false positives.",strong_action_overclaim,2,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,0,0,1,1,1,both_wrong,True,False,none
LLM_148,SBV2-ALL92-G161-C03,robotics,strong_action_overclaim,The Isaac-to-Gazebo work describes its approach as a step toward low-code applications while presenting strong fine-tuned performance as a central contribution.,"While this does not necessarily of- fer the best fine-tuned performance, we believe this to be a step towards, e.g., low-code applications.",contradiction_candidate,3,strong_action_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,0,1,0,0,0,r4_right_scalar_wrong,True,False,none
LLM_081,SBV2-ALL92-G135-C02,digital_twin,mild_scope_overclaim,The microgrid RL literature limitation concerns simplified BESS modeling that focuses mainly on electrical behavior in several prior approaches.,"Regardless of the adopted RL methods, a common limitation in these approaches is related to the simplistic modeling of the BESS, which is often restricted solely to their electrical behavior.",mild_scope_overclaim,1,strong_action_overclaim,supported,supported,supported,1,0,0,0,0,scalar_right_r4_wrong,True,False,none
LLM_152,SBV2-ALL92-G040-C04,autonomous_driving,contradiction_candidate,DriveE2E implements no classical E2EAD models as baseline methods for the experiments and comparative evaluation reported in the benchmark study.,4 EXPERIMENTS 4.1 BASELINES AND IMPLEMENTATION DETAILS We implement five classical End-to-End Autonomous Driving (E2EAD) models as baseline meth- ods.,contradiction_candidate,3,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,1,1,1,1,both_right,False,False,none
LLM_047,SBV2-ALL92-G161-C01,robotics,supported,The Isaac-to-Gazebo work describes its approach as a step toward low-code applications while acknowledging limited fine-tuned performance potential.,"While this does not necessarily of- fer the best fine-tuned performance, we believe this to be a step towards, e.g., low-code applications.",contradiction_candidate,3,mild_scope_overclaim,supported,supported,supported,0,0,1,1,1,both_wrong,False,False,none
LLM_188,SBV2-ALL92-G232-C04,policy_simulation,contradiction_candidate,"SimCity implements the shock by keeping production skill requirements unchanged midway through the run, marked as 0 to Event in Figure 7.",We implement this shock by altering the skill requirements in production midway through the simulation (denoted as “0 to Event” in Figure 7).,supported,0,contradiction_candidate,contradiction_candidate,contradiction_candidate,supported,0,1,1,1,0,r4_right_scalar_wrong,False,False,none
LLM_178,SBV2-ALL92-G135-C04,digital_twin,contradiction_candidate,"The microgrid RL literature reports detailed BESS modeling of thermal, aging, and electrical behavior in surveyed prior approaches.","Regardless of the adopted RL methods, a common limitation in these approaches is related to the simplistic modeling of the BESS, which is often restricted solely to their electrical behavior.",mild_scope_overclaim,1,strong_action_overclaim,contradiction_candidate,contradiction_candidate,contradiction_candidate,0,0,1,1,1,both_wrong,False,False,none
LLM_036,SBV2-ALL92-G190-C01,marl,supported,Tool-RoCo evaluates four cooperation paradigms under a common experiment design to compare LLM autonomy and collaborative behavior systematically in the benchmark.,"All four cooperation paradigms are evaluated under this consistent experimental setting, en- abling a systematic comparison of LLM autonomy and col- laborative behavior.",strong_action_overclaim,2,strong_action_overclaim,mild_scope_overclaim,supported,supported,0,0,0,1,1,both_wrong,False,False,none
LLM_079,SBV2-ALL92-G108-C02,digital_twin,mild_scope_overclaim,The paper describes its method as theoretically justified and not reliant on restrictive assumptions such as linear transitions or fixed noise terms in its design.,"To the best of our knowledge, ours is the first theoretically justified MBRL method that does not rely on restrictive assumptions such as linear transitions.",contradiction_candidate,3,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,0,0,1,1,1,both_wrong,True,False,none
LLM_117,SBV2-ALL92-G083-C03,cyber_defense,strong_action_overclaim,DeepXplain raises average stage-weighted F1-score from 0.887 to 0.950 and mitigation success from 84.7% to 95.0% in the reported DeepXplain experiments.,Experimental results show that DeepXplain improves the average stage-weighted F1-score from 0.887 to 0.915 and increases mitigation success rate from 84.7% to 89.6%.,supported,0,mild_scope_overclaim,contradiction_candidate,contradiction_candidate,contradiction_candidate,0,0,0,0,0,both_wrong,True,False,none
LLM_187,SBV2-ALL92-G186-C04,marl,contradiction_candidate,"The industrial-control paper argues many academic benchmarks closely match industrial control problems, supporting direct transfer to industrial applications in practice.","Many academic benchmarks differ markedly from industrial control problems, limiting their transferability to real-world applications.",supported,0,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,0,1,1,1,1,r4_right_scalar_wrong,False,False,none
LLM_088,SBV2-ALL92-G257-C02,policy_simulation,mild_scope_overclaim,"The paper says MobileCity gains efficiency at scale partly by disabling LLM modules and planner modules, trading behavioral fidelity for speed.","GATSim [26] and MobileCity [43] target larger-scale mobility simula- tion; MobileCity achieves efficiency partly by dis- abling LLM modules at scale, trading behavioral fi- delity for speed.",supported,0,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,0,0,1,1,0,both_wrong,True,False,none
LLM_091,SBV2-ALL92-G259-C02,policy_simulation,mild_scope_overclaim,The paper reports a 20.7% improvement in macro averaged prediction error over gradient boosting baselines for eight behavioral categories.,"On a held out test period, our calibrated digi- tal twin achieves a 20.7% improvement in macro averaged prediction error over gradient boosting baselines across six behavioral categories.",mild_scope_overclaim,1,mild_scope_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,1,1,0,0,1,both_right,False,False,none
