file_path,file_type,exists,contains_r4_logic,contains_thresholds,contains_per_item_predictions,contains_feature_logic,likely_replayable,notes
D:\ocn\experiments\mixed_framework_v2_frozen_r4_baseline\frozen_r4_manifest.json,json,True,True,True,False,False,False,has_r4_logic; has_thresholds
D:\ocn\experiments\mixed_framework_v2_frozen_r4_baseline\frozen_r4_metrics_summary.json,json,True,True,False,False,False,False,has_r4_logic
D:\ocn\experiments\mixed_framework_v2_frozen_r4_baseline\frozen_r4_routing_results_by_seed.csv,csv,True,False,False,False,False,False,aggregate_only
D:\ocn\experiments\mixed_framework_v2_frozen_r4_baseline\frozen_r4_readiness_gate.json,json,True,True,True,False,False,False,has_r4_logic; has_thresholds
D:\ocn\experiments\mixed_framework_v2_frozen_r4_baseline\frozen_r4_method_selection.csv,csv,True,False,True,False,False,False,has_thresholds
D:\ocn\experiments\mixed_framework_v2_frozen_r4_baseline\frozen_r4_ablation_summary.json,json,True,False,True,False,True,False,has_thresholds; has_feature_logic
D:\ocn\scripts\run_mixed_framework_router_optimization_v2.py,script,True,True,True,True,True,True,has_r4_logic; has_thresholds; has_per_item_preds; has_feature_logic
D:\ocn\scripts\run_mixed_framework_new_algorithm_sweep_v1.py,script,True,True,True,True,True,True,has_r4_logic; has_thresholds; has_per_item_preds; has_feature_logic
D:\ocn\scripts\run_v3_r4_strong_baselines_holdout_v1.py,script,True,True,True,False,True,False,has_r4_logic; has_thresholds; has_feature_logic
D:\ocn\scripts\run_llm_judge_baseline_v1.py,script,True,True,True,True,True,True,has_r4_logic; has_thresholds; has_per_item_preds; has_feature_logic
D:\ocn\scripts\run_cese_ocn_lite_v3.py,script,True,False,False,True,True,False,has_per_item_preds; has_feature_logic
D:\ocn\experiments\gpt_structured_judge_probe_v1\gpt_vs_r4_deepseek_comparison.csv,csv,True,True,False,True,False,False,has_r4_logic; has_per_item_preds
D:\ocn\experiments\mixed_framework_router_optimization_v2\routing_variant_results_by_seed.csv,csv,True,False,False,False,False,False,aggregate_only
D:\ocn\experiments\mixed_framework_router_optimization_v2\strong_action_error_cases_after_router.csv,csv,True,False,False,False,False,False,aggregate_only
D:\ocn\experiments\cese_ocn_hcm_v1\hcm_features.csv,csv,False,False,False,False,False,False,FILE NOT FOUND
D:\ocn\experiments\cese_ocn_lite_v3\v3_seed11_predictions.csv,csv,False,False,False,False,False,False,FILE NOT FOUND
