audit_item_id,source_hash,claim_text_hash,evidence_text_hash,model_pred,silver_label,auditor_label,auditor_confidence,queue_rank,queue_source,disagreement_reason,evidence_consistency,selected_evidence_sufficiency,requires_second_review
AUDIT-V1-0001,,,,strong_action_overclaim,strong_action_overclaim,contradiction_candidate,5,20,,,inconsistent,,False
AUDIT-V1-0002,,,,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,4,6,,,consistent,,False
AUDIT-V1-0007,,,,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,5,16,,,consistent,,True
AUDIT-V1-0008,,,,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,5,19,,,consistent,,True
AUDIT-V1-0009,,,,strong_action_overclaim,contradiction_candidate,mild_scope_overclaim,4,18,,,consistent,,True
AUDIT-V1-0012,,,,strong_action_overclaim,mild_scope_overclaim,contradiction_candidate,5,3,,,inconsistent,,False
AUDIT-V1-0013,,,,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,4,17,,,partial_consistent,,True
AUDIT-V1-0016,,,,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,5,1,,,partial_consistent,,False
AUDIT-V1-0017,,,,strong_action_overclaim,mild_scope_overclaim,supported,3,4,,,consistent,,True
AUDIT-V1-0018,,,,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,5,33,,,partial_consistent,,True
AUDIT-V1-0020,,,,strong_action_overclaim,strong_action_overclaim,supported,5,47,,,consistent,,False
AUDIT-V1-0022,,,,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,4,42,,,partial_consistent,,True
AUDIT-V1-0025,,,,strong_action_overclaim,mild_scope_overclaim,contradiction_candidate,5,30,,,inconsistent,,True
AUDIT-V1-0026,,,,strong_action_overclaim,mild_scope_overclaim,contradiction_candidate,5,49,,,inconsistent,,False
AUDIT-V1-0027,,,,strong_action_overclaim,contradiction_candidate,mild_scope_overclaim,4,36,,,partial_consistent,,True
AUDIT-V1-0031,,,,strong_action_overclaim,mild_scope_overclaim,contradiction_candidate,5,25,,,inconsistent,,False
AUDIT-V1-0033,,,,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,4,44,,,partial_consistent,,False
AUDIT-V1-0035,,,,strong_action_overclaim,strong_action_overclaim,contradiction_candidate,5,29,,,inconsistent,,False
AUDIT-V1-0036,,,,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,4,39,,,consistent,,False
AUDIT-V1-0038,,,,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,4,34,,,partial_consistent,,True
AUDIT-V1-0039,,,,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,4,50,,,partial_consistent,,True
AUDIT-V1-0045,,,,strong_action_overclaim,supported,mild_scope_overclaim,4,0,,,partial_consistent,,True
AUDIT-V1-0049,,,,strong_action_overclaim,mild_scope_overclaim,supported,5,0,,,consistent,,True
AUDIT-V1-0050,,,,strong_action_overclaim,mild_scope_overclaim,supported,5,0,,,consistent,,False
AUDIT-V1-0061,,,,strong_action_overclaim,supported,mild_scope_overclaim,4,0,,,partial_consistent,,True
AUDIT-V1-0062,,,,mild_scope_overclaim,strong_action_overclaim,contradiction_candidate,5,0,,,inconsistent,,False
AUDIT-V1-0063,,,,contradiction_candidate,strong_action_overclaim,supported,5,0,,,consistent,,False
AUDIT-V1-0064,,,,supported,strong_action_overclaim,mild_scope_overclaim,5,0,,,partial_consistent,,True
AUDIT-V1-0065,,,,supported,strong_action_overclaim,contradiction_candidate,5,0,,,inconsistent,,False
AUDIT-V1-0066,,,,supported,strong_action_overclaim,mild_scope_overclaim,5,0,,,partial_consistent,,True
AUDIT-V1-0067,,,,contradiction_candidate,strong_action_overclaim,contradiction_candidate,5,0,,,inconsistent,,False
AUDIT-V1-0068,,,,contradiction_candidate,strong_action_overclaim,mild_scope_overclaim,4,0,,,partial_consistent,,True
AUDIT-V1-0069,,,,supported,strong_action_overclaim,mild_scope_overclaim,4,0,,,partial_consistent,,True
AUDIT-V1-0070,,,,contradiction_candidate,strong_action_overclaim,contradiction_candidate,5,0,,,inconsistent,,False
AUDIT-V1-0071,,,,supported,strong_action_overclaim,mild_scope_overclaim,4,0,,,partial_consistent,,True
AUDIT-V1-0072,,,,contradiction_candidate,strong_action_overclaim,contradiction_candidate,5,0,,,inconsistent,,False
AUDIT-V1-0073,,,,contradiction_candidate,strong_action_overclaim,contradiction_candidate,5,0,,,inconsistent,,False
AUDIT-V1-0074,,,,mild_scope_overclaim,strong_action_overclaim,mild_scope_overclaim,5,0,,,partial_consistent,,True
AUDIT-V1-0075,,,,supported,strong_action_overclaim,mild_scope_overclaim,4,0,,,partial_consistent,,True
AUDIT-V1-0076,,,,contradiction_candidate,strong_action_overclaim,contradiction_candidate,5,0,,,inconsistent,,False
AUDIT-V1-0083,,,,strong_action_overclaim,mild_scope_overclaim,contradiction_candidate,5,52,,,inconsistent,,True
AUDIT-V1-0084,,,,strong_action_overclaim,mild_scope_overclaim,supported,5,0,,,consistent,,False
AUDIT-V1-0091,,,,strong_action_overclaim,mild_scope_overclaim,contradiction_candidate,5,58,,,inconsistent,,False
AUDIT-V1-0092,,,,strong_action_overclaim,mild_scope_overclaim,contradiction_candidate,4,0,,,inconsistent,,True
AUDIT-V1-0094,,,,strong_action_overclaim,mild_scope_overclaim,contradiction_candidate,5,0,,,inconsistent,,False
AUDIT-V1-0098,,,,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,5,0,,,partial_consistent,,True
AUDIT-V1-0101,,,,contradiction_candidate,mild_scope_overclaim,supported,5,0,,,consistent,,False
AUDIT-V1-0102,,,,contradiction_candidate,mild_scope_overclaim,contradiction_candidate,5,0,,,inconsistent,,False
AUDIT-V1-0103,,,,contradiction_candidate,mild_scope_overclaim,contradiction_candidate,5,0,,,inconsistent,,False
AUDIT-V1-0104,,,,contradiction_candidate,mild_scope_overclaim,contradiction_candidate,5,0,,,inconsistent,,False
AUDIT-V1-0105,,,,mild_scope_overclaim,strong_action_overclaim,mild_scope_overclaim,5,0,,,partial_consistent,,True
AUDIT-V1-0106,,,,contradiction_candidate,strong_action_overclaim,contradiction_candidate,5,0,,,inconsistent,,False
AUDIT-V1-0108,,,,contradiction_candidate,strong_action_overclaim,contradiction_candidate,5,0,,,inconsistent,,False
AUDIT-V1-0111,,,,strong_action_overclaim,strong_action_overclaim,contradiction_candidate,5,0,,,inconsistent,,False
