candidate_id,target_candidate_group_id,span_id,source_id,domain,evidence_type,candidate_label_guess,claim_text,evidence_text,source_location,url,arxiv_id,pdf_filename,leakage_category,recommendation,claim_only_correct,claim_evidence_correct,lexical_leakage_risk,needs_human_review,exclude_recommended,paper_full_priority,selection_reason,contradiction_leakage_review
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,AD-001-S2,AD-001,autonomous_driving,metric_result,supported,nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",pdf_page_1,https://arxiv.org/abs/2511.10403,2511.10403,pdfs/AD-001__2511.10403.pdf,C_both_wrong,review,False,False,False,True,False,medium,tfidf_unsolvable_needs_human_review,False
SBV2-ALL92-G002-MILD,SBV2-ALL92-G002,AD-001-S2,AD-001,autonomous_driving,metric_result,mild_scope_overclaim,nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance as the main comparison basis.,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",pdf_page_1,https://arxiv.org/abs/2511.10403,2511.10403,pdfs/AD-001__2511.10403.pdf,C_both_wrong,review,False,False,False,True,False,medium,tfidf_unsolvable_needs_human_review,False
SBV2-ALL92-G002-STRONG,SBV2-ALL92-G002,AD-001-S2,AD-001,autonomous_driving,metric_result,strong_action_overclaim,"nuPlan-R adds Success Rate and All-Core Pass Rate metrics to score planner robustness, balance, reliability, and collision behavior in one assessment.","More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",pdf_page_1,https://arxiv.org/abs/2511.10403,2511.10403,pdfs/AD-001__2511.10403.pdf,C_both_wrong,review,False,False,False,True,False,medium,tfidf_unsolvable_needs_human_review,False
SBV2-ALL92-G002-CONTRA,SBV2-ALL92-G002,AD-001-S2,AD-001,autonomous_driving,metric_result,contradiction_candidate,nuPlan-R adds Lane Distance and Map Coverage Rate metrics to assess planner routing geometry and map exploration balance over multiple dimensions.,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",pdf_page_1,https://arxiv.org/abs/2511.10403,2511.10403,pdfs/AD-001__2511.10403.pdf,C_both_wrong,review,False,False,False,True,False,medium,tfidf_unsolvable_needs_human_review,False
SBV2-ALL92-G003-SUPPORTED,SBV2-ALL92-G003,AD-001-S3,AD-001,autonomous_driving,limitation,supported,nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan evaluation framework.,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.",pdf_page_1,https://arxiv.org/abs/2511.10403,2511.10403,pdfs/AD-001__2511.10403.pdf,C_both_wrong,review,False,False,False,True,False,medium,tfidf_unsolvable_needs_human_review,False
SBV2-ALL92-G004-STRONG,SBV2-ALL92-G004,AD-002-S1,AD-002,autonomous_driving,experiment_setup,strong_action_overclaim,"The benchmark experiments run on an Intel Core i9-12900KS CPU, 32 GB RAM, an NVIDIA RTX 3090 Ti GPU, and a multi-GPU compute cluster.","Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware.",pdf_page_5,https://arxiv.org/abs/2603.01023,2603.01023,pdfs/AD-002__2603.01023.pdf,C_both_wrong,review,False,False,False,True,False,medium,tfidf_unsolvable_needs_human_review,False
SBV2-ALL92-G005-MILD,SBV2-ALL92-G005,AD-002-S2,AD-002,autonomous_driving,metric_result,mild_scope_overclaim,The solver comparison shows second-order solving at N=3 matches first-order accuracy at N=5 for the reported latency and waypoint analysis.,"The vertical arrow shows the solver order benefit: at the same latency, second-order solving at N=3 matches the accuracy of first-order at N=5, effectively halving the required steps.",pdf_page_6,https://arxiv.org/abs/2603.01023,2603.01023,pdfs/AD-002__2603.01023.pdf,C_both_wrong,review,False,False,False,True,False,medium,tfidf_unsolvable_needs_human_review,False
SBV2-ALL92-G005-STRONG,SBV2-ALL92-G005,AD-002-S2,AD-002,autonomous_driving,metric_result,strong_action_overclaim,The solver comparison shows second-order solving at N=3 matches first-order accuracy at N=5 and cuts overall planner runtime in half.,"The vertical arrow shows the solver order benefit: at the same latency, second-order solving at N=3 matches the accuracy of first-order at N=5, effectively halving the required steps.",pdf_page_6,https://arxiv.org/abs/2603.01023,2603.01023,pdfs/AD-002__2603.01023.pdf,C_both_wrong,review,False,False,False,True,False,medium,tfidf_unsolvable_needs_human_review,False
SBV2-ALL92-G007-MILD,SBV2-ALL92-G007,AD-003-S1,AD-003,autonomous_driving,metric_result,mild_scope_overclaim,"HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS as a representative top result.","The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the best, Dif- fusionDrive, achieves only 34.2 Overall DS.",pdf_page_8,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,C_both_wrong,review,False,False,False,True,False,medium,tfidf_unsolvable_needs_human_review,False
SBV2-ALL92-G007-STRONG,SBV2-ALL92-G007,AD-003-S1,AD-003,autonomous_driving,metric_result,strong_action_overclaim,"HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS and showing mature closed-loop performance.","The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the best, Dif- fusionDrive, achieves only 34.2 Overall DS.",pdf_page_8,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,C_both_wrong,review,False,False,False,True,False,medium,tfidf_unsolvable_needs_human_review,False
