seed,candidate_id,true_label,baseline_pred,router_pred,p_contra,p_strong,claim_text
11,SBV2-ALL92-G040-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9416,0.4012,DriveE2E implements twelve classical E2EAD models as baseline methods for the experiments and comparative evaluation reported in the benchmark study.
11,SBV2-ALL92-G060-C03,strong_action_overclaim,supported,mild_scope_overclaim,0.2795,0.5309,The paper states that managing traffic signals in complex dynamic urban road networks has become a routine problem for traffic control research.
11,SBV2-ALL92-G062-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9473,0.1394,The evaluation reports that the adapted HPNet model reaches prediction accuracy on simulated work-zone datasets superior to Argoverse and INTERACTION benchmarks.
11,SBV2-ALL92-G091-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,0.0551,0.5617,The study evaluates its methods against multiple baselines at every design stage to validate the methodology and design decisions.
11,SBV2-ALL92-G094-C03,strong_action_overclaim,supported,mild_scope_overclaim,0.2764,0.4841,"The study evaluates the approach in CybORG, analyzing tradeoffs among resilience, costs, mission goals, and enterprise staffing plans for cyber defense."
11,SBV2-ALL92-G140-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,0.2944,0.5883,The 6G twin framework reported 60% lower 95th-percentile latency and 50% lower energy consumption than prior literature baselines.
11,SBV2-ALL92-G164-C03,strong_action_overclaim,supported,mild_scope_overclaim,0.2689,0.4784,The results show context-conditioned agents outperform context-agnostic agents in dynamics-insensitive cases as much as in dynamics-sensitive cases benchmarks.
11,SBV2-ALL92-G172-C03,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,0.1748,0.5954,"The study evaluated its approach through PX4, ArduPilot, and hardware flight testing, agent performance analysis, and feedback collection from sUAS developers."
11,SBV2-ALL92-G185-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9467,0.2182,"The industrial-control paper says reinforcement learning adoption is mature because reward design, modularity, and action-space management are solved in industrial processes."
11,SBV2-ALL92-G186-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9477,0.2201,"The industrial-control paper argues many academic benchmarks differ markedly from industrial control problems, yet still provide reliable transfer to industrial applications."
11,SBV2-ALL92-G187-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9123,0.5581,"The MEAL study evaluates continual-learning methods with MARL algorithms and reports solved cooperation as sequence length, agent count, difficulty, and partners increase."
11,SBV2-ALL92-G215-C03,strong_action_overclaim,supported,mild_scope_overclaim,0.2723,0.4269,"The ABM discussion says decision-support effectiveness remains uncertain because calibration, data integration, interpretation, and validation require extensive expertise."
11,SBV2-ALL92-G224-C03,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,0.3153,0.538,The election simulation reports correct predictions for more than 95% of state voting results under its winner-takes-all rule.
22,SBV2-ALL92-G028-C03,strong_action_overclaim,supported,supported,0.3048,0.5013,"The DSBench pipeline implements an iterative quality-control process to filter automated-generation noise, correct annotation biases, and verify each item with expert review."
22,SBV2-ALL92-G033-C03,strong_action_overclaim,supported,supported,0.3049,0.3665,DriveVLM-Dual is proposed because VLMs have limitations in spatial reasoning and heavy computational requirements that the hybrid design removes.
