candidate_id,target_candidate_group_id,source_id,domain,evidence_type,label,leakage_category,claim_only_correct,claim_evidence_correct,recommendation
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,AD-001,autonomous_driving,metric_result,supported,C_both_wrong,False,False,review
SBV2-ALL92-G002-MILD,SBV2-ALL92-G002,AD-001,autonomous_driving,metric_result,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G002-STRONG,SBV2-ALL92-G002,AD-001,autonomous_driving,metric_result,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G002-CONTRA,SBV2-ALL92-G002,AD-001,autonomous_driving,metric_result,contradiction_candidate,C_both_wrong,False,False,review
SBV2-ALL92-G003-SUPPORTED,SBV2-ALL92-G003,AD-001,autonomous_driving,limitation,supported,C_both_wrong,False,False,review
SBV2-ALL92-G003-MILD,SBV2-ALL92-G003,AD-001,autonomous_driving,limitation,mild_scope_overclaim,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G003-STRONG,SBV2-ALL92-G003,AD-001,autonomous_driving,limitation,strong_action_overclaim,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G003-CONTRA,SBV2-ALL92-G003,AD-001,autonomous_driving,limitation,contradiction_candidate,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G004-SUPPORTED,SBV2-ALL92-G004,AD-002,autonomous_driving,experiment_setup,supported,B_evidence_gain,False,True,include
SBV2-ALL92-G004-MILD,SBV2-ALL92-G004,AD-002,autonomous_driving,experiment_setup,mild_scope_overclaim,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G004-STRONG,SBV2-ALL92-G004,AD-002,autonomous_driving,experiment_setup,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G004-CONTRA,SBV2-ALL92-G004,AD-002,autonomous_driving,experiment_setup,contradiction_candidate,A_claim_only_correct,True,True,review_flag_leakage
