candidate_id,selector,selected_evidence_sha256,n_words,selector_score,selected_rank,source_type,selection_reason
toy_cand_001,raw_top1_chunk,5a566c538c8279207dd42c15ea6fba4a573836cff4a792fd12ab2973af45b5b3,90,0.208955,1,raw_chunk,raw chunk text from rank=1 retrieval
toy_cand_002,raw_top1_chunk,320252fb91c9a05e9a9ffbbeb21e89524df37f688b8fbfe4d44541517d2a775e,82,0.101695,1,raw_chunk,raw chunk text from rank=1 retrieval
toy_cand_003,raw_top1_chunk,ad9141f7a23b42c07778aa0176c810783078b0df83d96ea98fbc861fd5b3059a,86,0.212121,1,raw_chunk,raw chunk text from rank=1 retrieval
toy_cand_004,raw_top1_chunk,9dd1d071f94c372524c9d5f742d1a0e983ae7ebca54241262070f0c1c46cfbf4,84,0.172414,1,raw_chunk,raw chunk text from rank=1 retrieval
toy_cand_005,raw_top1_chunk,0f5271c909b1846d30c5728ee5b0860eadcfd71fb554504a0fc36bcf1d96f114,82,0.2,1,raw_chunk,raw chunk text from rank=1 retrieval
toy_cand_006,raw_top1_chunk,a1d25e2500f8cae777c0c40c56a060a621501e4531cf121c061bcf73f6eb97ef,76,0.235294,1,raw_chunk,raw chunk text from rank=1 retrieval
toy_cand_001,cleaned_top1_chunk,5a566c538c8279207dd42c15ea6fba4a573836cff4a792fd12ab2973af45b5b3,90,0.208955,1,cleaned_chunk,"cleaned (dehydrated, normalized) rank=1 chunk"
toy_cand_002,cleaned_top1_chunk,320252fb91c9a05e9a9ffbbeb21e89524df37f688b8fbfe4d44541517d2a775e,82,0.101695,1,cleaned_chunk,"cleaned (dehydrated, normalized) rank=1 chunk"
toy_cand_003,cleaned_top1_chunk,ad9141f7a23b42c07778aa0176c810783078b0df83d96ea98fbc861fd5b3059a,86,0.212121,1,cleaned_chunk,"cleaned (dehydrated, normalized) rank=1 chunk"
toy_cand_004,cleaned_top1_chunk,9dd1d071f94c372524c9d5f742d1a0e983ae7ebca54241262070f0c1c46cfbf4,84,0.172414,1,cleaned_chunk,"cleaned (dehydrated, normalized) rank=1 chunk"
toy_cand_005,cleaned_top1_chunk,0f5271c909b1846d30c5728ee5b0860eadcfd71fb554504a0fc36bcf1d96f114,82,0.2,1,cleaned_chunk,"cleaned (dehydrated, normalized) rank=1 chunk"
toy_cand_006,cleaned_top1_chunk,a1d25e2500f8cae777c0c40c56a060a621501e4531cf121c061bcf73f6eb97ef,76,0.235294,1,cleaned_chunk,"cleaned (dehydrated, normalized) rank=1 chunk"
toy_cand_001,first_sentence_top1,50a04771b458428b3c13574b9ddd88ea2ef2311ba3d3a58d21286347bd49952c,12,0.208955,1,first_sentence,first qualifying sentence (n_words>=5) from cleaned rank=1 chunk
toy_cand_002,first_sentence_top1,5d00353e825a8e55ddaa9cd8ffa3f096536cf00570bb4b0826b5718926f07c10,5,0.101695,1,first_sentence,first qualifying sentence (n_words>=5) from cleaned rank=1 chunk
toy_cand_003,first_sentence_top1,aaca900d46411d91ce3c076d7a42305a8382f2aabf3d665e8d76d318932ae86a,13,0.212121,1,first_sentence,first qualifying sentence (n_words>=5) from cleaned rank=1 chunk
toy_cand_004,first_sentence_top1,8f7e5c088fc30e3a551a8fc9344bf25cb040244b9eab2c4988b1f1182eda0b92,24,0.172414,1,first_sentence,first qualifying sentence (n_words>=5) from cleaned rank=1 chunk
toy_cand_005,first_sentence_top1,9bfd1f27662d6dc05f91f3b1edcd16df1a63a6a904d7291fd80afe8b1d5a8b7f,13,0.2,1,first_sentence,first qualifying sentence (n_words>=5) from cleaned rank=1 chunk
toy_cand_006,first_sentence_top1,049acfc76f699a360194fa47fff4a65497809c0c91ebff790b4d068e806170c2,11,0.235294,1,first_sentence,first qualifying sentence (n_words>=5) from cleaned rank=1 chunk
