candidate_id,variant,evidence_input_sha256,n_words,source,uses_oracle_text,contains_metadata,is_lengthened
toy_cand_001,oracle_clean,50a04771b458428b3c13574b9ddd88ea2ef2311ba3d3a58d21286347bd49952c,12,candidate_csv.evidence_text,True,False,False
toy_cand_001,oracle_plus_metadata,9c610f09f923408d40f427c5fbea2c736ebb569d56e696abd04deb650f4633e3,18,candidate_csv.evidence_text + metadata,True,True,False
toy_cand_001,oracle_lengthened,4a81556b44ce1db3c6bcfad1bbe185103c0c80a7262dbf254021a8a97f041a00,98,candidate_csv.evidence_text + adjacent_chunk,True,False,True
toy_cand_001,oracle_plus_metadata_lengthened,ff8fa32627641898896a1a4cdc22da5c0e82ccd32f77d35f69f13f8855c65e30,104,candidate_csv.evidence_text + metadata + adjacent_chunk,True,True,True
toy_cand_001,raw_bm25_top1_chunk,5a566c538c8279207dd42c15ea6fba4a573836cff4a792fd12ab2973af45b5b3,90,chunk_retrieval rank=1,False,False,False
toy_cand_001,cleaned_bm25_top1_chunk,5a566c538c8279207dd42c15ea6fba4a573836cff4a792fd12ab2973af45b5b3,90,chunk_retrieval rank=1 (cleaned),False,False,False
toy_cand_001,canonicalized_best_sentence_top5,50a04771b458428b3c13574b9ddd88ea2ef2311ba3d3a58d21286347bd49952c,12,canonicalizer_ablation best_sentence_top5_overlap,False,False,False
toy_cand_001,canonicalized_three_sentence_window_top5,f151300187a51b6ef7eb5bd3ef7dcf0054fe7769ebfe3fa13f0fef53611b540f,33,canonicalizer_ablation three_sentence_window_top5,False,False,False
toy_cand_002,oracle_clean,48e86a3761a68952a6c1da0c00f4946102abe6cd3198c4b021aca76c5e5bb8fe,11,candidate_csv.evidence_text,True,False,False
toy_cand_002,oracle_plus_metadata,e068068a6f9ec3c72d59efed431c11e2e91f0c19763aa8f195f35a2c7ed9fd9b,17,candidate_csv.evidence_text + metadata,True,True,False
toy_cand_002,oracle_lengthened,a0c9407648618f2f6e6ed3115a9b3199cbe506ef9dd48cbfc8c859e26343d90f,93,candidate_csv.evidence_text + adjacent_chunk,True,False,True
toy_cand_002,oracle_plus_metadata_lengthened,aa8d48fddc09c550f26bf8a4df2ce7385c6c71e7f518b87c75e20ed2a2677699,99,candidate_csv.evidence_text + metadata + adjacent_chunk,True,True,True
toy_cand_002,raw_bm25_top1_chunk,5a566c538c8279207dd42c15ea6fba4a573836cff4a792fd12ab2973af45b5b3,90,chunk_retrieval rank=1,False,False,False
toy_cand_002,cleaned_bm25_top1_chunk,5a566c538c8279207dd42c15ea6fba4a573836cff4a792fd12ab2973af45b5b3,90,chunk_retrieval rank=1 (cleaned),False,False,False
toy_cand_002,canonicalized_best_sentence_top5,50a04771b458428b3c13574b9ddd88ea2ef2311ba3d3a58d21286347bd49952c,12,canonicalizer_ablation best_sentence_top5_overlap,False,False,False
toy_cand_002,canonicalized_three_sentence_window_top5,f151300187a51b6ef7eb5bd3ef7dcf0054fe7769ebfe3fa13f0fef53611b540f,33,canonicalizer_ablation three_sentence_window_top5,False,False,False
toy_cand_003,oracle_clean,aaca900d46411d91ce3c076d7a42305a8382f2aabf3d665e8d76d318932ae86a,13,candidate_csv.evidence_text,True,False,False
toy_cand_003,oracle_plus_metadata,faa313d53cb6b682b13eebf61189704ee056256575a96b6864252c831a4c907f,19,candidate_csv.evidence_text + metadata,True,True,False
toy_cand_003,oracle_lengthened,1de70d419ec2dcbae51ed307d0c7daf5d795e85f253d9bfc9985942e4c8c0e8c,95,candidate_csv.evidence_text + adjacent_chunk,True,False,True
toy_cand_003,oracle_plus_metadata_lengthened,0aa6985f15c3e9a85088610971147cf00cbdb3af4317006561194d22468c89a9,101,candidate_csv.evidence_text + metadata + adjacent_chunk,True,True,True
