candidate_id,target_candidate_group_id,selector,selected_evidence,selected_source_unit_id,selected_chunk_id,selected_rank,selected_page_number,selector_score,n_words,source_type,selection_reason,selected_evidence_sha256
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,raw_top1_chunk,"realistic and fair evaluation of autonomous driving planners. Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle. More- over, we extend the benchmark with t",,AD-001_p1_c4,1,1,54.3509,68,raw_chunk,raw chunk text from rank=1 retrieval,aec776c36e9eb7b5ffdcbb15b2ac411dee609485f88bbee1f774b6b68c5c651b
SBV2-ALL92-G002-MILD,SBV2-ALL92-G002,raw_top1_chunk,"realistic and fair evaluation of autonomous driving planners. Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle. More- over, we extend the benchmark with t",,AD-001_p1_c4,1,1,47.3645,68,raw_chunk,raw chunk text from rank=1 retrieval,aec776c36e9eb7b5ffdcbb15b2ac411dee609485f88bbee1f774b6b68c5c651b
SBV2-ALL92-G002-STRONG,SBV2-ALL92-G002,raw_top1_chunk,"expanding the benchmark to three complementary metrics in total. Success Rate. This metric measures a planner’s robustness in maintaining safe and feasible trajectories throughout a closed-loop rollout. It is computed as the proportion of scenarios where the CLS is non-zero, indicating that the ego vehicle avoids major failures such as severe collisions, off-road departures, wrong-way driving, or extremely low progress. A higher SR reflects a planner’s reliability in maintaining feasible and saf",,AD-001_p4_c2,1,4,44.8087,72,raw_chunk,raw chunk text from rank=1 retrieval,695495113386c90f928fd1e5d3905118ed02100851b366450561e744531cc792
SBV2-ALL92-G002-CONTRA,SBV2-ALL92-G002,raw_top1_chunk,"realistic and fair evaluation of autonomous driving planners. Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle. More- over, we extend the benchmark with t",,AD-001_p1_c4,1,1,35.8408,68,raw_chunk,raw chunk text from rank=1 retrieval,aec776c36e9eb7b5ffdcbb15b2ac411dee609485f88bbee1f774b6b68c5c651b
SBV2-ALL92-G003-SUPPORTED,SBV2-ALL92-G003,raw_top1_chunk,"nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning bench- marks have significantly improved the evaluation of au- tonomous vehicles. However, existing benchmarks still rely on rule-based reactive agents such as the Intelligent Driver Model (IDM), which lack behavioral diversity and fail to capture realistic human interactions, l",,AD-001_p1_c0,1,1,54.4142,69,raw_chunk,raw chunk text from rank=1 retrieval,142b979cbb191b21bf531b0ef90c50b3acb95e2354af43c789b543a8b6c3518d
SBV2-ALL92-G003-MILD,SBV2-ALL92-G003,raw_top1_chunk,"nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning bench- marks have significantly improved the evaluation of au- tonomous vehicles. However, existing benchmarks still rely on rule-based reactive agents such as the Intelligent Driver Model (IDM), which lack behavioral diversity and fail to capture realistic human interactions, l",,AD-001_p1_c0,1,1,52.809,69,raw_chunk,raw chunk text from rank=1 retrieval,142b979cbb191b21bf531b0ef90c50b3acb95e2354af43c789b543a8b6c3518d
SBV2-ALL92-G003-STRONG,SBV2-ALL92-G003,raw_top1_chunk,"nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning bench- marks have significantly improved the evaluation of au- tonomous vehicles. However, existing benchmarks still rely on rule-based reactive agents such as the Intelligent Driver Model (IDM), which lack behavioral diversity and fail to capture realistic human interactions, l",,AD-001_p1_c0,1,1,54.3138,69,raw_chunk,raw chunk text from rank=1 retrieval,142b979cbb191b21bf531b0ef90c50b3acb95e2354af43c789b543a8b6c3518d
SBV2-ALL92-G003-CONTRA,SBV2-ALL92-G003,raw_top1_chunk,"nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning bench- marks have significantly improved the evaluation of au- tonomous vehicles. However, existing benchmarks still rely on rule-based reactive agents such as the Intelligent Driver Model (IDM), which lack behavioral diversity and fail to capture realistic human interactions, l",,AD-001_p1_c0,1,1,44.1456,69,raw_chunk,raw chunk text from rank=1 retrieval,142b979cbb191b21bf531b0ef90c50b3acb95e2354af43c789b543a8b6c3518d
SBV2-ALL92-G004-SUPPORTED,SBV2-ALL92-G004,raw_top1_chunk,"node restart. V. EXPERIMENTS A. Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware. The modular planner uses ONNX Runtime 1.23 with the CPU execution provider; the original monolithic planner [28] uses TensorRT with the 68 MB engine file on GPU. Both planners are benchmarked on the same machine; the CPU-based com- parison i",,AD-002_p5_c1,1,5,91.0366,85,raw_chunk,raw chunk text from rank=1 retrieval,2072191c0cb97ed685c6f59591d8d31937b323568789b5f661e746d2df7cf649
SBV2-ALL92-G004-MILD,SBV2-ALL92-G004,raw_top1_chunk,"reducing the inference cost from Tmono in Eq. 4 to: Tmod = Tenc + (N+1) · Tdit + N · Tsol. (5) The saving of N ·Tenc is substantial because Tenc ≫Tdit (§V- C). The model operates in a normalized coordinate frame; output trajectories are denormalized to world coordinates before being published as ROS 2 trajectory messages, ready for direct consumption by downstream planning validation and vehicle control modules within the Autoware stack. C. ROS 2 Integration with Autoware The modular planner is ",,AD-002_p5_c0,1,5,89.6781,83,raw_chunk,raw chunk text from rank=1 retrieval,ce020da8a8cc124dffa8f59f5d8f9aaf267f0a3023b0a8ee2898c8071f5b1098
