artifact_id,path,artifact_type,public_safe,private_sensitive,generated_by_script,input_artifacts,run_mode,contains_raw_text,contains_hash_only,contains_labels,contains_oracle_eval,safe_to_release,exists,detected_sensitive_columns,detected_label_columns,detected_oracle_columns,notes
A001_strict_silver_csv,data/simclaim_all92_candidate_pool_v1/strict_silver_max_v1/strict_silver_max_candidates_v1.csv,dataset_csv,false,true,scripts/build_strict_silver_max_v1.py,data/simclaim_all92_candidate_pool_v1/all92_claim_candidates_merged.csv,real,true,false,true,false,false,true,"claim_text, evidence_text, generation_notes, title, url","candidate_label_guess, final_label, gold_label, human_audited, silver_label_source",,"Controlled silver diagnostic; contains claim_text, evidence_text, labels. Never released publicly."
A002_strict_silver_groups,data/simclaim_all92_candidate_pool_v1/strict_silver_max_v1/strict_silver_max_groups_v1.csv,dataset_metadata,true,false,scripts/build_strict_silver_max_v1.py,A001_strict_silver_csv,real,false,false,false,false,true,true,,,,Group-level metadata only; no raw text or labels.
A003_dataset_version_lock,docs/dataset_version_lock_v3_17.md,documentation,true,false,manual,A001_strict_silver_csv,real,false,false,false,false,true,true,,,,"Version lock document with SHA256, row counts, field constraints."
A010_pdf_corpus_chunks,data/simclaim_pdf_corpus_retrieval_v1/local_pdf_corpus_chunks.csv,pdf_corpus,false,true,scripts/build_pdf_sentence_corpus_v1.py,data/pdf_corpus_v1/*.pdf,real,false,false,false,false,false,true,,,,Contains chunk text extracted from PDFs. Never released.
A011_pdf_corpus_toy,data/pdf_corpus_toy_v1/pdf_manifest.csv,pdf_corpus_toy,true,false,scripts/build_pdf_sentence_corpus_v1.py,data/toy_synthetic/pdf_stress_sources.jsonl,toy,false,true,false,false,true,true,,,,Toy PDF manifest; no real PDF text.
A020_retrieval_metrics,experiments/simclaim_pdf_corpus_retrieval_v1/retrieval_metrics_bm25.json,metrics_json,true,false,scripts/run_simclaim_pdf_retrieval_v1.py,"A001_strict_silver_csv, A010_pdf_corpus_chunks",real,false,false,false,false,true,true,,,,"Aggregate metrics only; recall@k, MRR. No raw text."
A021_retrieval_results,experiments/simclaim_pdf_corpus_retrieval_v1/retrieval_results_bm25.csv,retrieval_results_csv,false,true,scripts/run_simclaim_pdf_retrieval_v1.py,"A001_strict_silver_csv, A010_pdf_corpus_chunks",real,false,false,false,false,false,true,,,,Per-candidate retrieval results; may contain chunk text snippets.
A022_bm25_sentence_blocked,experiments/bm25_sentence_retrieval_v1/oracle_recall_summary.json,blocked_metrics_json,true,false,scripts/run_bm25_sentence_retrieval_v1.py,A001_strict_silver_csv (blocked: missing_pdf_corpus),blocked,false,false,false,false,true,true,,,,Blocked: missing PDF sentence corpus. Contains status only.
A030_canonicalizer_metrics,experiments/canonicalizer_ablation_v1/selector_metrics_summary.csv,metrics_csv,true,false,scripts/run_canonicalizer_ablation_v1.py,"A001_strict_silver_csv, A021_retrieval_results",real,false,false,false,false,true,true,,,,"Selector-level metrics; oracle_recall, mean_overlap. No raw text."
A031_canonicalizer_variant_evidence,experiments/canonicalizer_ablation_v1/selector_variant_evidence.csv,evidence_csv,false,true,scripts/run_canonicalizer_ablation_v1.py,"A001_strict_silver_csv, A021_retrieval_results",real,true,false,false,false,false,true,selected_evidence,,,Contains selected_evidence (raw text). Never released.
A032_canonicalizer_redacted,experiments/canonicalizer_ablation_v1/selector_examples_redacted.csv,redacted_csv,true,false,scripts/run_canonicalizer_ablation_v1.py,A031_canonicalizer_variant_evidence,real,false,true,false,false,true,true,,,,"Redacted examples; hash-only, no raw text."
A040_format_shift_inputs,experiments/format_shift_ablation_v1/format_shift_inputs.csv,inputs_csv,false,true,scripts/run_format_shift_ablation_v1.py,"A001_strict_silver_csv, A031_canonicalizer_variant_evidence",real,false,true,false,false,false,true,,,,Contains evidence text variants. Never released.
