path,hardcoded_count,classification,context
scripts/_v2_qc_check.py,2,legacy_exempt,"L3: a = pd.read_csv(r""D:\ocn\gold_pilot_relation_realism_protocol_v2\pilot_50_relation_realism_annotation_A.csv"", keep_defau | L4: b = pd.read_csv(r""D:\ocn\gold_pilot_relation_realism_protocol_v2\pilot_50_relation_realism_annotation_B.csv"", keep_defau"
scripts/_v3_15_scalar_gate_view.py,1,legacy_exempt,"L2: g = json.load(open(r""D:\ocn\experiments\v3_15_scalar_vs_relation_screening_deep_test\scalar_vs_relation_deep_test_gate.j"
scripts/_v3_15_view_metrics.py,2,legacy_exempt,"L4: df = pd.read_csv(r""D:\ocn\experiments\v3_15_low_prevalence_screening_simulation\low_prevalence_screening_metrics.csv"") | L22: budget = pd.read_csv(r""D:\ocn\experiments\v3_15_low_prevalence_screening_simulation\review_budget_curve.csv"")"
scripts/audit_path_hardcoding_v1.py,8,safe,L5: - current_pipeline_blocker  : P0 mainline script with D:\ocn hardcoding | L6: - current_pipeline_warning  : non-P0 V3.17 script with D:\ocn hardcoding | L8: - safe                      : no D:\ocn hardcoding
scripts/build_gold_pilot_preparation_v1.py,5,legacy_exempt,"L17: HIGH_RISK_CSV = r""D:\ocn\paper_versions_ordered\V3_4_taxonomy_hardened\high_risk_sample_bank.csv"" | L18: TRUSTED_CSV = r""D:\ocn\paper_versions_ordered\V3_4_taxonomy_hardened\trusted_case_bank.csv"" | L19: STRICT_SILVER_CSV = r""D:\ocn\data\simclaim_all92_candidate_pool_v1\strict_silver_max_v1\strict_silver_max_candidates_v1."
scripts/build_human_audit_queue_v1.py,0,safe,
scripts/build_paper_ready_mixed_framework_v2.py,7,legacy_exempt,"L21: FROZEN_R4_DIR = Path(r""D:\ocn\experiments\mixed_framework_v2_frozen_r4_baseline"") | L22: NEW_ALGO_DIR = Path(r""D:\ocn\experiments\mixed_framework_new_algorithm_sweep_v1"") | L23: ROUTER_OPT_DIR = Path(r""D:\ocn\experiments\mixed_framework_router_optimization_v2"")"
scripts/build_pdf_sentence_corpus_v1.py,0,safe,
scripts/build_pdf_stress_suite_v1.py,0,safe,
scripts/build_public_sanitized_release_v1.py,0,safe,
scripts/build_rigourate_style_scalar_baselines.py,4,legacy_exempt,"L29: BASE = r""D:\ocn\experiments\rigourate_reproduction_and_simclaim_baseline_v1"" | L30: SILVER_DIR = r""D:\ocn\experiments\strict_silver_max_v1"" | L31: LLM_200 = r""D:\ocn\experiments\llm_judge_baseline_v1\llm_parsed_outputs_200.csv"""
scripts/build_v2_relation_realism_templates.py,2,legacy_exempt,"L16: V1_DIR = Path(r""D:\ocn\gold_pilot_protocol_freeze_v1"") | L17: V2_DIR = Path(r""D:\ocn\gold_pilot_relation_realism_protocol_v2"")"
scripts/build_v3_10_1_docx.py,2,legacy_exempt,"L7: MD_PATH = r""D:\ocn\paper_versions_ordered\V3_10_1_advisor_send_clean\CESE_OCN_V3_10_1_advisor_send_clean.md"" | L8: DOCX_PATH = r""D:\ocn\paper_versions_ordered\V3_10_1_advisor_send_clean\CESE_OCN_V3_10_1_advisor_send_clean.docx"""
scripts/build_v3_10_docx.py,2,legacy_exempt,"L7: MD_PATH = r""D:\ocn\paper_versions_ordered\V3_10_advisor_ready_silver_stage\CESE_OCN_V3_10_advisor_ready_silver_stage.md"" | L8: DOCX_PATH = r""D:\ocn\paper_versions_ordered\V3_10_advisor_ready_silver_stage\CESE_OCN_V3_10_advisor_ready_silver_stage.d"
scripts/build_v3_11_docx.py,2,legacy_exempt,"L7: MD_PATH = r""D:\ocn\paper_versions_ordered\V3_11_high_standard_framework_roadmap\CESE_OCN_V3_11_high_standard_framework.m | L8: DOCX_PATH = r""D:\ocn\paper_versions_ordered\V3_11_high_standard_framework_roadmap\CESE_OCN_V3_11_high_standard_framework"
scripts/build_v3_12_1_docx.py,2,legacy_exempt,"L10: MD_PATH = r""D:\ocn\paper_versions_ordered\V3_12_1_advisor_send_clean\CESE_OCN_V3_12_1_advisor_send_clean.md"" | L11: DOCX_PATH = r""D:\ocn\paper_versions_ordered\V3_12_1_advisor_send_clean\CESE_OCN_V3_12_1_advisor_send_clean.docx"""
scripts/build_v3_12_docx.py,2,legacy_exempt,"L10: MD_PATH = r""D:\ocn\paper_versions_ordered\V3_12_with_three_credibility_checks\CESE_OCN_V3_12_with_three_credibility_chec | L11: DOCX_PATH = r""D:\ocn\paper_versions_ordered\V3_12_with_three_credibility_checks\CESE_OCN_V3_12_with_three_credibility_ch"
scripts/build_v3_13_docx.py,2,legacy_exempt,"L10: MD_PATH = r""D:\ocn\paper_versions_ordered\V3_13_differentiated_against_rigourate_forcebench\CESE_OCN_V3_13_differentiate | L11: DOCX_PATH = r""D:\ocn\paper_versions_ordered\V3_13_differentiated_against_rigourate_forcebench\CESE_OCN_V3_13_differentia"
scripts/build_v3_13_rigourate_aware_docx.py,2,legacy_exempt,"L10: MD_PATH = r""D:\ocn\paper_versions_ordered\V3_13_rigourate_differentiated_realism_aware\CESE_OCN_V3_13_rigourate_differen | L11: DOCX_PATH = r""D:\ocn\paper_versions_ordered\V3_13_rigourate_differentiated_realism_aware\CESE_OCN_V3_13_rigourate_differ"
scripts/build_v3_14_docx.py,2,legacy_exempt,"L10: MD_PATH = r""D:\ocn\paper_versions_ordered\V3_14_mainline_locked_consistency_audit\CESE_OCN_V3_14_mainline_locked.md"" | L11: DOCX_PATH = r""D:\ocn\paper_versions_ordered\V3_14_mainline_locked_consistency_audit\CESE_OCN_V3_14_mainline_locked.docx"""
