risk_id,reviewer_attack,current_evidence,current_strength,missing_evidence,strengthening_action,expected_after_strengthening,paper_claim_supported
R01,"Silver labels are 62.5% questionable/unclear in your own audit — why should I believe any of your numbers?","Author sanity audit (§V.D) flags 25/40 questionable/unclear; root-cause analysis shows 48% are mild_vs_strong boundary cases (genuinely hard), 24% are audit heuristic issues (fixed by decision tree), 20% are claim generation issues, 8% are audit too strict; the relative pattern (R4 > LLM on strong_action) may survive even if individual labels shift",weak,"Independent gold adjudication of 50 samples (§VII) with silver-gold consistency (Table G2) and strong_action retention rate","L2.1 50-sample blind gold pilot; L2.2 silver-gold consistency; report Table G2","If strong_action retention >= 0.60 and silver-gold agreement >= 0.70, silver-stage findings are supported; otherwise downgraded per §VII.G",controlled_silver_stage_evidence_pending_gold
R02,"strong_action_overclaim has 75% confusion rate even by your own audit — the class is a taxonomy artifact, not a real phenomenon","Decision tree (Figure 2) operationalizes the boundary; §III.C states separability is a hypothesis; §VII pre-registers mild_vs_strong κ >= 0.40 as the test; 12/25 questionable cases are genuinely hard boundary cases (expected for a boundary task)",weak,"Independent annotator κ on mild_vs_strong boundary (Table G1)","L2.3 boundary kappa from 50-sample gold pilot; report per-boundary κ in Table G1","If mild_vs_strong κ >= 0.40, the class is reliably drawable; if < 0.40, taxonomy is revised to three-class per §VII.G criterion 1 — paper survives",taxonomy_separability_is_a_tested_hypothesis
R03,"R4 is just a rule stack / heuristic with no theoretical motivation — why is this a framework?","Routing order reflects theoretical principle (most separable first, most consequential under guard, residual last); ablation shows NLI + action-gap are complementary (0.4209 vs 0.3934 NLI-only, 0.3648 action-gap-only); R4 is the only router meeting all 5 pre-specified constraints",medium,"Reviewer-facing threat model with explicit design rationale; screening cost-benefit curve at multiple thresholds","L1.7 ablation explanation; L1.8 reviewer threat model; L3.4 screening cost-benefit curve","R4 is a principled relation-specific router, not a rule stack; the screening positioning is quantified",framework_level_contribution_with_principled_routing
R04,"Your LLM baseline is unfair — you only tested one prompt, one model, one run, no variance","Two models (GPT-5.5, DeepSeek-V3) converge on the same strong_F1=0.0769; two prompt designs (standard, structured 5-step) both fail; single-run temperature 0 is acknowledged as a limitation (§IX.3); two additional prompts (decision-tree, few-shot) are pre-registered for gold-subset evaluation (Table G3)",weak,"Multi-prompt evaluation (decision-tree, few-shot); multi-run variance estimate; optional open-source LLM replication","L3.3 additional LLM prompts/models; pre-registered in Table G3","If additional prompts also fail to close the gap, the under-detection pattern is robust across prompts; if one closes it, the finding is downgraded to prompt-specific per §VII.G criterion 3",under_detection_pattern_observed_under_tested_prompts
R05,"R4 macro-F1 (0.3280) is 0.22 lower than LLM (0.5523) — how is this a contribution?","R4 is explicitly positioned as screening-oriented complement, not replacement (§IV.D, §VIII.A); FP/TP ratio ~4.9 is acceptable for high-recall screening; R4 accepts lower macro-F1 for higher strong_action recall; LLM judges retain higher macro-F1 and contradiction-F1 — this is stated, not hidden",medium,"Gold-subset FP/TP ratio (Table G3, threshold <= 10); screening cost-benefit curve; LLM+R4 hybrid evaluation","L1.4 R4 false-positive analysis; L2.5 re-score against gold; L3.4 cost-benefit curve","If gold FP/TP <= 10 and hybrid improves screening recall, the complement positioning is validated; if FP/TP > 10, screening claim is downgraded per §VII.G criterion 4",screening_oriented_complement_not_replacement
R06,"SimClaim is too artificial — it is AI-generated claims on AI-screened evidence, not real scientific claims","444 pairs across 111 evidence groups and 6 real domains; evidence is sourced from real papers; claims are controlled perturbations (not free generation); author sanity audit shows 7/7 supported cases are reasonable; trusted_case_bank has 18 clear illustrative cases",weak,"Expert review of SimClaim construction; release-ready data card; external expert adjudication of gold labels","L3.5 external expert adjudication; L3.6 release-ready benchmark documentation","SimClaim is a controlled diagnostic benchmark with real evidence and controlled claim perturbations — not a free-generation dataset",controlled_diagnostic_benchmark_not_free_generation
R07,"50 gold samples is too small to confirm a four-class taxonomy — you need 200+","50-sample pilot is designed to detect fatal taxonomy problems (κ < 0.40), not to confirm the taxonomy (§VII.F); a confirmatory study (300-500 pairs) is a separate follow-up; if the pilot passes, the paper proceeds to confirmatory; if it fails, the taxonomy is revised first",weak,"120-200 gold subset with tighter κ confidence intervals","L3.1 120-200 gold subset","The 50-sample pilot is a gating test, not a confirmatory study; the confirmatory study is L3.1",pilot_is_gating_test_confirmatory_is_separate
R08,"You only tested 6 domains — can this generalize to other scientific domains?","6 domains span simulation, robotics, autonomous driving, cyber defense, digital twin, policy — a broad spread of scientific/engineering areas; per-domain breakdown is planned (L1.6); cross-domain robustness is a Layer 3 item",weak,"Per-domain strong_action-F1 breakdown; cross-domain gold validation","L1.6 per-domain robustness summary; L3.2 cross-domain robustness with 120-200 gold","If the gap holds across all 6 domains, generalization is supported within the tested scope; cross-domain generalization beyond 6 domains is a stated limitation",cross_domain_within_tested_scope_generalization_unconfirmed_beyond
R09,"The under-detection pattern might be a prompt artifact — maybe a better prompt fixes it","Two prompt designs (standard, structured 5-step) both fail; the structured prompt explicitly asks about action/deployment claims and still misses; two additional prompts (decision-tree, few-shot) are pre-registered for gold evaluation (Table G3); if either closes the gap, the finding is downgraded per §VII.G criterion 3",medium,"Multi-prompt gold evaluation (decision-tree, few-shot, optional chain-of-thought)","L3.3 additional LLM prompts; Table G3 pre-registered","If additional prompts also fail, the pattern is robust across tested prompts; if one succeeds, the finding is downgraded honestly",under_detection_under_tested_prompts_additional_prompts_pre_registered
R10,"How is this different from SciFact/FEVER? Those already do scientific claim verification","SciFact/FEVER use support/refute/NEI (3-class); this paper uses a 4-class taxonomy with strong_action_overclaim as a distinct class; public datasets have no action-overclaim labels; the external transferability probe (§VI.D) confirms public data cannot test the four-class taxonomy; the contribution is the evidence-sufficiency calibration framing, not a better support/refute classifier",strong,"Clear positioning statement; transferability probe results; taxonomy comparison table","L1.8 reviewer threat model; L1.2 taxonomy decision tree with boundary rules","The contribution is a new task formulation (evidence sufficiency calibration), not an incremental improvement on SciFact/FEVER",new_task_formulation_distinct_from_support_refute_nei
