candidate_id,rank,page_number,section_hint,text_sha256,n_words,bm25_score
SBV2-ALL92-G002-SUPPORTED,1,1,unknown,31793593e90de83c71b79d73eee4260e2948b78839154b8d050d81dce6ab0c11,30,63.087129
SBV2-ALL92-G002-SUPPORTED,2,2,unknown,60c1f9b038dd83002274fc376becaa4d798a8453b4097f2e814b8303d0f6cef4,90,32.948289
SBV2-ALL92-G002-SUPPORTED,3,4,unknown,d1bf60eaa586f103b946a2959f17f15f9018b753f19828d1a3d3c48de3dfa7c1,24,30.545407
SBV2-ALL92-G002-MILD,1,1,unknown,31793593e90de83c71b79d73eee4260e2948b78839154b8d050d81dce6ab0c11,30,50.04016
SBV2-ALL92-G002-MILD,2,4,unknown,d1bf60eaa586f103b946a2959f17f15f9018b753f19828d1a3d3c48de3dfa7c1,24,30.545407
SBV2-ALL92-G002-MILD,3,2,unknown,60c1f9b038dd83002274fc376becaa4d798a8453b4097f2e814b8303d0f6cef4,90,30.094944
SBV2-ALL92-G002-STRONG,1,1,unknown,31793593e90de83c71b79d73eee4260e2948b78839154b8d050d81dce6ab0c11,30,42.15069
SBV2-ALL92-G002-STRONG,2,3,unknown,ecd054ab3c83ac9cc931728864832b5e0a4ab7813378ce3207a168ba69425154,13,38.720073
SBV2-ALL92-G002-STRONG,3,7,unknown,6d3c1b79d1982e29a12cb505778a48f27cf9e7c3f910f67f0816c655d552cc51,17,31.559216
SBV2-ALL92-G002-CONTRA,1,1,unknown,31793593e90de83c71b79d73eee4260e2948b78839154b8d050d81dce6ab0c11,30,32.313862
SBV2-ALL92-G002-CONTRA,2,15,unknown,fdbb836134edb4c6175c26c76afd99bd2ac46bdd1e2f93d8bc1d9ea5d54442f6,21,25.18387
SBV2-ALL92-G002-CONTRA,3,3,unknown,52ad8b93919c90135ce195005e1b1feb430864e5c922fa01101cf2b290dfd353,9,23.616621
SBV2-ALL92-G003-SUPPORTED,1,1,abstract,05a04b9bee82765e650aa1c1299b5adb17695b2febaae24b15324148593d85c6,23,68.686417
SBV2-ALL92-G003-SUPPORTED,2,7,unknown,7f1e3bfdfa3dd32cb797e89ea2290970957f27a099a305a4edf585accd5d33f9,30,53.671636
SBV2-ALL92-G003-SUPPORTED,3,7,unknown,ef796e5d4cc93343ea64f5c5b6513a780529979af3bdca81386c29f800e06add,31,52.495046
SBV2-ALL92-G003-MILD,1,1,abstract,05a04b9bee82765e650aa1c1299b5adb17695b2febaae24b15324148593d85c6,23,65.028264
SBV2-ALL92-G003-MILD,2,7,unknown,7f1e3bfdfa3dd32cb797e89ea2290970957f27a099a305a4edf585accd5d33f9,30,50.368382
SBV2-ALL92-G003-MILD,3,7,unknown,ef796e5d4cc93343ea64f5c5b6513a780529979af3bdca81386c29f800e06add,31,49.270012
SBV2-ALL92-G003-STRONG,1,1,abstract,05a04b9bee82765e650aa1c1299b5adb17695b2febaae24b15324148593d85c6,23,65.028264
SBV2-ALL92-G003-STRONG,2,7,unknown,7f1e3bfdfa3dd32cb797e89ea2290970957f27a099a305a4edf585accd5d33f9,30,47.045368
SBV2-ALL92-G003-STRONG,3,7,unknown,ef796e5d4cc93343ea64f5c5b6513a780529979af3bdca81386c29f800e06add,31,46.025686
SBV2-ALL92-G003-CONTRA,1,1,abstract,05a04b9bee82765e650aa1c1299b5adb17695b2febaae24b15324148593d85c6,23,37.992032
SBV2-ALL92-G003-CONTRA,2,7,unknown,7f1e3bfdfa3dd32cb797e89ea2290970957f27a099a305a4edf585accd5d33f9,30,34.656672
SBV2-ALL92-G003-CONTRA,3,7,unknown,ef796e5d4cc93343ea64f5c5b6513a780529979af3bdca81386c29f800e06add,31,33.836015
SBV2-ALL92-G004-SUPPORTED,1,5,unknown,1371575d2ee6003cf2a2888697bbfa488c6d858169ce0f7eafb508a32dc06f4e,40,84.694218
SBV2-ALL92-G004-SUPPORTED,2,5,experiment,1371575d2ee6003cf2a2888697bbfa488c6d858169ce0f7eafb508a32dc06f4e,40,84.694218
