taxonomy,method,silver_class,pred_class,count
1_original_4class,r4,contradiction_candidate,contradiction_candidate,17
1_original_4class,r4,contradiction_candidate,mild_scope_overclaim,6
1_original_4class,r4,contradiction_candidate,strong_action_overclaim,1
1_original_4class,r4,contradiction_candidate,supported,1
1_original_4class,r4,mild_scope_overclaim,contradiction_candidate,2
1_original_4class,r4,mild_scope_overclaim,mild_scope_overclaim,6
1_original_4class,r4,mild_scope_overclaim,strong_action_overclaim,13
1_original_4class,r4,mild_scope_overclaim,supported,4
1_original_4class,r4,strong_action_overclaim,contradiction_candidate,6
1_original_4class,r4,strong_action_overclaim,mild_scope_overclaim,8
1_original_4class,r4,strong_action_overclaim,strong_action_overclaim,9
1_original_4class,r4,strong_action_overclaim,supported,2
1_original_4class,r4,supported,contradiction_candidate,0
1_original_4class,r4,supported,mild_scope_overclaim,11
1_original_4class,r4,supported,strong_action_overclaim,12
1_original_4class,r4,supported,supported,2
1_original_4class,gpt_standard,contradiction_candidate,contradiction_candidate,24
1_original_4class,gpt_standard,contradiction_candidate,mild_scope_overclaim,1
1_original_4class,gpt_standard,contradiction_candidate,strong_action_overclaim,0
1_original_4class,gpt_standard,contradiction_candidate,supported,0
1_original_4class,gpt_standard,mild_scope_overclaim,contradiction_candidate,7
1_original_4class,gpt_standard,mild_scope_overclaim,mild_scope_overclaim,16
1_original_4class,gpt_standard,mild_scope_overclaim,strong_action_overclaim,0
1_original_4class,gpt_standard,mild_scope_overclaim,supported,2
1_original_4class,gpt_standard,strong_action_overclaim,contradiction_candidate,14
1_original_4class,gpt_standard,strong_action_overclaim,mild_scope_overclaim,10
1_original_4class,gpt_standard,strong_action_overclaim,strong_action_overclaim,1
1_original_4class,gpt_standard,strong_action_overclaim,supported,0
1_original_4class,gpt_standard,supported,contradiction_candidate,0
1_original_4class,gpt_standard,supported,mild_scope_overclaim,4
1_original_4class,gpt_standard,supported,strong_action_overclaim,0
1_original_4class,gpt_standard,supported,supported,21
1_original_4class,gpt_structured,contradiction_candidate,contradiction_candidate,24
1_original_4class,gpt_structured,contradiction_candidate,mild_scope_overclaim,1
1_original_4class,gpt_structured,contradiction_candidate,strong_action_overclaim,0
1_original_4class,gpt_structured,contradiction_candidate,supported,0
1_original_4class,gpt_structured,mild_scope_overclaim,contradiction_candidate,7
1_original_4class,gpt_structured,mild_scope_overclaim,mild_scope_overclaim,14
1_original_4class,gpt_structured,mild_scope_overclaim,strong_action_overclaim,0
1_original_4class,gpt_structured,mild_scope_overclaim,supported,4
1_original_4class,gpt_structured,strong_action_overclaim,contradiction_candidate,14
1_original_4class,gpt_structured,strong_action_overclaim,mild_scope_overclaim,10
1_original_4class,gpt_structured,strong_action_overclaim,strong_action_overclaim,1
1_original_4class,gpt_structured,strong_action_overclaim,supported,0
1_original_4class,gpt_structured,supported,contradiction_candidate,0
1_original_4class,gpt_structured,supported,mild_scope_overclaim,1
1_original_4class,gpt_structured,supported,strong_action_overclaim,0
1_original_4class,gpt_structured,supported,supported,24
1_original_4class,deepseek,contradiction_candidate,contradiction_candidate,21
1_original_4class,deepseek,contradiction_candidate,mild_scope_overclaim,2
1_original_4class,deepseek,contradiction_candidate,strong_action_overclaim,0
1_original_4class,deepseek,contradiction_candidate,supported,2
1_original_4class,deepseek,mild_scope_overclaim,contradiction_candidate,1
1_original_4class,deepseek,mild_scope_overclaim,mild_scope_overclaim,13
1_original_4class,deepseek,mild_scope_overclaim,strong_action_overclaim,0
1_original_4class,deepseek,mild_scope_overclaim,supported,11
1_original_4class,deepseek,strong_action_overclaim,contradiction_candidate,5
1_original_4class,deepseek,strong_action_overclaim,mild_scope_overclaim,10
1_original_4class,deepseek,strong_action_overclaim,strong_action_overclaim,1
1_original_4class,deepseek,strong_action_overclaim,supported,9
1_original_4class,deepseek,supported,contradiction_candidate,0
1_original_4class,deepseek,supported,mild_scope_overclaim,0
1_original_4class,deepseek,supported,strong_action_overclaim,0
1_original_4class,deepseek,supported,supported,25
2_supported_overclaim_contradiction,r4,contradiction_candidate,contradiction_candidate,17
2_supported_overclaim_contradiction,r4,contradiction_candidate,overclaim,7
2_supported_overclaim_contradiction,r4,contradiction_candidate,supported,1
2_supported_overclaim_contradiction,r4,overclaim,contradiction_candidate,8
2_supported_overclaim_contradiction,r4,overclaim,overclaim,36
2_supported_overclaim_contradiction,r4,overclaim,supported,6
2_supported_overclaim_contradiction,r4,supported,contradiction_candidate,0
2_supported_overclaim_contradiction,r4,supported,overclaim,23
2_supported_overclaim_contradiction,r4,supported,supported,2
2_supported_overclaim_contradiction,gpt_standard,contradiction_candidate,contradiction_candidate,24
2_supported_overclaim_contradiction,gpt_standard,contradiction_candidate,overclaim,1
2_supported_overclaim_contradiction,gpt_standard,contradiction_candidate,supported,0
2_supported_overclaim_contradiction,gpt_standard,overclaim,contradiction_candidate,21
2_supported_overclaim_contradiction,gpt_standard,overclaim,overclaim,27
2_supported_overclaim_contradiction,gpt_standard,overclaim,supported,2
2_supported_overclaim_contradiction,gpt_standard,supported,contradiction_candidate,0
2_supported_overclaim_contradiction,gpt_standard,supported,overclaim,4
2_supported_overclaim_contradiction,gpt_standard,supported,supported,21
2_supported_overclaim_contradiction,gpt_structured,contradiction_candidate,contradiction_candidate,24
2_supported_overclaim_contradiction,gpt_structured,contradiction_candidate,overclaim,1
2_supported_overclaim_contradiction,gpt_structured,contradiction_candidate,supported,0
2_supported_overclaim_contradiction,gpt_structured,overclaim,contradiction_candidate,21
2_supported_overclaim_contradiction,gpt_structured,overclaim,overclaim,25
2_supported_overclaim_contradiction,gpt_structured,overclaim,supported,4
2_supported_overclaim_contradiction,gpt_structured,supported,contradiction_candidate,0
2_supported_overclaim_contradiction,gpt_structured,supported,overclaim,1
2_supported_overclaim_contradiction,gpt_structured,supported,supported,24
2_supported_overclaim_contradiction,deepseek,contradiction_candidate,contradiction_candidate,21
2_supported_overclaim_contradiction,deepseek,contradiction_candidate,overclaim,2
2_supported_overclaim_contradiction,deepseek,contradiction_candidate,supported,2
2_supported_overclaim_contradiction,deepseek,overclaim,contradiction_candidate,6
2_supported_overclaim_contradiction,deepseek,overclaim,overclaim,24
2_supported_overclaim_contradiction,deepseek,overclaim,supported,20
2_supported_overclaim_contradiction,deepseek,supported,contradiction_candidate,0
2_supported_overclaim_contradiction,deepseek,supported,overclaim,0
2_supported_overclaim_contradiction,deepseek,supported,supported,25
3_acceptable_strong_contradiction,r4,acceptable,acceptable,23
3_acceptable_strong_contradiction,r4,acceptable,contradiction_candidate,2
3_acceptable_strong_contradiction,r4,acceptable,strong_action_overclaim,25
3_acceptable_strong_contradiction,r4,contradiction_candidate,acceptable,7
3_acceptable_strong_contradiction,r4,contradiction_candidate,contradiction_candidate,17
3_acceptable_strong_contradiction,r4,contradiction_candidate,strong_action_overclaim,1
3_acceptable_strong_contradiction,r4,strong_action_overclaim,acceptable,10
3_acceptable_strong_contradiction,r4,strong_action_overclaim,contradiction_candidate,6
3_acceptable_strong_contradiction,r4,strong_action_overclaim,strong_action_overclaim,9
3_acceptable_strong_contradiction,gpt_standard,acceptable,acceptable,43
3_acceptable_strong_contradiction,gpt_standard,acceptable,contradiction_candidate,7
3_acceptable_strong_contradiction,gpt_standard,acceptable,strong_action_overclaim,0
3_acceptable_strong_contradiction,gpt_standard,contradiction_candidate,acceptable,1
3_acceptable_strong_contradiction,gpt_standard,contradiction_candidate,contradiction_candidate,24
3_acceptable_strong_contradiction,gpt_standard,contradiction_candidate,strong_action_overclaim,0
3_acceptable_strong_contradiction,gpt_standard,strong_action_overclaim,acceptable,10
3_acceptable_strong_contradiction,gpt_standard,strong_action_overclaim,contradiction_candidate,14
3_acceptable_strong_contradiction,gpt_standard,strong_action_overclaim,strong_action_overclaim,1
3_acceptable_strong_contradiction,gpt_structured,acceptable,acceptable,43
3_acceptable_strong_contradiction,gpt_structured,acceptable,contradiction_candidate,7
3_acceptable_strong_contradiction,gpt_structured,acceptable,strong_action_overclaim,0
3_acceptable_strong_contradiction,gpt_structured,contradiction_candidate,acceptable,1
3_acceptable_strong_contradiction,gpt_structured,contradiction_candidate,contradiction_candidate,24
3_acceptable_strong_contradiction,gpt_structured,contradiction_candidate,strong_action_overclaim,0
3_acceptable_strong_contradiction,gpt_structured,strong_action_overclaim,acceptable,10
3_acceptable_strong_contradiction,gpt_structured,strong_action_overclaim,contradiction_candidate,14
3_acceptable_strong_contradiction,gpt_structured,strong_action_overclaim,strong_action_overclaim,1
3_acceptable_strong_contradiction,deepseek,acceptable,acceptable,49
3_acceptable_strong_contradiction,deepseek,acceptable,contradiction_candidate,1
3_acceptable_strong_contradiction,deepseek,acceptable,strong_action_overclaim,0
3_acceptable_strong_contradiction,deepseek,contradiction_candidate,acceptable,4
3_acceptable_strong_contradiction,deepseek,contradiction_candidate,contradiction_candidate,21
