sample_id,candidate_id,label_4,domain,source_id,claim_text_preview,evidence_text_preview,r4_correct_unknown,fragile_case_flag,claim_text,evidence_text
LLM_001,SBV2-ALL92-G043-C01,supported,autonomous_driving,AD-016,HABIT evaluates three recent end-to-end autonomy agents on semantically grounded,Prediction and Planning on HABIT We evaluate three recent end-to-end autonomous ,runtime_check_needed,none,HABIT evaluates three recent end-to-end autonomy agents on semantically grounded pedestrian behaviors in the prediction and planning study reported by the authors.,Prediction and Planning on HABIT We evaluate three recent end-to-end autonomous driving agents on HABIT’s semantically diverse pedestrian behav- iors.
LLM_002,SBV2-ALL92-G027-C01,supported,autonomous_driving,AD-009,"ScenePilot-Bench remains open-loop, with downstream control effects in a closed-","First, ScenePilot-Bench remains an open-loop benchmark, and therefore does not d",runtime_check_needed,none,"ScenePilot-Bench remains open-loop, with downstream control effects in a closed-loop vehicle system absent from direct measurement by the benchmark.","First, ScenePilot-Bench remains an open-loop benchmark, and therefore does not directly measure the downstream control effect of model outputs in a closed-loop driving system."
LLM_003,SBV2-ALL92-G040-C01,supported,autonomous_driving,AD-015,DriveE2E implements five classical E2EAD models as baseline methods for the expe,4 EXPERIMENTS 4.1 BASELINES AND IMPLEMENTATION DETAILS We implement five classic,runtime_check_needed,none,DriveE2E implements five classical E2EAD models as baseline methods for the experiments and comparative evaluation reported in the benchmark study.,4 EXPERIMENTS 4.1 BASELINES AND IMPLEMENTATION DETAILS We implement five classical End-to-End Autonomous Driving (E2EAD) models as baseline meth- ods.
LLM_004,SBV2-ALL92-G036-C01,supported,autonomous_driving,AD-012,Bench2Drive describes missing official training data as a reason that method com,"As widely discussed in the community [42, 43], the lack of an official training ",runtime_check_needed,none,Bench2Drive describes missing official training data as a reason that method comparisons operate at system level rather than algorithm level.,"As widely discussed in the community [42, 43], the lack of an official training set makes the comparisons of different methods in the system-level instead of the algorithm-level.Bench2Drive deal with these shortcomings by offering a large-scale, annotation-rich official training dataset alongside a multi-ability evaluation set."
LLM_005,SBV2-ALL92-G030-C01,supported,autonomous_driving,AD-010,The paper states that safety under open-world conditions remains a significant b,"Despite these developments, ensuring safety under open- world conditions remains",runtime_check_needed,none,The paper states that safety under open-world conditions remains a significant barrier to large-scale adoption of autonomous systems despite recent progress.,"Despite these developments, ensuring safety under open- world conditions remains a significant barrier to large-scale deployment."
LLM_006,SBV2-ALL92-G052-C01,supported,autonomous_driving,AD-019,The experiment setup trained the SAC algorithm with eight NVIDIA A6000 GPUs and ,"Experiment Setup In conducting the experiments, we trained our SAC al- gorithm u",runtime_check_needed,none,The experiment setup trained the SAC algorithm with eight NVIDIA A6000 GPUs and sixty-four CPUs for forty-three hours.,"Experiment Setup In conducting the experiments, we trained our SAC al- gorithm utilizing NVIDIA A6000 GPUs (8 GPUs) and 64 CPUs, for 43 hours."
LLM_007,SBV2-ALL92-G034-C01,supported,autonomous_driving,AD-012,Bench2Drive implements state-of-the-art E2E-AD models and evaluates them to prov,"We implement state-of-the-art E2E-AD models and evaluate them in Bench2Drive, pr",runtime_check_needed,none,Bench2Drive implements state-of-the-art E2E-AD models and evaluates them to provide insights on current status and future research directions.,"We implement state-of-the-art E2E-AD models and evaluate them in Bench2Drive, providing insights regarding current status and future directions."
LLM_008,SBV2-ALL92-G025-C01,supported,autonomous_driving,AD-009,"ScenePilot-Bench evaluation covers representative commercial, open-source, and v",5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representativ,runtime_check_needed,none,"ScenePilot-Bench evaluation covers representative commercial, open-source, and vehicle-specialized VLMs as baseline models for the reported benchmark experiments section.","5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representative commercial, open-source, and driving- specialized VLMs on ScenePilot-Bench."
LLM_009,SBV2-ALL92-G018-C01,supported,autonomous_driving,AD-006,"BENCH2ADVLM reports that overall ADVLM performance remains relatively low, indic","The overall performance of all ADVLMs remains relatively low, indicating that cu",runtime_check_needed,none,"BENCH2ADVLM reports that overall ADVLM performance remains relatively low, indicating current models still face significant limitations in closed-loop evaluation.","The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations."
LLM_010,SBV2-ALL92-G031-C01,supported,autonomous_driving,AD-011,The DriveVLM experiments train models on the training split and evaluate test pe,We train models on the training split and use our proposed scene description and,runtime_check_needed,none,The DriveVLM experiments train models on the training split and evaluate test performance with scene-description and meta-action metrics.,We train models on the training split and use our proposed scene description and meta-action metrics to evaluate model performance on the test split.
LLM_011,SBV2-ALL92-G019-C01,supported,autonomous_driving,AD-007,The study employs LLaVA-Interleave as the base VLM and fine-tunes it for two epo,Implementation Details We consistently employ LLaVA-Interleave as the base VLM m,runtime_check_needed,none,The study employs LLaVA-Interleave as the base VLM and fine-tunes it for two epochs on nuScenes with a learning rate of 2e-4.,"Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4."
LLM_012,SBV2-ALL92-G062-C01,supported,autonomous_driving,AD-023,The evaluation reports that the adapted HPNet model reaches prediction accuracy ,Evaluation results show that the adapted HPNet model achieves prediction accurac,runtime_check_needed,none,The evaluation reports that the adapted HPNet model reaches prediction accuracy on simulated work-zone datasets comparable to Argoverse and INTERACTION benchmarks.,"Evaluation results show that the adapted HPNet model achieves prediction accuracy on simulated work zone datasets, on par with benchmarks from established datasets, such as Argov- erse and INTERACTION."
LLM_013,SBV2-ALL92-G002-SUPPORTED,supported,autonomous_driving,AD-001,nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robu,"More- over, we extend the benchmark with two complementary metrics, Success Rate",runtime_check_needed,none,nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions."
LLM_014,SBV2-ALL92-G008-SUPPORTED,supported,autonomous_driving,AD-003,"HiDrive states that benchmark saturation reflects limited case diversity, object","This satura- tion does not mean that the problem has been solved; instead, it re",runtime_check_needed,none,"HiDrive states that benchmark saturation reflects limited case diversity, object variety, and capability breadth rather than solved autonomy evaluation.","This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate."
