file_or_folder,original_location,archive_location,reason_archived,notes
paper_versions_ordered\V1_original_OCN,D:\ocn\paper_versions_ordered\V1_original_OCN,D:\ocn\_ARCHIVE_NON_MAINLINE\paper_versions_ordered\V1_original_OCN,Old paper version (V1); superseded by V3.7,Original OCN draft
paper_versions_ordered\V2_evidence_aware_hierarchical,D:\ocn\paper_versions_ordered\V2_evidence_aware_hierarchical,D:\ocn\_ARCHIVE_NON_MAINLINE\paper_versions_ordered\V2_evidence_aware_hierarchical,Old paper version (V2); superseded by V3.7,Evidence-aware hierarchical draft
paper_versions_ordered\V3_1_evidence_sufficiency_llm_blindspot,D:\ocn\paper_versions_ordered\V3_1_evidence_sufficiency_llm_blindspot,D:\ocn\_ARCHIVE_NON_MAINLINE\paper_versions_ordered\V3_1_evidence_sufficiency_llm_blindspot,Old paper version (V3.1); superseded by V3.7,First evidence-sufficiency draft
paper_versions_ordered\V3_1_evidence_sufficiency_llm_blindspot_review,D:\ocn\paper_versions_ordered\V3_1_evidence_sufficiency_llm_blindspot_review,D:\ocn\_ARCHIVE_NON_MAINLINE\paper_versions_ordered\V3_1_evidence_sufficiency_llm_blindspot_review,Old review materials for V3.1,Review notes
paper_versions_ordered\V3_2_p0_repaired_evidence_sufficiency,D:\ocn\paper_versions_ordered\V3_2_p0_repaired_evidence_sufficiency,D:\ocn\_ARCHIVE_NON_MAINLINE\paper_versions_ordered\V3_2_p0_repaired_evidence_sufficiency,Old paper version (V3.2); superseded by V3.7,Contains author_sanity_audit_40.csv referenced by V3.7
paper_versions_ordered\V3_3_reviewer_defense_polished,D:\ocn\paper_versions_ordered\V3_3_reviewer_defense_polished,D:\ocn\_ARCHIVE_NON_MAINLINE\paper_versions_ordered\V3_3_reviewer_defense_polished,Old paper version (V3.3); superseded by V3.7,Reviewer defense polish
paper_versions_ordered\V3_mixed_framework_v2_R4,D:\ocn\paper_versions_ordered\V3_mixed_framework_v2_R4,D:\ocn\_ARCHIVE_NON_MAINLINE\paper_versions_ordered\V3_mixed_framework_v2_R4,Old paper version (V3 mixed framework v2 R4); superseded by V3.7,Earlier R4 draft
experiments\cese_ocn_hcm_v1,D:\ocn\experiments\cese_ocn_hcm_v1,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\cese_ocn_hcm_v1,Old experiment; not referenced by V3.7,Old CESE HCM
experiments\cese_ocn_lite_v3,D:\ocn\experiments\cese_ocn_lite_v3,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\cese_ocn_lite_v3,Old experiment; not referenced by V3.7,Old CESE lite v3
experiments\cese_ocn_mixed_framework_v1,D:\ocn\experiments\cese_ocn_mixed_framework_v1,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\cese_ocn_mixed_framework_v1,Old experiment (v1); superseded by v2,Old mixed framework v1
experiments\cese_ocn_structured_v1,D:\ocn\experiments\cese_ocn_structured_v1,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\cese_ocn_structured_v1,Old experiment; not referenced by V3.7,Old structured variant
experiments\escalation_focused_pilot_v1,D:\ocn\experiments\escalation_focused_pilot_v1,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\escalation_focused_pilot_v1,Old pilot; not referenced by V3.7,Old escalation pilot
experiments\escalation_focused_pilot_v1_revised,D:\ocn\experiments\escalation_focused_pilot_v1_revised,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\escalation_focused_pilot_v1_revised,Old pilot revised; not referenced by V3.7,Old escalation pilot revised
experiments\escalation_stability_v1,D:\ocn\experiments\escalation_stability_v1,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\escalation_stability_v1,Old experiment; not referenced by V3.7,Old escalation stability
experiments\evidence_aware_baseline_probe_v1,D:\ocn\experiments\evidence_aware_baseline_probe_v1,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\evidence_aware_baseline_probe_v1,Old experiment; not referenced by V3.7,Old evidence-aware probe
experiments\evidence_aware_frozen_encoder_v1,D:\ocn\experiments\evidence_aware_frozen_encoder_v1,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\evidence_aware_frozen_encoder_v1,Old experiment; not referenced by V3.7,Old frozen encoder
experiments\evidence_aware_sanity_check_v1,D:\ocn\experiments\evidence_aware_sanity_check_v1,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\evidence_aware_sanity_check_v1,Old sanity check; not referenced by V3.7,Old sanity check
experiments\evidence_conditioned_update_v1,D:\ocn\experiments\evidence_conditioned_update_v1,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\evidence_conditioned_update_v1,Old experiment; not referenced by V3.7,Old evidence-conditioned update
experiments\formal_baseline_v1_150,D:\ocn\experiments\formal_baseline_v1_150,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\formal_baseline_v1_150,Old formal baseline; not referenced by V3.7,Old formal baseline
experiments\llm_baseline_v1_150,D:\ocn\experiments\llm_baseline_v1_150,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\llm_baseline_v1_150,Old LLM baseline (150 samples); superseded by llm_judge_baseline_v1 (200 samples),Old LLM baseline
experiments\paper_readiness_v2_evidence_aware,D:\ocn\experiments\paper_readiness_v2_evidence_aware,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\paper_readiness_v2_evidence_aware,Old readiness check; not referenced by V3.7,Old readiness v2
experiments\paper_v2_bootstrap_ci,D:\ocn\experiments\paper_v2_bootstrap_ci,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\paper_v2_bootstrap_ci,Old bootstrap CI; superseded by paper_ready_mixed_framework_v2,Old bootstrap CI
experiments\paper_v2_domain_holdout_v1,D:\ocn\experiments\paper_v2_domain_holdout_v1,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\paper_v2_domain_holdout_v1,Old domain holdout; superseded by v3_r4_strong_baselines_holdout_v1,Old domain holdout
experiments\relaxed_train_strict_test_v1,D:\ocn\experiments\relaxed_train_strict_test_v1,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\relaxed_train_strict_test_v1,Old experiment; not referenced by V3.7,Old relaxed-train-strict-test
experiments\silver_core_group_complete_v1,D:\ocn\experiments\silver_core_group_complete_v1,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\silver_core_group_complete_v1,Old experiment; not referenced by V3.7,Old silver core group
experiments\simclaim_detemplate_v1_150_llm_small_eval,D:\ocn\experiments\simclaim_detemplate_v1_150_llm_small_eval,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_detemplate_v1_150_llm_small_eval,Old detemplate experiment; not referenced by V3.7,Old detemplate LLM eval
experiments\simclaim_detemplate_v1_150_small_baselines,D:\ocn\experiments\simclaim_detemplate_v1_150_small_baselines,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_detemplate_v1_150_small_baselines,Old detemplate baselines; not referenced by V3.7,Old detemplate baselines
experiments\simclaim_hardpair_v2_small_baselines,D:\ocn\experiments\simclaim_hardpair_v2_small_baselines,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_hardpair_v2_small_baselines,Old hardpair v2; not referenced by V3.7,Old hardpair v2
experiments\simclaim_hardpair_v2b_llm_small_eval,D:\ocn\experiments\simclaim_hardpair_v2b_llm_small_eval,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_hardpair_v2b_llm_small_eval,Old hardpair v2b; not referenced by V3.7,Old hardpair v2b LLM eval
experiments\simclaim_hardpair_v2b_small_baselines,D:\ocn\experiments\simclaim_hardpair_v2b_small_baselines,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_hardpair_v2b_small_baselines,Old hardpair v2b; not referenced by V3.7,Old hardpair v2b baselines
experiments\simclaim_hardpair_v3_llm_small_eval,D:\ocn\experiments\simclaim_hardpair_v3_llm_small_eval,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_hardpair_v3_llm_small_eval,Old hardpair v3; not referenced by V3.7,Old hardpair v3 LLM eval
experiments\simclaim_hardpair_v3_resplit_sweep,D:\ocn\experiments\simclaim_hardpair_v3_resplit_sweep,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_hardpair_v3_resplit_sweep,Old hardpair v3 sweep; not referenced by V3.7,Old hardpair v3 resplit sweep
experiments\simclaim_hardpair_v3_small_baselines,D:\ocn\experiments\simclaim_hardpair_v3_small_baselines,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_hardpair_v3_small_baselines,Old hardpair v3; not referenced by V3.7,Old hardpair v3 baselines
experiments\simclaim_hardpair_v3_targeted_balanced_resplit_seed50_small_baselines,D:\ocn\experiments\simclaim_hardpair_v3_targeted_balanced_resplit_seed50_small_baselines,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_hardpair_v3_targeted_balanced_resplit_seed50_small_baselines,Old hardpair v3 targeted; not referenced by V3.7,Old hardpair v3 targeted balanced
experiments\simclaim_hardpair_v3_targeted_balanced_resplit_sweep,D:\ocn\experiments\simclaim_hardpair_v3_targeted_balanced_resplit_sweep,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_hardpair_v3_targeted_balanced_resplit_sweep,Old hardpair v3 targeted sweep; not referenced by V3.7,Old hardpair v3 targeted sweep
experiments\simclaim_hardpair_v3_targeted_small_baselines,D:\ocn\experiments\simclaim_hardpair_v3_targeted_small_baselines,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_hardpair_v3_targeted_small_baselines,Old hardpair v3 targeted; not referenced by V3.7,Old hardpair v3 targeted baselines
experiments\simclaim_hardpair_v3b_llm_small_eval,D:\ocn\experiments\simclaim_hardpair_v3b_llm_small_eval,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_hardpair_v3b_llm_small_eval,Old hardpair v3b; not referenced by V3.7,Old hardpair v3b LLM eval
