candidate_id,variant_a,variant_b,true_label,pred_a,pred_b,evidence_hash_a,evidence_hash_b,n_words_a,n_words_b,comment_auto
SBV2-ALL92-G002-CONTRA,oracle_clean,oracle_lengthened,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,0945045487b4ee9e778c78aed068eddab1a3d5828651640f363763957da6b0bb,30,99,oracle_clean=contradiction_candidate vs oracle_lengthened=mild_scope_overclaim | true=contradiction_candidate | oracle_clean✓ oracle_lengthened✗
SBV2-ALL92-G002-CONTRA,raw_bm25_top1_chunk,canonicalized_best_sentence_top5,contradiction_candidate,strong_action_overclaim,contradiction_candidate,aec776c36e9eb7b5ffdcbb15b2ac411dee609485f88bbee1f774b6b68c5c651b,d1137302904410af2c255bc382fa506e8a736321125c5b8d68771c9eaee8b0c9,68,32,raw_bm25_top1_chunk=strong_action_overclaim vs canonicalized_best_sentence_top5=contradiction_candidate | true=contradiction_candidate | raw_bm25_top1_chunk✗ canonicalized_best_sentence_top5✓
SBV2-ALL92-G002-MILD,oracle_clean,oracle_lengthened,mild_scope_overclaim,strong_action_overclaim,supported,6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,b7291c60bf9cc3bf12bae4567ea56b28e4ee7aa1d6ccb59323496da3d27613e6,30,102,oracle_clean=strong_action_overclaim vs oracle_lengthened=supported | true=mild_scope_overclaim | oracle_clean✗ oracle_lengthened✗
SBV2-ALL92-G002-STRONG,oracle_clean,oracle_lengthened,strong_action_overclaim,strong_action_overclaim,supported,6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,702105f495b62c9d04e9928c824369044f3c70ea54ef2a1593be4c15fa2ee2a0,30,98,oracle_clean=strong_action_overclaim vs oracle_lengthened=supported | true=strong_action_overclaim | oracle_clean✓ oracle_lengthened✗
SBV2-ALL92-G002-STRONG,oracle_clean,oracle_plus_metadata,strong_action_overclaim,strong_action_overclaim,contradiction_candidate,6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,26cd84edd1a8f5178dd45eab2f919190a1d345f8412e6de1c654bd388ab39422,30,47,oracle_clean=strong_action_overclaim vs oracle_plus_metadata=contradiction_candidate | true=strong_action_overclaim | oracle_clean✓ oracle_plus_metadata✗
SBV2-ALL92-G002-SUPPORTED,oracle_clean,oracle_lengthened,supported,strong_action_overclaim,supported,6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,b7291c60bf9cc3bf12bae4567ea56b28e4ee7aa1d6ccb59323496da3d27613e6,30,102,oracle_clean=strong_action_overclaim vs oracle_lengthened=supported | true=supported | oracle_clean✗ oracle_lengthened✓
SBV2-ALL92-G002-SUPPORTED,oracle_clean,oracle_plus_metadata,supported,strong_action_overclaim,supported,6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,26cd84edd1a8f5178dd45eab2f919190a1d345f8412e6de1c654bd388ab39422,30,47,oracle_clean=strong_action_overclaim vs oracle_plus_metadata=supported | true=supported | oracle_clean✗ oracle_plus_metadata✓
SBV2-ALL92-G003-CONTRA,oracle_clean,oracle_lengthened,contradiction_candidate,contradiction_candidate,supported,05a04b9bee82765e650aa1c1299b5adb17695b2febaae24b15324148593d85c6,2609f560cb60f5697bbfbf828aa204f82f6e3b5ee3e2597ce1088f80542e789e,23,88,oracle_clean=contradiction_candidate vs oracle_lengthened=supported | true=contradiction_candidate | oracle_clean✓ oracle_lengthened✗
SBV2-ALL92-G003-MILD,raw_bm25_top1_chunk,canonicalized_best_sentence_top5,mild_scope_overclaim,mild_scope_overclaim,strong_action_overclaim,142b979cbb191b21bf531b0ef90c50b3acb95e2354af43c789b543a8b6c3518d,6b8fc263fb5dc3c214dc3f2f1c59778af2c880560d5852c0267ca2ea4149b88d,69,32,raw_bm25_top1_chunk=mild_scope_overclaim vs canonicalized_best_sentence_top5=strong_action_overclaim | true=mild_scope_overclaim | raw_bm25_top1_chunk✓ canonicalized_best_sentence_top5✗
SBV2-ALL92-G003-STRONG,raw_bm25_top1_chunk,canonicalized_best_sentence_top5,strong_action_overclaim,mild_scope_overclaim,strong_action_overclaim,142b979cbb191b21bf531b0ef90c50b3acb95e2354af43c789b543a8b6c3518d,7c857b8895430d044b8dabe12476c179fe8c91f7cfd88cf3f09e59bff060e288,69,16,raw_bm25_top1_chunk=mild_scope_overclaim vs canonicalized_best_sentence_top5=strong_action_overclaim | true=strong_action_overclaim | raw_bm25_top1_chunk✗ canonicalized_best_sentence_top5✓
SBV2-ALL92-G003-SUPPORTED,raw_bm25_top1_chunk,canonicalized_best_sentence_top5,supported,supported,strong_action_overclaim,142b979cbb191b21bf531b0ef90c50b3acb95e2354af43c789b543a8b6c3518d,6f7e9ff06d123a136056d226ddc22066b5b0da09afe0d9e5b05f758d3175e9c6,69,41,raw_bm25_top1_chunk=supported vs canonicalized_best_sentence_top5=strong_action_overclaim | true=supported | raw_bm25_top1_chunk✓ canonicalized_best_sentence_top5✗
SBV2-ALL92-G004-STRONG,oracle_clean,oracle_lengthened,strong_action_overclaim,supported,mild_scope_overclaim,1371575d2ee6003cf2a2888697bbfa488c6d858169ce0f7eafb508a32dc06f4e,4f3e39ba0ca63a149234741a8f6ca336d6f83850ef71823410a9c042ab9a35cf,40,123,oracle_clean=supported vs oracle_lengthened=mild_scope_overclaim | true=strong_action_overclaim | oracle_clean✗ oracle_lengthened✗
SBV2-ALL92-G004-STRONG,oracle_clean,oracle_plus_metadata,strong_action_overclaim,supported,mild_scope_overclaim,1371575d2ee6003cf2a2888697bbfa488c6d858169ce0f7eafb508a32dc06f4e,75a8b9e2539d17f6a776be159785a3e0784201fcc71879cc3001a818e0e6a26d,40,56,oracle_clean=supported vs oracle_plus_metadata=mild_scope_overclaim | true=strong_action_overclaim | oracle_clean✗ oracle_plus_metadata✗
SBV2-ALL92-G004-STRONG,raw_bm25_top1_chunk,canonicalized_best_sentence_top5,strong_action_overclaim,contradiction_candidate,supported,2072191c0cb97ed685c6f59591d8d31937b323568789b5f661e746d2df7cf649,1371575d2ee6003cf2a2888697bbfa488c6d858169ce0f7eafb508a32dc06f4e,85,40,raw_bm25_top1_chunk=contradiction_candidate vs canonicalized_best_sentence_top5=supported | true=strong_action_overclaim | raw_bm25_top1_chunk✗ canonicalized_best_sentence_top5✗
SBV2-ALL92-G007-CONTRA,oracle_clean,oracle_lengthened,contradiction_candidate,contradiction_candidate,supported,4436a4b7e7d88823269ee496be7704b5f18551ae7b94438c66ea381dbd2ba97d,a3f604d649073aa9e544440c5fbf5674957049986c121f6571e57517a642c3ef,24,106,oracle_clean=contradiction_candidate vs oracle_lengthened=supported | true=contradiction_candidate | oracle_clean✓ oracle_lengthened✗
SBV2-ALL92-G007-STRONG,raw_bm25_top1_chunk,canonicalized_best_sentence_top5,strong_action_overclaim,supported,strong_action_overclaim,089daafd05b3c88bf05b497bda6ad0666cdb2dbf5917e231aff8ff8b2580e000,42bb3ead909652089d3280121fe9083dbb19ad6796a921956b93f29790ca9872,76,16,raw_bm25_top1_chunk=supported vs canonicalized_best_sentence_top5=strong_action_overclaim | true=strong_action_overclaim | raw_bm25_top1_chunk✗ canonicalized_best_sentence_top5✓
SBV2-ALL92-G008-CONTRA,raw_bm25_top1_chunk,canonicalized_best_sentence_top5,contradiction_candidate,mild_scope_overclaim,contradiction_candidate,473021a2b4fc4ee8778122c760d2f071dc4c5fd1c665a2d583e165d499f6978b,d53116d0fe87a9e73b6bbf656014a6837b4946aacc806a48893ede41463f51a3,56,26,raw_bm25_top1_chunk=mild_scope_overclaim vs canonicalized_best_sentence_top5=contradiction_candidate | true=contradiction_candidate | raw_bm25_top1_chunk✗ canonicalized_best_sentence_top5✓
SBV2-ALL92-G008-MILD,oracle_clean,oracle_lengthened,mild_scope_overclaim,strong_action_overclaim,supported,c043baa4d27cad2db9da9e2bf022af0f6c3f03dd6d02b67ed3de4d7c6499b91c,240abb3853b552a53f5c6498ffdf5fe7684fdbb3c76a3637d03784258d36a3d0,33,96,oracle_clean=strong_action_overclaim vs oracle_lengthened=supported | true=mild_scope_overclaim | oracle_clean✗ oracle_lengthened✗
SBV2-ALL92-G008-MILD,oracle_clean,oracle_plus_metadata,mild_scope_overclaim,strong_action_overclaim,supported,c043baa4d27cad2db9da9e2bf022af0f6c3f03dd6d02b67ed3de4d7c6499b91c,ecfd65c5d3359b2f8cb51066b7ebe0bbe6e5897466aa32b4ed98b9c6daeb64cf,33,46,oracle_clean=strong_action_overclaim vs oracle_plus_metadata=supported | true=mild_scope_overclaim | oracle_clean✗ oracle_plus_metadata✗
SBV2-ALL92-G008-MILD,raw_bm25_top1_chunk,canonicalized_best_sentence_top5,mild_scope_overclaim,mild_scope_overclaim,strong_action_overclaim,473021a2b4fc4ee8778122c760d2f071dc4c5fd1c665a2d583e165d499f6978b,42bb3ead909652089d3280121fe9083dbb19ad6796a921956b93f29790ca9872,56,16,raw_bm25_top1_chunk=mild_scope_overclaim vs canonicalized_best_sentence_top5=strong_action_overclaim | true=mild_scope_overclaim | raw_bm25_top1_chunk✓ canonicalized_best_sentence_top5✗
SBV2-ALL92-G008-STRONG,oracle_clean,oracle_lengthened,strong_action_overclaim,strong_action_overclaim,supported,c043baa4d27cad2db9da9e2bf022af0f6c3f03dd6d02b67ed3de4d7c6499b91c,d3da24c68a44df80ef7b262945d142664893194f7eddb5934fa09a1b8d6b68b9,33,103,oracle_clean=strong_action_overclaim vs oracle_lengthened=supported | true=strong_action_overclaim | oracle_clean✓ oracle_lengthened✗
SBV2-ALL92-G008-STRONG,oracle_clean,oracle_plus_metadata,strong_action_overclaim,strong_action_overclaim,supported,c043baa4d27cad2db9da9e2bf022af0f6c3f03dd6d02b67ed3de4d7c6499b91c,ecfd65c5d3359b2f8cb51066b7ebe0bbe6e5897466aa32b4ed98b9c6daeb64cf,33,46,oracle_clean=strong_action_overclaim vs oracle_plus_metadata=supported | true=strong_action_overclaim | oracle_clean✓ oracle_plus_metadata✗
SBV2-ALL92-G008-STRONG,raw_bm25_top1_chunk,canonicalized_best_sentence_top5,strong_action_overclaim,mild_scope_overclaim,strong_action_overclaim,473021a2b4fc4ee8778122c760d2f071dc4c5fd1c665a2d583e165d499f6978b,42bb3ead909652089d3280121fe9083dbb19ad6796a921956b93f29790ca9872,56,16,raw_bm25_top1_chunk=mild_scope_overclaim vs canonicalized_best_sentence_top5=strong_action_overclaim | true=strong_action_overclaim | raw_bm25_top1_chunk✗ canonicalized_best_sentence_top5✓
