path,risk_level,risk_type,matched_field,line_or_row,message,recommendation
release_bundles\v3_17_confidential_public\data\toy_synthetic\pdf_stress_sources.jsonl,low,toy_validation,,line 1,Toy JSONL file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\data\toy_synthetic\toy_claims.jsonl,low,toy_validation,,line 1,Toy JSONL file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\data\toy_synthetic\toy_pdf_texts.jsonl,low,toy_validation,,line 1,Toy JSONL file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\bm25_sentence_retrieval_v1_toy\oracle_recall_summary.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\bm25_sentence_retrieval_v1_toy\retrieval_config.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\bm25_sentence_retrieval_v1_toy\retrieval_examples_redacted.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\bm25_sentence_retrieval_v1_toy\schema_validation_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\canonicalizer_ablation_v1_toy\canonicalizer_config.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\canonicalizer_ablation_v1_toy\leakage_guard_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\canonicalizer_ablation_v1_toy\schema_validation_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\canonicalizer_ablation_v1_toy\selector_examples_redacted.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\canonicalizer_ablation_v1_toy\selector_metrics_summary.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\format_shift_ablation_v1_toy\format_shift_config.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
