sample_id,candidate_id,label_4_silver,parse_status,label,confidence,one_sentence_rationale,evidence_used,uncertain,warnings,model,latency,input_tokens_est,output_tokens_est,cost_estimate
LLM_181,SBV2-ALL92-G124-C04,contradiction_candidate,ok,contradiction_candidate,0.98,"The claim says the process disregarded surrogate prediction accuracy and sensor monitoring feasibility, while the evidence explicitly says both were considered.",True,False,,gpt-5.5,6.85,676,88,0.0047
LLM_132,SBV2-ALL92-G186-C03,strong_action_overclaim,ok,contradiction_candidate,0.95,"The evidence states that marked differences limit transferability to real-world applications, directly conflicting with the claim that they still provide reliable transfer to industrial applications.",True,False,,gpt-5.5,7.39,667,109,0.00497
LLM_144,SBV2-ALL92-G232-C03,strong_action_overclaim,ok,mild_scope_overclaim,0.86,"The evidence supports altering production skill requirements midway through the simulation and the '0 to Event' marking, but it does not mention changing labor preferences or explicitly name SimCity.",True,False,,gpt-5.5,9.68,682,197,0.006365
LLM_094,SBV2-ALL92-G226-C02,mild_scope_overclaim,ok,mild_scope_overclaim,0.9,"The evidence supports steeper declines for highly vulnerable agents in perceived safety and social connection, but it does not mention comfort, so the claim slightly broadens the supported metrics.",True,False,,gpt-5.5,6.01,683,111,0.00508
LLM_093,SBV2-ALL92-G254-C02,mild_scope_overclaim,ok,mild_scope_overclaim,0.88,"The evidence supports future work on validation frameworks for accuracy and reliability in urban planning applications, but the claim adds transferability and application studies that are not stated in the evidence.",True,False,,gpt-5.5,8.03,665,152,0.005605
LLM_089,SBV2-ALL92-G256-C02,mild_scope_overclaim,ok,mild_scope_overclaim,0.78,"The evidence supports large speedup potential relative to online LLM inference and hardware-dependent throughput, but the claim slightly broadens/changes the qualifier by omitting “typical settings” and specifying “routing details” instead of the evidence’s broader “implementation details.”",True,False,,gpt-5.5,14.36,679,353,0.00869
LLM_046,SBV2-ALL92-G232-C01,supported,ok,supported,0.95,"The evidence directly states that the shock is implemented by altering production skill requirements midway through the simulation and is denoted as “0 to Event” in Figure 7, matching the claim.",True,False,,gpt-5.5,12.31,679,289,0.00773
LLM_167,SBV2-ALL92-G091-C04,contradiction_candidate,ok,contradiction_candidate,0.99,"The claim says the study evaluates against no baselines, while the evidence explicitly states it evaluates methods against multiple baselines at different design stages.",True,False,,gpt-5.5,5.38,668,102,0.00487
LLM_034,SBV2-ALL92-G186-C01,supported,ok,supported,0.97,"The evidence directly states that many academic benchmarks differ markedly from industrial control problems and that this limits transferability to real-world applications, matching the claim.",True,False,,gpt-5.5,6.24,666,124,0.00519
LLM_001,SBV2-ALL92-G043-C01,supported,ok,mild_scope_overclaim,0.72,"The evidence supports that the authors evaluate three recent end-to-end autonomous driving agents on HABIT pedestrian behaviors in a prediction and planning setting, but it describes the behaviors as 'semantically diverse' rather than directly supporting the claim's 'semantically grounded' wording.",True,False,,gpt-5.5,14.86,682,359,0.008795
LLM_042,SBV2-ALL92-G255-C01,supported,ok,supported,0.97,"The evidence directly states that real-world data were used to simulate individual behaviors and large-scale mobility patterns in Taipei City, matching the claim's reference to empirical city data.",True,False,,gpt-5.5,5.41,664,103,0.004865
LLM_067,SBV2-ALL92-G092-C02,mild_scope_overclaim,ok,mild_scope_overclaim,0.92,"The evidence supports top performance across multiple adversaries for convergence speed, episodic return, and cybersecurity metrics, but it does not mention or support top performance in resource costs.",True,False,,gpt-5.5,10.8,707,155,0.00586
LLM_148,SBV2-ALL92-G161-C03,strong_action_overclaim,ok,contradiction_candidate,0.86,"The evidence supports the low-code step portion but explicitly says the work does not necessarily offer the best fine-tuned performance, conflicting with the claim that strong fine-tuned performance is presented as a central contribution.",True,False,,gpt-5.5,10.72,684,243,0.007065
LLM_081,SBV2-ALL92-G135-C02,mild_scope_overclaim,ok,supported,0.9,"The evidence directly states that across the RL approaches, a common limitation is simplistic BESS modeling often restricted to electrical behavior, matching the claim.",True,False,,gpt-5.5,13.73,680,270,0.00745
LLM_152,SBV2-ALL92-G040-C04,contradiction_candidate,ok,contradiction_candidate,0.99,"The claim states DriveE2E implements no classical E2EAD baseline models, while the evidence explicitly says it implements five classical E2EAD models as baseline methods.",True,False,,gpt-5.5,4.8,688,95,0.004865
LLM_047,SBV2-ALL92-G161-C01,supported,ok,supported,0.95,"The evidence directly states that the approach may not offer the best fine-tuned performance and is believed to be a step toward low-code applications, matching the claim.",True,False,,gpt-5.5,10.66,681,241,0.00702
LLM_188,SBV2-ALL92-G232-C04,contradiction_candidate,ok,contradiction_candidate,0.98,"The claim says the shock keeps production skill requirements unchanged midway, while the evidence says the shock is implemented by altering the skill requirements midway.",True,False,,gpt-5.5,6.05,680,112,0.00508
LLM_178,SBV2-ALL92-G135-C04,contradiction_candidate,ok,contradiction_candidate,0.98,"The claim says surveyed prior approaches report detailed BESS modeling of thermal, aging, and electrical behavior, while the evidence states they commonly use simplistic BESS modeling often restricted solely to electrical behavior.",True,False,,gpt-5.5,7.89,681,115,0.00513
LLM_036,SBV2-ALL92-G190-C01,supported,ok,mild_scope_overclaim,0.75,"The evidence supports that four cooperation paradigms are evaluated under a consistent setting for systematic comparison, but it does not explicitly mention Tool-RoCo or that this occurs specifically in a benchmark.",True,False,,gpt-5.5,10.55,682,235,0.006935
LLM_079,SBV2-ALL92-G108-C02,mild_scope_overclaim,ok,mild_scope_overclaim,0.82,"The evidence supports that the method is described as theoretically justified and not reliant on restrictive assumptions such as linear transitions, but it does not mention fixed noise terms, which slightly broadens the claim.",True,False,,gpt-5.5,9.73,679,221,0.00671
LLM_117,SBV2-ALL92-G083-C03,strong_action_overclaim,ok,contradiction_candidate,0.99,The claim’s reported improved values (0.950 F1-score and 95.0% mitigation success) directly conflict with the evidence values (0.915 and 89.6%).,True,False,,gpt-5.5,8.32,711,118,0.005325
LLM_187,SBV2-ALL92-G186-C04,contradiction_candidate,ok,contradiction_candidate,0.99,"The evidence states that many academic benchmarks differ markedly from industrial control problems and have limited transferability, directly negating the claim that they closely match and support direct transfer.",True,False,,gpt-5.5,5.82,666,106,0.00492
LLM_088,SBV2-ALL92-G257-C02,mild_scope_overclaim,ok,mild_scope_overclaim,0.88,"The evidence supports that MobileCity gains efficiency at scale by disabling LLM modules and trading behavioral fidelity for speed, but it does not mention disabling planner modules.",True,False,,gpt-5.5,8.57,695,180,0.006175
LLM_091,SBV2-ALL92-G259-C02,mild_scope_overclaim,ok,contradiction_candidate,0.95,"The evidence reports the 20.7% improvement across six behavioral categories, while the claim states eight behavioral categories, directly conflicting on the category count.",True,False,,gpt-5.5,5.59,685,108,0.005045
LLM_143,SBV2-ALL92-G214-C03,strong_action_overclaim,ok,contradiction_candidate,0.99,"The claim reports accuracies above 60% and 45%, while the evidence states the best-performing system achieves only 24.5% and 15.04% on the corresponding scenario and sub-task categories.",True,False,,gpt-5.5,5.83,697,118,0.005255
LLM_002,SBV2-ALL92-G027-C01,supported,ok,supported,0.99,"The evidence directly states that ScenePilot-Bench is open-loop and does not directly measure downstream control effects in a closed-loop driving system, matching the claim.",True,False,,gpt-5.5,5.22,682,80,0.00461
LLM_052,SBV2-ALL92-G052-C02,mild_scope_overclaim,ok,contradiction_candidate,0.99,"The evidence states the SAC algorithm was trained with 8 NVIDIA A6000 GPUs and 64 CPUs for 43 hours, directly conflicting with the claim's 53 hours.",True,False,,gpt-5.5,4.89,682,95,0.004835
LLM_195,SBV2-ALL92-G251-C04,contradiction_candidate,ok,contradiction_candidate,0.98,"The claim says the Saez-regression schedule underperformed the LLM Economist, but the evidence states that the Saez-regression schedule now outperforms the LLM Economist, even though both agree the LLM schedule sets lower rates.",True,False,,gpt-5.5,6.09,704,132,0.0055
LLM_033,SBV2-ALL92-G205-C01,supported,ok,supported,0.93,The evidence directly states that an interface is implemented between the simulator and Python wind farm environment via MPI communication channels to integrate with Python ecosystem libraries and RL research practices.,True,False,,gpt-5.5,7.65,682,166,0.0059
